Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Terminal Agony,4.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Uncommon,OTP,None,None,None,"Destroy target creature.\nMadness {B}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Siphon Insight,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Rare,OTP,None,None,None,"Look at the top two cards of target opponent's library. Exile one of them face down and put the other on the bottom of that library. You may play the exiled card for as long as it remains exiled, and you may spend mana as though it were mana of any color to cast that spell.\nFlashback {1}{U}{B}"
Savage Smash,3.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Uncommon,OTP,None,None,None,Target creature you control gets +2/+2 until end of turn. It fights target creature you don't control. (Each deals damage equal to its power to the other.)
Ride Down,2.0,"['R', 'W']","['R', 'W']",None,['Instant'],None,Uncommon,OTP,None,None,None,Destroy target blocking creature. Creatures that were blocked by that creature this combat gain trample until end of turn.
Outlaws' Merriment,4.0,"['R', 'W']","['R', 'W']",None,['Enchantment'],None,Rare,OTP,None,None,None,"At the beginning of your upkeep, choose one at random. Create a red and white creature token with those characteristics.\n• 3/1 Human Warrior with trample and haste.\n• 2/1 Human Cleric with lifelink and haste.\n• 1/2 Human Rogue with haste and ""When this creature enters the battlefield, it deals 1 damage to any target."""
"Oko, Thief of Crowns",3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Planeswalker'],['Oko'],Mythic,OTP,None,None,4,"[+2]: Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n[+1]: Target artifact or creature loses all abilities and becomes a green Elk creature with base power and toughness 3/3.\n[−5]: Exchange control of target artifact or creature you control and target creature an opponent controls with power 3 or less."
Ionize,3.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Rare,OTP,None,None,None,Counter target spell. Ionize deals 2 damage to that spell's controller.
Hypothesizzle,5.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Uncommon,OTP,None,None,None,"Draw two cards. Then you may discard a nonland card. When you do, Hypothesizzle deals 4 damage to target creature."
Humiliate,2.0,"['B', 'W']","['B', 'W']",None,['Sorcery'],None,Uncommon,OTP,None,None,None,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. Put a +1/+1 counter on a creature you control.
Heartless Pillage,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,OTP,None,None,None,"Target opponent discards two cards.\nRaid — If you attacked this turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Hindering Light,2.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Uncommon,OTP,None,None,None,Counter target spell that targets you or a permanent you control.\nDraw a card.
Fractured Identity,5.0,"['U', 'W']","['U', 'W']",None,['Sorcery'],None,Mythic,OTP,None,None,None,Exile target nonland permanent. Each player other than its controller creates a token that's a copy of it.
Endless Detour,3.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Instant'],None,Rare,OTP,None,None,None,"The owner of target spell, nonland permanent, or card in a graveyard puts it on the top or bottom of their library."
Detention Sphere,3.0,"['U', 'W']","['U', 'W']",None,['Enchantment'],None,Rare,OTP,None,None,None,"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.\nWhen Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control."
Decisive Denial,2.0,"['G', 'U']","['G', 'U']",None,['Instant'],None,Uncommon,OTP,None,None,None,Choose one —\n• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)\n• Counter target noncreature spell unless its controller pays {3}.
Decimate,4.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,OTP,None,None,None,"Destroy target artifact, target creature, target enchantment, and target land. (You can't cast this spell unless you have legal choices for all its targets.)"
Cruel Ultimatum,7.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Sorcery'],None,Rare,OTP,None,None,None,"Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life."
Crime // Punishment,7.0,"['W', 'B']","['B', 'G', 'W']",None,['Sorcery'],None,Mythic,OTP,None,None,None,Put target creature or enchantment card from an opponent's graveyard onto the battlefield under your control.
Buried in the Garden,4.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],['Aura'],Uncommon,OTP,None,None,None,"Enchant land\nWhen Buried in the Garden enters the battlefield, exile target nonland permanent you don't control until Buried in the Garden leaves the battlefield.\nWhenever enchanted land is tapped for mana, its controller adds an additional one mana of any color."
Bedevil,3.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Rare,OTP,None,None,None,"Destroy target artifact, creature, or planeswalker."
Back for More,6.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Uncommon,OTP,None,None,None,"Return target creature card from your graveyard to the battlefield. When you do, it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)"
Anguished Unmaking,3.0,"['B', 'W']","['B', 'W']",None,['Instant'],None,Mythic,OTP,None,None,None,Exile target nonland permanent. You lose 3 life.
Abrupt Decay,2.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Rare,OTP,None,None,None,This spell can't be countered.\nDestroy target nonland permanent with mana value 3 or less.
Thornado,3.0,['G'],['G'],None,['Instant'],None,Uncommon,OTP,None,None,None,"Destroy target creature with flying.\nCycling {1}{G} ({1}{G}, Discard this card: Draw a card.)"
Primal Might,1.0,['G'],['G'],None,['Sorcery'],None,Rare,OTP,None,None,None,Target creature you control gets +X/+X until end of turn. Then it fights up to one target creature you don't control.
Primal Command,5.0,['G'],['G'],None,['Sorcery'],None,Rare,OTP,None,None,None,"Choose two —\n• Target player gains 7 life.\n• Put target noncreature permanent on top of its owner's library.\n• Target player shuffles their graveyard into their library.\n• Search your library for a creature card, reveal it, put it into your hand, then shuffle."
Pest Infestation,1.0,['G'],['G'],None,['Sorcery'],None,Rare,OTP,None,None,None,"Destroy up to X target artifacts and/or enchantments. Create twice X 1/1 black and green Pest creature tokens with ""When this creature dies, you gain 1 life."""
Force of Vigor,4.0,['G'],['G'],None,['Instant'],None,Mythic,OTP,None,None,None,"If it's not your turn, you may exile a green card from your hand rather than pay this spell's mana cost.\nDestroy up to two target artifacts and/or enchantments."
Clear Shot,3.0,['G'],['G'],None,['Instant'],None,Uncommon,OTP,None,None,None,Target creature you control gets +1/+1 until end of turn. It deals damage equal to its power to target creature you don't control.
Skullcrack,2.0,['R'],['R'],None,['Instant'],None,Rare,OTP,None,None,None,Players can't gain life this turn. Damage can't be prevented this turn. Skullcrack deals 3 damage to target player or planeswalker.
Skewer the Critics,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,OTP,None,None,None,Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nSkewer the Critics deals 3 damage to any target.
Indomitable Creativity,3.0,['R'],['R'],None,['Sorcery'],None,Mythic,OTP,None,None,None,"Destroy X target artifacts and/or creatures. For each permanent destroyed this way, its controller reveals cards from the top of their library until an artifact or creature card is revealed and exiles that card. Those players put the exiled cards onto the battlefield, then shuffle."
Fling,2.0,['R'],['R'],None,['Instant'],None,Uncommon,OTP,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nFling deals damage equal to the sacrificed creature's power to any target."
Electrodominance,2.0,['R'],['R'],None,['Instant'],None,Rare,OTP,None,None,None,Electrodominance deals X damage to any target. You may cast a spell with mana value X or less from your hand without paying its mana cost.
Crackle with Power,2.0,['R'],['R'],None,['Sorcery'],None,Mythic,OTP,None,None,None,Crackle with Power deals five times X damage to each of up to X targets.
Collective Defiance,3.0,['R'],['R'],None,['Sorcery'],None,Rare,OTP,None,None,None,"Escalate {1} (Pay this cost for each mode chosen beyond the first.)\nChoose one or more —\n• Target player discards all the cards in their hand, then draws that many cards.\n• Collective Defiance deals 4 damage to target creature.\n• Collective Defiance deals 3 damage to target opponent or planeswalker."
Thoughtseize,1.0,['B'],['B'],None,['Sorcery'],None,Mythic,OTP,None,None,None,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.
Surgical Extraction,1.0,['B'],['B'],None,['Instant'],None,Rare,OTP,None,None,None,"({B/P} can be paid with either {B} or 2 life.)\nChoose target card in a graveyard other than a basic land card. Search its owner's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles."
Reanimate,1.0,['B'],['B'],None,['Sorcery'],None,Rare,OTP,None,None,None,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.
Fierce Retribution,2.0,['W'],['W'],None,['Instant'],None,Uncommon,OTP,None,None,None,"Cleave {5}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)\nDestroy target [attacking] creature."
Murder,3.0,['B'],['B'],None,['Instant'],None,Uncommon,OTP,None,None,None,Destroy target creature.
Overwhelming Forces,8.0,['B'],['B'],None,['Sorcery'],None,Mythic,OTP,None,None,None,Destroy all creatures target opponent controls. Draw a card for each creature destroyed this way.
Imp's Mischief,2.0,['B'],['B'],None,['Instant'],None,Rare,OTP,None,None,None,Change the target of target spell with a single target. You lose life equal to that spell's mana value.
Repulse,3.0,['U'],['U'],None,['Instant'],None,Uncommon,OTP,None,None,None,Return target creature to its owner's hand.\nDraw a card.
Mindbreak Trap,4.0,['U'],['U'],None,['Instant'],['Trap'],Mythic,OTP,None,None,None,"If an opponent cast three or more spells this turn, you may pay {0} rather than pay this spell's mana cost.\nExile any number of target spells."
Mana Drain,2.0,['U'],['U'],None,['Instant'],None,Mythic,OTP,None,None,None,"Counter target spell. At the beginning of your next main phase, add an amount of {C} equal to that spell's mana value."
Essence Capture,2.0,['U'],['U'],None,['Instant'],None,Uncommon,OTP,None,None,None,Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.
Commandeer,7.0,['U'],['U'],None,['Instant'],None,Rare,OTP,None,None,None,"You may exile two blue cards from your hand rather than pay this spell's mana cost.\nGain control of target noncreature spell. You may choose new targets for it. (If that spell is an artifact, enchantment, or planeswalker, the permanent enters the battlefield under your control.)"
Archmage's Charm,3.0,['U'],['U'],None,['Instant'],None,Rare,OTP,None,None,None,Choose one —\n• Counter target spell.\n• Target player draws two cards.\n• Gain control of target nonland permanent with mana value 1 or less.
Journey to Nowhere,2.0,['W'],['W'],None,['Enchantment'],None,Uncommon,OTP,None,None,None,"When Journey to Nowhere enters the battlefield, exile target creature.\nWhen Journey to Nowhere leaves the battlefield, return the exiled card to the battlefield under its owner's control."
Archive Trap,5.0,['U'],['U'],None,['Instant'],['Trap'],Rare,OTP,None,None,None,"If an opponent searched their library this turn, you may pay {0} rather than pay this spell's mana cost.\nTarget opponent mills thirteen cards."
Fell the Mighty,5.0,['W'],['W'],None,['Sorcery'],None,Rare,OTP,None,None,None,Destroy all creatures with power greater than target creature's power.
Path to Exile,1.0,['W'],['W'],None,['Instant'],None,Rare,OTP,None,None,None,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Pariah,3.0,['W'],['W'],None,['Enchantment'],['Aura'],Rare,OTP,None,None,None,Enchant creature\nAll damage that would be dealt to you is dealt to enchanted creature instead.
