Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Goblin War Cry,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,P02,None,None,None,Target opponent chooses a creature they control. Other creatures they control can't block this turn.
Goblin Matron,3.0,['R'],['R'],None,['Creature'],['Goblin'],Uncommon,P02,1,1,None,"When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, put it into your hand, then shuffle."
Goblin Firestarter,1.0,['R'],['R'],None,['Creature'],['Goblin'],Uncommon,P02,1,1,None,"Sacrifice Goblin Firestarter: It deals 1 damage to any target. Activate only during your turn, before attackers are declared."
Hidden Horror,3.0,['B'],['B'],None,['Creature'],['Horror'],Rare,P02,4,4,None,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card."
Cunning Giant,6.0,['R'],['R'],None,['Creature'],['Giant'],Rare,P02,4,4,None,"If Cunning Giant is unblocked, you may have it assign its combat damage to a creature defending player controls."
Brimstone Dragon,8.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,P02,6,6,None,"Flying, haste"
Blaze,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,P02,None,None,None,Blaze deals X damage to any target.
Vampiric Spirit,4.0,['B'],['B'],None,['Creature'],['Spirit'],Rare,P02,4,3,None,"Flying\nWhen Vampiric Spirit enters the battlefield, you lose 4 life."
Angel of Mercy,5.0,['W'],['W'],None,['Creature'],['Angel'],Uncommon,P02,3,3,None,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life."
Angel of Fury,6.0,['W'],['W'],None,['Creature'],['Angel'],Rare,P02,3,5,None,"Flying\nWhen Angel of Fury dies, you may shuffle it into its owner's library."
Alaborn Veteran,3.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,P02,2,2,None,"{T}: Target creature gets +2/+2 until end of turn. Activate only during your turn, before attackers are declared."
Swarm of Rats,2.0,['B'],['B'],None,['Creature'],['Rat'],Common,P02,*,1,None,Swarm of Rats's power is equal to the number of Rats you control.
Return of the Nightstalkers,7.0,['B'],['B'],None,['Sorcery'],None,Rare,P02,None,None,None,Return all Nightstalker permanent cards from your graveyard to the battlefield. Then destroy all Swamps you control.
Ravenous Rats,2.0,['B'],['B'],None,['Creature'],['Rat'],Common,P02,1,1,None,"When Ravenous Rats enters the battlefield, target opponent discards a card."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,P02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,P02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,P02,None,None,None,({T}: Add {G}.)
