Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Rampant Growth,2.0,['G'],['G'],None,['Sorcery'],None,Rare,P09,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Cryptic Command,4.0,['U'],['U'],None,['Instant'],None,Rare,P09,None,None,None,Choose two —\n• Counter target spell.\n• Return target permanent to its owner's hand.\n• Tap all creatures your opponents control.\n• Draw a card.
Flame Javelin,6.0,['R'],['R'],None,['Instant'],None,Rare,P09,None,None,None,({2/R} can be paid with any two mana or with {R}. This card's mana value is 6.)\nFlame Javelin deals 4 damage to any target.
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Common,P09,None,None,None,Lightning Bolt deals 3 damage to any target.
Blightning,3.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Rare,P09,None,None,None,Blightning deals 3 damage to target player or planeswalker. That player or that planeswalker's controller discards two cards.
Spellbreaker Behemoth,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Beast'],Rare,P09,5,5,None,This spell can't be countered.\nCreature spells you control with power 5 or greater can't be countered.
Remove Soul,2.0,['U'],['U'],None,['Instant'],None,Rare,P09,None,None,None,Counter target creature spell.
Feral Hydra,1.0,['G'],['G'],None,['Creature'],"['Hydra', 'Beast']",Rare,P09,0,0,None,Feral Hydra enters the battlefield with X +1/+1 counters on it.\n{3}: Put a +1/+1 counter on Feral Hydra. Any player may activate this ability.
Rampaging Baloths,6.0,['G'],['G'],None,['Creature'],['Beast'],Mythic,P09,6,6,None,"Trample\nLandfall — Whenever a land enters the battlefield under your control, you may create a 4/4 green Beast creature token."
Nameless Inversion,2.0,['B'],['B'],None,"['Tribal', 'Instant']",['Shapeshifter'],Rare,P09,None,None,None,Changeling (This card is every creature type.)\nTarget creature gets +3/-3 and loses all creature types until end of turn.
Negate,2.0,['U'],['U'],None,['Instant'],None,Rare,P09,None,None,None,Counter target noncreature spell.
Unmake,3.0,"['B', 'W']","['B', 'W']",None,['Instant'],None,Rare,P09,None,None,None,Exile target creature.
Terminate,2.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Rare,P09,None,None,None,Destroy target creature. It can't be regenerated.
