Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Painter's Servant,2.0,None,None,None,"['Artifact', 'Creature']",['Scarecrow'],Rare,P23,1,3,None,"As Painter's Servant enters the battlefield, choose a color.\nAll cards that aren't on the battlefield, spells, and permanents are the chosen color in addition to their other colors."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Rare,P23,None,None,None,({T}: Add {B}.)
Mycosynth Lattice,6.0,None,None,None,['Artifact'],None,Rare,P23,None,None,None,"All permanents are artifacts in addition to their other types.\nAll cards that aren't on the battlefield, spells, and permanents are colorless.\nPlayers may spend mana as though it were mana of any color."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Rare,P23,None,None,None,({T}: Add {G}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Rare,P23,None,None,None,({T}: Add {W}.)
Grindstone,1.0,None,None,None,['Artifact'],None,Rare,P23,None,None,None,"{3}, {T}: Target player mills two cards. If two cards that share a color were milled this way, repeat this process."
Retrofitter Foundry,1.0,None,None,None,['Artifact'],None,Rare,P23,None,None,None,"{3}: Untap Retrofitter Foundry.\n{2}, {T}: Create a 1/1 colorless Servo artifact creature token.\n{1}, {T}, Sacrifice a Servo: Create a 1/1 colorless Thopter artifact creature token with flying.\n{T}, Sacrifice a Thopter: Create a 4/4 colorless Construct artifact creature token."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Rare,P23,None,None,None,({T}: Add {R}.)
Sword of War and Peace,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,P23,None,None,None,"Equipped creature gets +2/+2 and has protection from red and from white.\nWhenever equipped creature deals combat damage to a player, Sword of War and Peace deals damage to that player equal to the number of cards in their hand and you gain 1 life for each card in your hand.\nEquip {2}"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Rare,P23,None,None,None,({T}: Add {U}.)
