Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Kari Zev's Expertise,3.0,['R'],['R'],None,['Sorcery'],None,Rare,PAER,None,None,None,Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn.\nYou may cast a spell with mana value 2 or less from your hand without paying its mana cost.
Spire of Industry,0.0,None,None,None,['Land'],None,Rare,PAER,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact."
Walking Ballista,0.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,PAER,0,0,None,Walking Ballista enters the battlefield with X +1/+1 counters on it.\n{4}: Put a +1/+1 counter on Walking Ballista.\nRemove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.
Scrap Trawler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,PAER,3,2,None,"Whenever Scrap Trawler or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value."
Planar Bridge,6.0,None,None,['Legendary'],['Artifact'],None,Mythic,PAER,None,None,None,"{8}, {T}: Search your library for a permanent card, put it onto the battlefield, then shuffle."
Peacewalker Colossus,3.0,None,['W'],None,['Artifact'],['Vehicle'],Rare,PAER,6,6,None,{1}{W}: Another target Vehicle you control becomes an artifact creature until end of turn.\nCrew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
"Kari Zev, Skyship Raider",2.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Pirate']",Rare,PAER,1,3,None,"First strike, menace\nWhenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat."
Paradox Engine,5.0,None,None,['Legendary'],['Artifact'],None,Mythic,PAER,None,None,None,"Whenever you cast a spell, untap all nonland permanents you control."
Metallic Mimic,2.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Rare,PAER,2,1,None,"As Metallic Mimic enters the battlefield, choose a creature type.\nMetallic Mimic is the chosen type in addition to its other types.\nEach other creature you control of the chosen type enters the battlefield with an additional +1/+1 counter on it."
Merchant's Dockhand,1.0,None,['U'],None,"['Artifact', 'Creature']",['Construct'],Rare,PAER,1,2,None,"{3}{U}, {T}, Tap X untapped artifacts you control: Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order."
Heroic Intervention,2.0,['G'],['G'],None,['Instant'],None,Rare,PAER,None,None,None,Permanents you control gain hexproof and indestructible until end of turn.
Heart of Kiran,2.0,None,None,['Legendary'],['Artifact'],['Vehicle'],Mythic,PAER,4,4,None,"Flying, vigilance\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)\nYou may remove a loyalty counter from a planeswalker you control rather than pay Heart of Kiran's crew cost."
Inspiring Statuary,3.0,None,None,None,['Artifact'],None,Rare,PAER,None,None,None,Nonartifact spells you cast have improvise. (Your artifacts can help cast those spells. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Lifecrafter's Bestiary,3.0,None,['G'],None,['Artifact'],None,Rare,PAER,None,None,None,"At the beginning of your upkeep, scry 1.\nWhenever you cast a creature spell, you may pay {G}. If you do, draw a card."
Hope of Ghirapur,1.0,None,None,['Legendary'],"['Artifact', 'Creature']",['Thopter'],Rare,PAER,1,1,None,"Flying\nSacrifice Hope of Ghirapur: Until your next turn, target player who was dealt combat damage by Hope of Ghirapur this turn can't cast noncreature spells."
Gonti's Aether Heart,6.0,None,None,['Legendary'],['Artifact'],None,Mythic,PAER,None,None,None,"Whenever Gonti's Aether Heart or another artifact enters the battlefield under your control, you get {E}{E} (two energy counters).\nPay {E}{E}{E}{E}{E}{E}{E}{E}, Exile Gonti's Aether Heart: Take an extra turn after this one."
Aethersphere Harvester,3.0,None,None,None,['Artifact'],['Vehicle'],Rare,PAER,3,5,None,"Flying\nWhen Aethersphere Harvester enters the battlefield, you get {E}{E} (two energy counters).\nPay {E}: Aethersphere Harvester gains lifelink until end of turn.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Tezzeret the Schemer,4.0,"['B', 'U']","['B', 'U']",['Legendary'],['Planeswalker'],['Tezzeret'],Mythic,PAER,None,None,5,"[+1]: Create a colorless artifact token named Etherium Cell with ""{T}, Sacrifice this artifact: Add one mana of any color.""\n[−2]: Target creature gets +X/-X until end of turn, where X is the number of artifacts you control.\n[−7]: You get an emblem with ""At the beginning of combat on your turn, target artifact you control becomes an artifact creature with base power and toughness 5/5."""
Oath of Ajani,2.0,"['G', 'W']","['G', 'W']",['Legendary'],['Enchantment'],None,Rare,PAER,None,None,None,"When Oath of Ajani enters the battlefield, put a +1/+1 counter on each creature you control.\nPlaneswalker spells you cast cost {1} less to cast."
Mechanized Production,4.0,['U'],['U'],None,['Enchantment'],['Aura'],Mythic,PAER,None,None,None,"Enchant artifact you control\nAt the beginning of your upkeep, create a token that's a copy of enchanted artifact. Then if you control eight or more artifacts with the same name as one another, you win the game."
Dark Intimations,5.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Sorcery'],None,Rare,PAER,None,None,None,"Each opponent sacrifices a creature or planeswalker, then discards a card. You return a creature or planeswalker card from your graveyard to your hand, then draw a card.\nWhen you cast a Bolas planeswalker spell, exile Dark Intimations from your graveyard. That planeswalker enters the battlefield with an additional loyalty counter on it."
