Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Rags // Riches,11.0,['B'],"['B', 'U']",None,['Sorcery'],None,Rare,PAKH,None,None,None,All creatures get -2/-2 until end of turn.
Failure // Comply,3.0,['U'],"['U', 'W']",None,['Instant'],None,Rare,PAKH,None,None,None,Return target spell to its owner's hand.
"Samut, Voice of Dissent",5.0,"['G', 'R']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,PAKH,3,4,None,"Flash\nDouble strike, vigilance, haste\nOther creatures you control have haste.\n{W}, {T}: Untap another target creature."
Dusk // Dawn,9.0,['W'],['W'],None,['Sorcery'],None,Rare,PAKH,None,None,None,Destroy all creatures with power 3 or greater.
Prepare // Fight,6.0,['W'],"['G', 'W']",None,['Instant'],None,Rare,PAKH,None,None,None,Untap target creature. It gets +2/+2 and gains lifelink until end of turn.
Mouth // Feed,7.0,['G'],['G'],None,['Sorcery'],None,Rare,PAKH,None,None,None,Create a 3/3 green Hippo creature token.
"Nissa, Steward of Elements",2.0,"['G', 'U']","['G', 'U']",['Legendary'],['Planeswalker'],['Nissa'],Mythic,PAKH,None,None,X,"[+2]: Scry 2.\n[0]: Look at the top card of your library. If it's a land card or a creature card with mana value less than or equal to the number of loyalty counters on Nissa, Steward of Elements, you may put that card onto the battlefield.\n[−6]: Untap up to two target lands you control. They become 5/5 Elemental creatures with flying and haste until end of turn. They're still lands."
"Neheb, the Worthy",3.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Minotaur', 'Warrior']",Rare,PAKH,2,2,None,"First strike\nOther Minotaurs you control have first strike.\nAs long as you have one or fewer cards in hand, Minotaurs you control get +2/+0.\nWhenever Neheb, the Worthy deals combat damage to a player, each player discards a card."
Never // Return,7.0,['B'],['B'],None,['Sorcery'],None,Rare,PAKH,None,None,None,Destroy target creature or planeswalker.
"Hapatra, Vizier of Poisons",2.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Human', 'Cleric']",Rare,PAKH,2,2,None,"Whenever Hapatra, Vizier of Poisons deals combat damage to a player, you may put a -1/-1 counter on target creature.\nWhenever you put one or more -1/-1 counters on a creature, create a 1/1 green Snake creature token with deathtouch."
Bounty of the Luxa,4.0,"['G', 'U']","['G', 'U']",None,['Enchantment'],None,Rare,PAKH,None,None,None,"At the beginning of your precombat main phase, remove all flood counters from Bounty of the Luxa. If no counters were removed this way, put a flood counter on Bounty of the Luxa and draw a card. Otherwise, add {C}{G}{U}."
Vizier of the Menagerie,4.0,['G'],['G'],None,['Creature'],"['Naga', 'Cleric']",Mythic,PAKH,3,4,None,You may look at the top card of your library any time.\nYou may cast creature spells from the top of your library.\nYou can spend mana of any type to cast creature spells.
Sandwurm Convergence,8.0,['G'],['G'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"Creatures with flying can't attack you or planeswalkers you control.\nAt the beginning of your end step, create a 5/5 green Wurm creature token."
Rhonas the Indomitable,3.0,['G'],['G'],['Legendary'],['Creature'],['God'],Mythic,PAKH,5,5,None,"Deathtouch, indestructible\nRhonas the Indomitable can't attack or block unless you control another creature with power 4 or greater.\n{2}{G}: Another target creature gets +2/+0 and gains trample until end of turn."
Prowling Serpopard,3.0,['G'],['G'],None,['Creature'],"['Cat', 'Snake']",Rare,PAKH,4,3,None,This spell can't be countered.\nCreature spells you control can't be countered.
Honored Hydra,6.0,['G'],['G'],None,['Creature'],"['Snake', 'Hydra']",Rare,PAKH,6,6,None,"Trample\nEmbalm {3}{G} ({3}{G}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Snake Hydra with no mana cost. Embalm only as a sorcery.)"
Harvest Season,3.0,['G'],['G'],None,['Sorcery'],None,Rare,PAKH,None,None,None,"Search your library for up to X basic land cards, where X is the number of tapped creatures you control, put those cards onto the battlefield tapped, then shuffle."
Channeler Initiate,2.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Rare,PAKH,3,4,None,"When Channeler Initiate enters the battlefield, put three -1/-1 counters on target creature you control.\n{T}, Remove a -1/-1 counter from Channeler Initiate: Add one mana of any color."
Champion of Rhonas,4.0,['G'],['G'],None,['Creature'],"['Jackal', 'Warrior']",Rare,PAKH,3,3,None,"You may exert Champion of Rhonas as it attacks. When you do, you may put a creature card from your hand onto the battlefield. (An exerted creature won't untap during your next untap step.)"
Sweltering Suns,3.0,['R'],['R'],None,['Sorcery'],None,Rare,PAKH,None,None,None,"Sweltering Suns deals 3 damage to each creature.\nCycling {3} ({3}, Discard this card: Draw a card.)"
Soul-Scar Mage,1.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,PAKH,1,2,None,"Prowess\nIf a source you control would deal noncombat damage to a creature an opponent controls, put that many -1/-1 counters on that creature instead."
Scattered Groves,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,PAKH,None,None,None,"({T}: Add {G} or {W}.)\nScattered Groves enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Heart-Piercer Manticore,4.0,['R'],['R'],None,['Creature'],['Manticore'],Rare,PAKH,4,3,None,"When Heart-Piercer Manticore enters the battlefield, you may sacrifice another creature. When you do, Heart-Piercer Manticore deals damage equal to that creature's power to any target.\nEmbalm {5}{R} ({5}{R}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Manticore with no mana cost. Embalm only as a sorcery.)"
Hazoret's Favor,3.0,['R'],['R'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"At the beginning of combat on your turn, you may have target creature you control get +2/+0 and gain haste until end of turn. If you do, sacrifice it at the beginning of the next end step."
Hazoret the Fervent,4.0,['R'],['R'],['Legendary'],['Creature'],['God'],Mythic,PAKH,5,4,None,"Indestructible, haste\nHazoret the Fervent can't attack or block unless you have one or fewer cards in hand.\n{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent."
Harsh Mentor,2.0,['R'],['R'],None,['Creature'],"['Human', 'Cleric']",Rare,PAKH,2,2,None,"Whenever an opponent activates an ability of an artifact, creature, or land on the battlefield, if it isn't a mana ability, Harsh Mentor deals 2 damage to that player."
Sheltered Thicket,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,PAKH,None,None,None,"({T}: Add {R} or {G}.)\nSheltered Thicket enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Glorybringer,5.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,PAKH,4,4,None,"Flying, haste\nYou may exert Glorybringer as it attacks. When you do, it deals 4 damage to target non-Dragon creature an opponent controls. (An exerted creature won't untap during your next untap step.)"
Glorious End,3.0,['R'],['R'],None,['Instant'],None,Mythic,PAKH,None,None,None,"End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)\nAt the beginning of your next end step, you lose the game."
Combat Celebrant,3.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Mythic,PAKH,4,1,None,"If Combat Celebrant hasn't been exerted this turn, you may exert it as it attacks. When you do, untap all other creatures you control and after this phase, there is an additional combat phase. (An exerted creature won't untap during your next untap step.)"
Shadow of the Grave,2.0,['B'],['B'],None,['Instant'],None,Rare,PAKH,None,None,None,Return to your hand all cards in your graveyard that you cycled or discarded this turn.
Plague Belcher,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Beast']",Rare,PAKH,5,4,None,"Menace\nWhen Plague Belcher enters the battlefield, put two -1/-1 counters on target creature you control.\nWhenever another Zombie you control dies, each opponent loses 1 life."
Liliana's Mastery,5.0,['B'],['B'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"Zombies you control get +1/+1.\nWhen Liliana's Mastery enters the battlefield, create two 2/2 black Zombie creature tokens."
"Liliana, Death's Majesty",5.0,['B'],['B'],['Legendary'],['Planeswalker'],['Liliana'],Mythic,PAKH,None,None,5,[+1]: Create a 2/2 black Zombie creature token. Mill two cards.\n[−3]: Return target creature card from your graveyard to the battlefield. That creature is a black Zombie in addition to its other colors and types.\n[−7]: Destroy all non-Zombie creatures.
Dread Wanderer,1.0,['B'],['B'],None,['Creature'],"['Zombie', 'Jackal']",Rare,PAKH,2,1,None,Dread Wanderer enters the battlefield tapped.\n{2}{B}: Return Dread Wanderer from your graveyard to the battlefield. Activate only as a sorcery and only if you have one or fewer cards in hand.
Dispossess,3.0,['B'],['B'],None,['Sorcery'],None,Rare,PAKH,None,None,None,"Choose an artifact card name. Search target opponent's graveyard, hand, and library for any number of cards with the chosen name and exile them. Then that player shuffles."
Insult // Injury,6.0,['R'],['R'],None,['Sorcery'],None,Rare,PAKH,None,None,None,"Damage can't be prevented this turn. If a source you control would deal damage this turn, it deals double that damage instead."
Cruel Reality,7.0,['B'],['B'],None,['Enchantment'],"['Aura', 'Curse']",Mythic,PAKH,None,None,None,"Enchant player\nAt the beginning of enchanted player's upkeep, that player sacrifices a creature or planeswalker. If the player can't, they lose 5 life."
Bontu the Glorified,3.0,['B'],['B'],['Legendary'],['Creature'],['God'],Mythic,PAKH,4,6,None,"Menace, indestructible\nBontu the Glorified can't attack or block unless a creature died under your control this turn.\n{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life."
Archfiend of Ifnir,5.0,['B'],['B'],None,['Creature'],['Demon'],Rare,PAKH,5,4,None,"Flying\nWhenever you cycle or discard another card, put a -1/-1 counter on each creature your opponents control.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Vizier of Many Faces,4.0,['U'],['U'],None,['Creature'],"['Shapeshifter', 'Cleric']",Rare,PAKH,0,0,None,"You may have Vizier of Many Faces enter the battlefield as a copy of any creature on the battlefield, except if Vizier of Many Faces was embalmed, the token has no mana cost, it's white, and it's a Zombie in addition to its other types.\nEmbalm {3}{U}{U}"
Pull from Tomorrow,2.0,['U'],['U'],None,['Instant'],None,Rare,PAKH,None,None,None,"Draw X cards, then discard a card."
Anointed Procession,4.0,['W'],['W'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead."
Drake Haven,3.0,['U'],['U'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"Whenever you cycle or discard a card, you may pay {1}. If you do, create a 2/2 blue Drake creature token with flying."
Cut // Ribbons,4.0,['R'],"['B', 'R']",None,['Sorcery'],None,Rare,PAKH,None,None,None,Cut deals 4 damage to target creature.
Kefnet the Mindful,3.0,['U'],['U'],['Legendary'],['Creature'],['God'],Mythic,PAKH,5,5,None,"Flying, indestructible\nKefnet the Mindful can't attack or block unless you have seven or more cards in hand.\n{3}{U}: Draw a card, then you may return a land you control to its owner's hand."
New Perspectives,6.0,['U'],['U'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"When New Perspectives enters the battlefield, draw three cards.\nAs long as you have seven or more cards in hand, you may pay {0} rather than pay cycling costs."
Irrigated Farmland,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,PAKH,None,None,None,"({T}: Add {W} or {U}.)\nIrrigated Farmland enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Glyph Keeper,5.0,['U'],['U'],None,['Creature'],['Sphinx'],Rare,PAKH,5,3,None,"Flying\nWhenever Glyph Keeper becomes the target of a spell or ability for the first time each turn, counter that spell or ability.\nEmbalm {5}{U}{U} ({5}{U}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Sphinx with no mana cost. Embalm only as a sorcery.)"
Curator of Mysteries,4.0,['U'],['U'],None,['Creature'],['Sphinx'],Rare,PAKH,4,4,None,"Flying\nWhenever you cycle or discard another card, scry 1.\nCycling {U} ({U}, Discard this card: Draw a card.)"
Fetid Pools,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,PAKH,None,None,None,"({T}: Add {U} or {B}.)\nFetid Pools enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
As Foretold,3.0,['U'],['U'],None,['Enchantment'],None,Mythic,PAKH,None,None,None,"At the beginning of your upkeep, put a time counter on As Foretold.\nOnce each turn, you may pay {0} rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on As Foretold."
Cascading Cataracts,0.0,None,None,None,['Land'],None,Rare,PAKH,None,None,None,"Indestructible\n{T}: Add {C}.\n{5}, {T}: Add five mana in any combination of colors."
Canyon Slough,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Rare,PAKH,None,None,None,"({T}: Add {B} or {R}.)\nCanyon Slough enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Trueheart Duelist,2.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Uncommon,PAKH,2,2,None,"Trueheart Duelist can block an additional creature each combat.\nEmbalm {2}{W} ({2}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Warrior with no mana cost. Embalm only as a sorcery.)"
Regal Caracal,5.0,['W'],['W'],None,['Creature'],['Cat'],Rare,PAKH,3,3,None,"Other Cats you control get +1/+1 and have lifelink.\nWhen Regal Caracal enters the battlefield, create two 1/1 white Cat creature tokens with lifelink."
Throne of the God-Pharaoh,2.0,None,None,['Legendary'],['Artifact'],None,Rare,PAKH,None,None,None,"At the beginning of your end step, each opponent loses life equal to the number of tapped creatures you control."
Pyramid of the Pantheon,1.0,None,None,None,['Artifact'],None,Rare,PAKH,None,None,None,"{2}, {T}: Add one mana of any color. Put a brick counter on Pyramid of the Pantheon.\n{T}: Add three mana of any one color. Activate only if there are three or more brick counters on Pyramid of the Pantheon."
"Temmet, Vizier of Naktamun",2.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Rare,PAKH,2,2,None,"At the beginning of combat on your turn, target creature token you control gets +1/+1 until end of turn and can't be blocked this turn.\nEmbalm {3}{W}{U} ({3}{W}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Cleric with no mana cost. Embalm only as a sorcery.)"
Oketra the True,4.0,['W'],['W'],['Legendary'],['Creature'],['God'],Mythic,PAKH,3,6,None,"Double strike, indestructible\nOketra the True can't attack or block unless you control at least three other creatures.\n{3}{W}: Create a 1/1 white Warrior creature token with vigilance."
Oracle's Vault,4.0,None,None,None,['Artifact'],None,Rare,PAKH,None,None,None,"{2}, {T}: Exile the top card of your library. Until end of turn, you may play that card. Put a brick counter on Oracle's Vault.\n{T}: Exile the top card of your library. Until end of turn, you may play that card without paying its mana cost. Activate only if there are three or more brick counters on Oracle's Vault."
Glory-Bound Initiate,2.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Rare,PAKH,3,1,None,"You may exert Glory-Bound Initiate as it attacks. When you do, it gets +1/+3 and gains lifelink until end of turn. (An exerted creature won't untap during your next untap step.)"
Approach of the Second Sun,7.0,['W'],['W'],None,['Sorcery'],None,Rare,PAKH,None,None,None,"If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life."
Gideon's Intervention,4.0,['W'],['W'],None,['Enchantment'],None,Rare,PAKH,None,None,None,"As Gideon's Intervention enters the battlefield, choose a card name.\nYour opponents can't cast spells with the chosen name.\nPrevent all damage that would be dealt to you and permanents you control by sources with the chosen name."
Aven Mindcensor,3.0,['W'],['W'],None,['Creature'],"['Bird', 'Wizard']",Rare,PAKH,2,1,None,"Flash\nFlying\nIf an opponent would search a library, that player searches the top four cards of that library instead."
Heaven // Earth,3.0,['G'],"['G', 'R']",None,['Instant'],None,Rare,PAKH,None,None,None,Heaven deals X damage to each creature with flying.
Angel of Sanctions,5.0,['W'],['W'],None,['Creature'],['Angel'],Mythic,PAKH,3,4,None,"Flying\nWhen Angel of Sanctions enters the battlefield, you may exile target nonland permanent an opponent controls until Angel of Sanctions leaves the battlefield.\nEmbalm {5}{W} ({5}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Angel with no mana cost. Embalm only as a sorcery.)"
Gideon of the Trials,3.0,['W'],['W'],['Legendary'],['Planeswalker'],['Gideon'],Mythic,PAKH,None,None,3,"[+1]: Until your next turn, prevent all damage target permanent would deal.\n[0]: Until end of turn, Gideon of the Trials becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.\n[0]: You get an emblem with ""As long as you control a Gideon planeswalker, you can't lose the game and your opponents can't win the game."""
Commit // Memory,10.0,['U'],['U'],None,['Instant'],None,Rare,PAKH,None,None,None,Put target spell or nonland permanent into its owner's library second from the top.
