Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Necropolis of Azar,4.0,['B'],['B'],None,['Enchantment'],None,Common,PAST,None,None,None,"Whenever a non-black creature is put into any graveyard from play, put a husk counter on Necropolis of Azar.\n{5}, Remove a husk counter from Necropolis of Azar: Put a Spawn of Azar token into play. Treat this token as a black creature with a random power and toughness, each no less than 1 and no greater than 3, that has swampwalk."
Prismatic Dragon,4.0,['W'],['W'],None,"['Summon', 'Dragon']",None,Common,PAST,2,3,None,"Flying\nDuring your upkeep, Prismatic Dragon becomes a random color permanently.\n{2}: Prismatic Dragon becomes a random color permanently."
Whimsy,2.0,['U'],['U'],None,['Sorcery'],None,Common,PAST,None,None,None,Play X random fast effects.
Gem Bazaar,0.0,None,None,None,['Land'],None,Common,PAST,None,None,None,"When Gem Bazaar comes into play, choose a random color.\n{T}: Add to your mana pool one mana of the color last chosen. Then choose a random color."
Pandora's Box,5.0,None,None,None,['Artifact'],None,Common,PAST,None,None,None,"{3}, {T}: Choose a random summon card from all players' decks. For each player, flip a coin. If the flip ends up heads, put a token creature into play and treat it as though an exact copy of the chosen summon card were just played."
Goblin Polka Band,2.0,['R'],['R'],None,"['Summon', 'Goblin']",None,Common,PAST,1,1,None,"{2}, {T}, Pay {R} for each target: Tap any number of random target creatures. Goblins tapped in this way do not untap during their controllers' next untap phases."
Power Struggle,5.0,['U'],['U'],None,['Enchantment'],None,Common,PAST,None,None,None,"During each player's upkeep, that player exchanges control of random target artifact, creature or land he or she controls, for control of random target permanent of the same type that a random opponent controls."
Aswan Jaguar,3.0,['G'],['G'],None,"['Summon', 'Jaguar']",None,Common,PAST,2,2,None,"When Aswan Jaguar comes into play, choose a random creature type from those in target opponent's deck.\n{G}{G}, {T}: Bury target creature of the chosen type."
Rainbow Knights,2.0,['W'],['W'],None,"['Summon', 'Knights']",None,Common,PAST,2,1,None,"When Rainbow Knights comes into play, it gains protection from a random color permanently.\n{1}: First strike until end of turn.\n{W}{W}: +0/+0, +1/+0 or +2/+0 until end of turn chosen at random."
Faerie Dragon,4.0,['G'],['G'],None,"['Summon', 'Dragon']",None,Common,PAST,1,3,None,Flying\n{1}{G}{G}: Play a random effect.
Call from the Grave,3.0,['B'],['B'],None,['Sorcery'],None,Common,PAST,None,None,None,Put a random creature from a random graveyard into play under your control. Call from the Grave deals to you an amount of damage equal to that creature's casting cost.
Orcish Catapult,2.0,['R'],['R'],None,['Instant'],None,Common,PAST,None,None,None,Randomly distribute X -0/-1 counters among a random number of random target creatures.
