Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Wasteland Strangler,3.0,None,['B'],None,['Creature'],"['Eldrazi', 'Processor']",Rare,PBFZ,3,2,None,"Devoid (This card has no color.)\nWhen Wasteland Strangler enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, target creature gets -3/-3 until end of turn."
Smothering Abomination,4.0,None,['B'],None,['Creature'],['Eldrazi'],Rare,PBFZ,4,3,None,"Devoid (This card has no color.)\nFlying\nAt the beginning of your upkeep, sacrifice a creature.\nWhenever you sacrifice a creature, draw a card."
Ugin's Insight,5.0,['U'],['U'],None,['Sorcery'],None,Rare,PBFZ,None,None,None,"Scry X, where X is the highest mana value among permanents you control, then draw three cards."
Scatter to the Winds,3.0,['U'],['U'],None,['Instant'],None,Rare,PBFZ,None,None,None,"Counter target spell.\nAwaken 3—{4}{U}{U} (If you cast this spell for {4}{U}{U}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
Prairie Stream,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,PBFZ,None,None,None,({T}: Add {W} or {U}.)\nPrairie Stream enters the battlefield tapped unless you control two or more basic lands.
Prism Array,5.0,['U'],"['B', 'G', 'R', 'U', 'W']",None,['Enchantment'],None,Rare,PBFZ,None,None,None,"Converge — Prism Array enters the battlefield with a crystal counter on it for each color of mana spent to cast it.\nRemove a crystal counter from Prism Array: Tap target creature.\n{W}{U}{B}{R}{G}: Scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Part the Waterveil,6.0,['U'],['U'],None,['Sorcery'],None,Mythic,PBFZ,None,None,None,"Take an extra turn after this one. Exile Part the Waterveil.\nAwaken 6—{6}{U}{U}{U} (If you cast this spell for {6}{U}{U}{U}, also put six +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
"Noyan Dar, Roil Shaper",5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Merfolk', 'Ally']",Rare,PBFZ,4,4,None,"Whenever you cast an instant or sorcery spell, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land."
Lumbering Falls,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PBFZ,None,None,None,Lumbering Falls enters the battlefield tapped.\n{T}: Add {G} or {U}.\n{2}{G}{U}: Lumbering Falls becomes a 3/3 green and blue Elemental creature with hexproof until end of turn. It's still a land.
Guardian of Tazeem,5.0,['U'],['U'],None,['Creature'],['Sphinx'],Rare,PBFZ,4,5,None,"Flying\nLandfall — Whenever a land enters the battlefield under your control, tap target creature an opponent controls. If that land is an Island, that creature doesn't untap during its controller's next untap step."
Exert Influence,5.0,['U'],['U'],None,['Sorcery'],None,Rare,PBFZ,None,None,None,Converge — Gain control of target creature if its power is less than or equal to the number of colors of mana spent to cast this spell.
Void Winnower,9.0,None,None,None,['Creature'],['Eldrazi'],Mythic,PBFZ,11,9,None,Your opponents can't cast spells with even mana values. (Zero is even.)\nYour opponents can't block with creatures with even mana values.
Quarantine Field,2.0,['W'],['W'],None,['Enchantment'],None,Mythic,PBFZ,None,None,None,"Quarantine Field enters the battlefield with X isolation counters on it.\nWhen Quarantine Field enters the battlefield, for each isolation counter on it, exile up to one target nonland permanent an opponent controls until Quarantine Field leaves the battlefield."
