Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
The Stasis Coffin,3.0,None,None,['Legendary'],['Artifact'],None,Rare,PBRO,None,None,None,"{2}, {T}, Exile The Stasis Coffin: You gain protection from everything until your next turn."
Portal to Phyrexia,9.0,None,None,None,['Artifact'],None,Mythic,PBRO,None,None,None,"When Portal to Phyrexia enters the battlefield, each opponent sacrifices three creatures.\nAt the beginning of your upkeep, put target creature card from a graveyard onto the battlefield under your control. It's a Phyrexian in addition to its other types."
"Urza, Planeswalker",8.0,"['U', 'W']","['U', 'W']",['Legendary'],['Planeswalker'],['Urza'],Mythic,PBRO,None,None,7,"You may activate the loyalty abilities of Urza, Planeswalker twice each turn rather than only once.\n[+2]: Artifact, instant, and sorcery spells you cast this turn cost {2} less to cast. You gain 2 life.\n[+1]: Draw two cards, then discard a card.\n[0]: Create two 1/1 colorless Soldier artifact creature tokens.\n[−3]: Exile target nonland permanent.\n[−10]: Artifacts and planeswalkers you control gain indestructible until end of turn. Destroy all nonland permanents."
"The Mightstone and Weakstone // Urza, Planeswalker",5.0,None,None,['Legendary'],['Artifact'],['Powerstone'],Rare,PBRO,None,None,None,"When The Mightstone and Weakstone enters the battlefield, choose one —\n• Draw two cards.\n• Target creature gets -5/-5 until end of turn.\n{T}: Add {C}{C}. This mana can't be spent to cast nonartifact spells.\n(Melds with Urza, Lord Protector.)"
"Liberator, Urza's Battlethopter",3.0,None,None,['Legendary'],"['Artifact', 'Creature']",['Thopter'],Rare,PBRO,1,2,None,"Flash\nFlying\nYou may cast colorless spells and artifact spells as though they had flash.\nWhenever you cast a spell, if the amount of mana spent to cast that spell is greater than Liberator, Urza's Battlethopter's power, put a +1/+1 counter on Liberator."
Cityscape Leveler,8.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Mythic,PBRO,8,8,None,"Trample\nWhen you cast this spell and whenever Cityscape Leveler attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token.\nUnearth {8}"
Clay Champion,4.0,None,"['G', 'W']",None,"['Artifact', 'Creature']",['Construct'],Mythic,PBRO,2,2,None,"Clay Champion enters the battlefield with three +1/+1 counters on it for each {G}{G} spent to cast it.\nWhen Clay Champion enters the battlefield, choose up to two other target creatures you control. For each {W}{W} spent to cast Clay Champion, put a +1/+1 counter on each of them."
Urza's Sylex,3.0,None,['W'],['Legendary'],['Artifact'],None,Mythic,PBRO,None,None,None,"{2}{W}{W}, {T}, Exile Urza's Sylex: Each player chooses six lands they control. Destroy all other permanents. Activate only as a sorcery.\nWhen Urza's Sylex is put into exile from the battlefield, you may pay {2}. If you do, search your library for a planeswalker card, reveal it, put it into your hand, then shuffle."
Bladecoil Serpent,6.0,None,"['B', 'R', 'U']",None,"['Artifact', 'Creature']",['Serpent'],Mythic,PBRO,5,4,None,"When Bladecoil Serpent enters the battlefield, for each {U}{U} spent to cast it, draw a card.\nWhen Bladecoil Serpent enters the battlefield, for each {B}{B} spent to cast it, each opponent discards a card.\nWhen Bladecoil Serpent enters the battlefield, for each {R}{R} spent to cast it, it gets +1/+0 and gains trample and haste until end of turn."
"Urza, Prince of Kroog",4.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Artificer']",Rare,PBRO,2,3,None,"Artifact creatures you control get +2/+2.\n{6}: Create a token that's a copy of target artifact you control, except it's a 1/1 Soldier creature in addition to its other types."
"Urza, Lord Protector // Urza, Planeswalker",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Artificer']",Mythic,PBRO,2,4,None,"Artifact, instant, and sorcery spells you cast cost {1} less to cast.\n{7}: If you both own and control Urza, Lord Protector and an artifact named The Mightstone and Weakstone, exile them, then meld them into Urza, Planeswalker. Activate only as a sorcery."
"Tocasia, Dig Site Mentor",4.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Artificer']",Rare,PBRO,4,3,None,"Creatures you control have vigilance and ""{T}: Surveil 1."" (To surveil 1, look at the top card of your library. You may put that card into your graveyard.)\n{2}{G}{G}{W}{W}{U}{U}, Exile Tocasia, Dig Site Mentor from your graveyard: Return any number of target artifact cards with total mana value 10 or less from your graveyard to the battlefield. Activate only as a sorcery."
"Tawnos, the Toymaker",5.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Human', 'Artificer']",Rare,PBRO,3,5,None,"Whenever you cast a Beast or Bird creature spell, you may copy it, except the copy is an artifact in addition to its other types. (The copy becomes a token.)"
Legions to Ashes,3.0,"['B', 'W']","['B', 'W']",None,['Sorcery'],None,Rare,PBRO,None,None,None,Exile target nonland permanent an opponent controls and all tokens that player controls with the same name as that permanent.
"Saheeli, Filigree Master",4.0,"['R', 'U']","['R', 'U']",['Legendary'],['Planeswalker'],['Saheeli'],Mythic,PBRO,None,None,3,"[+1]: Scry 1. You may tap an untapped artifact you control. If you do, draw a card.\n[−2]: Create two 1/1 colorless Thopter artifact creature tokens with flying. They gain haste until end of turn.\n[−4]: You get an emblem with ""Artifact creatures you control get +1/+1"" and ""Artifact spells you cast cost {1} less to cast."""
Sarinth Greatwurm,6.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Wurm'],Mythic,PBRO,7,6,None,"Trample\nWhenever a land enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Hostile Negotiations,4.0,['B'],['B'],None,['Instant'],None,Rare,PBRO,None,None,None,"Exile the top three cards of your library in a face-down pile, then exile the top three cards of your library in another face-down pile. Look at the cards in each pile, then turn a pile of your choice face up. An opponent chooses one of those piles. Put all cards in the chosen pile into your hand and the rest into your graveyard. You lose 3 life."
Queen Kayla bin-Kroog,3.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Noble']",Rare,PBRO,2,3,None,"{4}, {T}: Discard all the cards in your hand, then draw that many cards. You may choose an artifact or creature card with mana value 1 you discarded this way, then do the same for artifact or creature cards with mana values 2 and 3. Return those cards to the battlefield. Activate only as a sorcery."
"Mishra, Tamer of Mak Fawa",5.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Artificer']",Rare,PBRO,4,4,None,"Permanents you control have ""Ward—Sacrifice a permanent.""\nEach artifact card in your graveyard has unearth {1}{B}{R}. ({1}{B}{R}: Return the card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
"Mishra, Claimed by Gix // Mishra, Lost to Phyrexia",4.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Phyrexian', 'Human', 'Artificer']",Mythic,PBRO,3,5,None,"Whenever you attack, each opponent loses X life and you gain X life, where X is the number of attacking creatures. If Mishra, Claimed by Gix and a creature named Phyrexian Dragon Engine are attacking, and you both own and control them, exile them, then meld them into Mishra, Lost to Phyrexia. It enters the battlefield tapped and attacking."
"Harbin, Vanguard Aviator",2.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PBRO,3,2,None,"Flying\nWhenever you attack with five or more Soldiers, creatures you control get +1/+1 and gain flying until end of turn."
Titania's Command,6.0,['G'],['G'],None,['Sorcery'],None,Rare,PBRO,None,None,None,"Choose two —\n• Exile target player's graveyard. You gain 1 life for each card exiled this way.\n• Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle.\n• Create two 2/2 green Bear creature tokens.\n• Put two +1/+1 counters on each creature you control."
"Hajar, Loyal Bodyguard",2.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PBRO,3,3,None,"Sacrifice Hajar, Loyal Bodyguard: Legendary creatures you control get +1/+0 and gain indestructible until end of turn."
"Hurkyl, Master Wizard",3.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard', 'Advisor']",Rare,PBRO,2,4,None,"At the beginning of your end step, if you've cast a noncreature spell this turn, reveal the top five cards of your library. For each card type among noncreature spells you've cast this turn, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order."
Deathbloom Ritualist,5.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Elf', 'Warlock']",Rare,PBRO,3,5,None,"{T}: Add X mana of any one color, where X is the number of creature cards in your graveyard."
"Myrel, Shield of Argive",4.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,PBRO,3,4,None,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments.\nWhenever Myrel, Shield of Argive attacks, create X 1/1 colorless Soldier artifact creature tokens, where X is the number of Soldiers you control."
Rootwire Amalgam,5.0,None,['G'],None,"['Artifact', 'Creature']",['Golem'],Mythic,PBRO,5,5,None,"Prototype {1}{G} — 2/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\n{3}{G}{G}, Sacrifice Rootwire Amalgam: Create an X/X colorless Golem artifact creature token, where X is three times Rootwire Amalgam's power. It gains haste until end of turn. Activate only as a sorcery."
Simian Simulacrum,3.0,None,['G'],None,"['Artifact', 'Creature']",['Ape'],Rare,PBRO,2,1,None,"When Simian Simulacrum enters the battlefield, put two +1/+1 counters on target creature you control.\nUnearth {2}{G}{G} ({2}{G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Painful Quandary,5.0,['B'],['B'],None,['Enchantment'],None,Rare,PBRO,None,None,None,"Whenever an opponent casts a spell, that player loses 5 life unless they discard a card."
Gix's Command,5.0,['B'],['B'],None,['Sorcery'],None,Rare,PBRO,None,None,None,Choose two —\n• Put two +1/+1 counters on up to one creature. It gains lifelink until end of turn.\n• Destroy each creature with power 2 or less.\n• Return up to two creature cards from your graveyard to your hand.\n• Each opponent sacrifices a creature with the highest power among creatures they control.
Perennial Behemoth,5.0,None,['G'],None,"['Artifact', 'Creature']",['Beast'],Rare,PBRO,2,7,None,You may play lands from your graveyard.\nUnearth {G}{G} ({G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
Underground River,0.0,None,"['B', 'U']",None,['Land'],None,Rare,PBRO,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Underground River deals 1 damage to you.
"Teferi, Temporal Pilgrim",5.0,['U'],['U'],['Legendary'],['Planeswalker'],['Teferi'],Mythic,PBRO,None,None,4,"Whenever you draw a card, put a loyalty counter on Teferi, Temporal Pilgrim.\n[0]: Draw a card.\n[−2]: Create a 2/2 blue Spirit creature token with vigilance and ""Whenever you draw a card, put a +1/+1 counter on this creature.""\n[−12]: Target opponent chooses a permanent they control and returns it to its owner's hand. Then they shuffle each nonland permanent they control into its owner's library."
Skystrike Officer,3.0,['U'],['U'],None,['Creature'],"['Human', 'Soldier']",Rare,PBRO,2,3,None,"Flying\nWhenever Skystrike Officer attacks, create a 1/1 colorless Soldier artifact creature token.\nTap three untapped Soldiers you control: Draw a card."
Hurkyl's Final Meditation,7.0,['U'],['U'],None,['Instant'],None,Rare,PBRO,None,None,None,"As long as it's not your turn, this spell costs {3} more to cast.\nReturn all nonland permanents to their owners' hands. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)"
Teething Wurmlet,1.0,['G'],['G'],None,['Creature'],['Wurm'],Rare,PBRO,1,1,None,"Teething Wurmlet has deathtouch as long as you control three or more artifacts.\nWhenever an artifact enters the battlefield under your control, you gain 1 life. If this is the first time this ability has resolved this turn, put a +1/+1 counter on Teething Wurmlet."
Autonomous Assembler,5.0,None,['W'],None,"['Artifact', 'Creature']",['Assembly-Worker'],Rare,PBRO,4,5,None,"Prototype {1}{W} — 2/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nVigilance\n{1}, {T}: Put a +1/+1 counter on target Assembly-Worker you control."
"Gwenna, Eyes of Gaea",3.0,['G'],['G'],['Legendary'],['Creature'],"['Elf', 'Druid', 'Scout']",Rare,PBRO,2,3,None,"{T}: Add two mana in any combination of colors. Spend this mana only to cast creature spells or activate abilities of a creature or creature card.\nWhenever you cast a creature spell with power 5 or greater, put a +1/+1 counter on Gwenna, Eyes of Gaea and untap it."
Llanowar Wastes,0.0,None,"['B', 'G']",None,['Land'],None,Rare,PBRO,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {G}. Llanowar Wastes deals 1 damage to you.
"Drafna, Founder of Lat-Nam",2.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Artificer', 'Advisor']",Rare,PBRO,2,1,None,"{1}{U}: Return target artifact you control to its owner's hand.\n{3}, {T}: Copy target artifact spell you control. (The copy becomes a token.)"
Loran of the Third Path,3.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Artificer']",Rare,PBRO,2,1,None,"Vigilance\nWhen Loran of the Third Path enters the battlefield, destroy up to one target artifact or enchantment.\n{T}: You and target opponent each draw a card."
Hall of Tagsin,0.0,None,None,None,['Land'],None,Rare,PBRO,None,None,None,"{T}: Add {C}.\n{1}, {T}: Add one mana of any color.\n{4}, {T}: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Soul Partition,2.0,['W'],['W'],None,['Instant'],None,Rare,PBRO,None,None,None,"Exile target nonland permanent. For as long as that card remains exiled, its owner may play it. A spell cast by an opponent this way costs {2} more to cast."
Kayla's Reconstruction,3.0,['W'],['W'],None,['Sorcery'],None,Rare,PBRO,None,None,None,Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
