Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Dragonlair Spider,6.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Spider'],Rare,PCA,5,6,None,"Reach\nWhenever an opponent casts a spell, create a 1/1 green Insect creature token."
Vivid Creek,0.0,None,['U'],None,['Land'],None,Uncommon,PCA,None,None,None,"Vivid Creek enters the battlefield tapped with two charge counters on it.\n{T}: Add {U}.\n{T}, Remove a charge counter from Vivid Creek: Add one mana of any color."
"Vitu-Ghazi, the City-Tree",0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,PCA,None,None,None,"{T}: Add {C}.\n{2}{G}{W}, {T}: Create a 1/1 green Saproling creature token."
Terramorphic Expanse,0.0,None,None,None,['Land'],None,Common,PCA,None,None,None,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Tainted Isle,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,PCA,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Activate only if you control a Swamp.
Dimir Infiltrator,2.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Spirit'],Common,PCA,1,3,None,"Dimir Infiltrator can't be blocked.\nTransmute {1}{U}{B} ({1}{U}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)"
"Skarrg, the Rage Pits",0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,PCA,None,None,None,"{T}: Add {C}.\n{R}{G}, {T}: Target creature gets +1/+1 and gains trample until end of turn."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PCA,None,None,None,({T}: Add {B}.)
Shimmering Grotto,0.0,None,None,None,['Land'],None,Common,PCA,None,None,None,"{T}: Add {C}.\n{1}, {T}: Add one mana of any color."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PCA,None,None,None,({T}: Add {B}.)
Deny Reality,5.0,"['B', 'U']","['B', 'U']",None,['Sorcery'],None,Common,PCA,None,None,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)\nReturn target permanent to its owner's hand."
Selesnya Sanctuary,0.0,None,"['G', 'W']",None,['Land'],None,Common,PCA,None,None,None,"Selesnya Sanctuary enters the battlefield tapped.\nWhen Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {G}{W}."
Rupture Spire,0.0,None,None,None,['Land'],None,Common,PCA,None,None,None,"Rupture Spire enters the battlefield tapped.\nWhen Rupture Spire enters the battlefield, sacrifice it unless you pay {1}.\n{T}: Add one mana of any color."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PCA,None,None,None,({T}: Add {G}.)
Bloodbraid Elf,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Elf', 'Berserker']",Uncommon,PCA,3,2,None,"Haste\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PCA,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PCA,None,None,None,({T}: Add {G}.)
Kazandu Refuge,0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,PCA,None,None,None,"Kazandu Refuge enters the battlefield tapped.\nWhen Kazandu Refuge enters the battlefield, you gain 1 life.\n{T}: Add {R} or {G}."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PCA,None,None,None,({T}: Add {G}.)
Khalni Garden,0.0,None,['G'],None,['Land'],None,Common,PCA,None,None,None,"Khalni Garden enters the battlefield tapped.\nWhen Khalni Garden enters the battlefield, create a 0/1 green Plant creature token.\n{T}: Add {G}."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PCA,None,None,None,({T}: Add {G}.)
Krosan Verge,0.0,None,None,None,['Land'],None,Uncommon,PCA,None,None,None,"Krosan Verge enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle."
Bituminous Blast,5.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Uncommon,PCA,None,None,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)\nBituminous Blast deals 4 damage to target creature."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PCA,None,None,None,({T}: Add {G}.)
Jwar Isle Refuge,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,PCA,None,None,None,"Jwar Isle Refuge enters the battlefield tapped.\nWhen Jwar Isle Refuge enters the battlefield, you gain 1 life.\n{T}: Add {U} or {B}."
Gruul Turf,0.0,None,"['G', 'R']",None,['Land'],None,Common,PCA,None,None,None,"Gruul Turf enters the battlefield tapped.\nWhen Gruul Turf enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {R}{G}."
Graypelt Refuge,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,PCA,None,None,None,"Graypelt Refuge enters the battlefield tapped.\nWhen Graypelt Refuge enters the battlefield, you gain 1 life.\n{T}: Add {G} or {W}."
Baleful Strix,2.0,"['B', 'U']","['B', 'U']",None,"['Artifact', 'Creature']",['Bird'],Uncommon,PCA,1,1,None,"Flying, deathtouch\nWhen Baleful Strix enters the battlefield, draw a card."
Whispersilk Cloak,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,PCA,None,None,None,Equipped creature can't be blocked and has shroud. (It can't be the target of spells or abilities.)\nEquip {2}
Exotic Orchard,0.0,None,None,None,['Land'],None,Rare,PCA,None,None,None,{T}: Add one mana of any color that a land an opponent controls could produce.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PCA,None,None,None,({T}: Add {B}.)
Dimir Aqueduct,0.0,None,"['B', 'U']",None,['Land'],None,Common,PCA,None,None,None,"Dimir Aqueduct enters the battlefield tapped.\nWhen Dimir Aqueduct enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {U}{B}."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PCA,None,None,None,({T}: Add {R}.)
Noggle Ransacker,3.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Noggle', 'Rogue']",Uncommon,PCA,2,1,None,"When Noggle Ransacker enters the battlefield, each player draws two cards, then discards a card at random."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PCA,None,None,None,({T}: Add {U}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PCA,None,None,None,({T}: Add {R}.)
