Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Baldur's Gate,0.0,None,None,['Legendary'],['Land'],['Gate'],Rare,PCLB,None,None,None,"{T}: Add {C}.\n{2}, {T}: Add X mana of any one color, where X is the number of other Gates you control."
Spire Garden,0.0,None,"['G', 'R']",None,['Land'],None,Rare,PCLB,None,None,None,Spire Garden enters the battlefield tapped unless you have two or more opponents.\n{T}: Add {R} or {G}.
Bountiful Promenade,0.0,None,"['G', 'W']",None,['Land'],None,Rare,PCLB,None,None,None,Bountiful Promenade enters the battlefield tapped unless you have two or more opponents.\n{T}: Add {G} or {W}.
Sea of Clouds,0.0,None,"['U', 'W']",None,['Land'],None,Rare,PCLB,None,None,None,Sea of Clouds enters the battlefield tapped unless you have two or more opponents.\n{T}: Add {W} or {U}.
Vexing Puzzlebox,3.0,None,None,None,['Artifact'],None,Mythic,PCLB,None,None,None,"Whenever you roll one or more dice, put a number of charge counters on Vexing Puzzlebox equal to the result.\n{T}: Add one mana of any color. Roll a d20.\n{T}, Remove 100 charge counters from Vexing Puzzlebox: Search your library for an artifact card, put that card onto the battlefield, then shuffle."
Reflecting Pool,0.0,None,None,None,['Land'],None,Rare,PCLB,None,None,None,{T}: Add one mana of any type that a land you control could produce.
Morphic Pool,0.0,None,"['B', 'U']",None,['Land'],None,Rare,PCLB,None,None,None,Morphic Pool enters the battlefield tapped unless you have two or more opponents.\n{T}: Add {U} or {B}.
Luxury Suite,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PCLB,None,None,None,Luxury Suite enters the battlefield tapped unless you have two or more opponents.\n{T}: Add {B} or {R}.
Nautiloid Ship,4.0,None,None,None,['Artifact'],['Vehicle'],Mythic,PCLB,5,5,None,"Flying\nWhen Nautiloid Ship enters the battlefield, exile target player's graveyard.\nWhenever Nautiloid Ship deals combat damage to a player, you may put a creature card exiled with Nautiloid Ship onto the battlefield under your control.\nCrew 3"
Mirror of Life Trapping,4.0,None,None,None,['Artifact'],None,Rare,PCLB,None,None,None,"Whenever a creature enters the battlefield, if it was cast, exile it, then return all other permanent cards exiled with Mirror of Life Trapping to the battlefield under their owners' control."
Mighty Servant of Leuk-o,3.0,None,None,None,['Artifact'],['Vehicle'],Rare,PCLB,6,6,None,"Trample\nWard—Discard a card.\nWhenever Mighty Servant of Leuk-o becomes crewed for the first time each turn, if it was crewed by exactly two creatures, it gains ""Whenever this creature deals combat damage to a player, draw two cards"" until end of turn.\nCrew 4"
Fraying Line,4.0,None,None,None,['Artifact'],None,Rare,PCLB,None,None,None,"When Fraying Line enters the battlefield, put a rope counter on target creature you control.\nAt the beginning of each player's upkeep, that player may pay {2}. If they do, they put a rope counter on a creature they control. Otherwise, exile Fraying Line and each creature without a rope counter on it, then remove all rope counters from all creatures."
Blade of Selves,2.0,None,None,None,['Artifact'],['Equipment'],Rare,PCLB,None,None,None,"Equipped creature has myriad. (Whenever it attacks, for each opponent other than defending player, you may create a token that's a copy of that creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)\nEquip {4}"
Basilisk Collar,1.0,None,None,None,['Artifact'],['Equipment'],Rare,PCLB,None,None,None,Equipped creature has deathtouch and lifelink.\nEquip {2}
"Zevlor, Elturel Exile",4.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Tiefling', 'Warrior']",Rare,PCLB,4,2,None,"Haste\n{2}, {T}: When you next cast an instant or sorcery spell that targets only a single opponent or a single permanent an opponent controls this turn, for each other opponent, choose that player or a permanent they control, copy that spell, and the copy targets the chosen player or permanent."
"Tasha, the Witch Queen",5.0,"['B', 'U']","['B', 'U']",['Legendary'],['Planeswalker'],['Tasha'],Mythic,PCLB,None,None,4,"Whenever you cast a spell you don't own, create a 3/3 black Demon creature token.\n[+1]: Draw a card. For each opponent, exile up to one target instant or sorcery card from that player's graveyard and put a page counter on it.\n[−3]: You may cast a spell from among cards in exile with page counters on them without paying its mana cost.\nTasha, the Witch Queen can be your commander."
"Raphael, Fiendish Savior",5.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Devil', 'Noble']",Rare,PCLB,4,4,None,"Flying\nOther Demons, Devils, Imps, and Tieflings you control get +1/+1 and have lifelink.\nAt the beginning of each end step, if a creature card was put into your graveyard from anywhere this turn, create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target."""
"Raggadragga, Goreguts Boss",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Boar']",Rare,PCLB,4,4,None,"Each creature you control with a mana ability gets +2/+2.\nWhenever a creature you control with a mana ability attacks, untap it.\nWhenever you cast a spell, if at least seven mana was spent to cast it, untap target creature. It gets +7/+7 and gains trample until end of turn."
Nine-Fingers Keene,4.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Human', 'Rogue']",Rare,PCLB,4,4,None,"Menace\nWard—Pay 9 life.\nWhenever Nine-Fingers Keene deals combat damage to a player, look at the top nine cards of your library. You may put a Gate card from among them onto the battlefield. Then if you control nine or more Gates, put the rest into your hand. Otherwise, put the rest on the bottom of your library in a random order."
"Neera, Wild Mage",6.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Human', 'Elf', 'Shaman']",Rare,PCLB,2,7,None,"Whenever you cast a spell, you may put it on the bottom of its owner's library. If you do, reveal cards from the top of your library until you reveal a nonland card. You may cast that card without paying its mana cost. Then put all revealed cards not cast this way on the bottom of your library in a random order. This ability triggers only once each turn."
"Myrkul, Lord of Bones",7.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],['God'],Rare,PCLB,7,5,None,"As long as your life total is less than or equal to half your starting life total, Myrkul, Lord of Bones has indestructible.\nWhenever another nontoken creature you control dies, you may exile it. If you do, create a token that's a copy of that card, except it's an enchantment and loses all other card types."
"Minsc & Boo, Timeless Heroes",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Planeswalker'],['Minsc'],Mythic,PCLB,None,None,3,"When Minsc & Boo, Timeless Heroes enters the battlefield and at the beginning of your upkeep, you may create Boo, a legendary 1/1 red Hamster creature token with trample and haste.\n[+1]: Put three +1/+1 counters on up to one target creature with trample or haste.\n[−2]: Sacrifice a creature. When you do, Minsc & Boo, Timeless Heroes deals X damage to any target, where X is that creature's power. If the sacrificed creature was a Hamster, draw X cards.\nMinsc & Boo, Timeless Heroes can be your commander."
"Miirym, Sentinel Wyrm",6.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],"['Dragon', 'Spirit']",Rare,PCLB,6,6,None,"Flying, ward {2}\nWhenever another nontoken Dragon enters the battlefield under your control, create a token that's a copy of it, except the token isn't legendary."
