Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sudden Impact,4.0,['R'],['R'],None,['Instant'],None,Uncommon,PD2,None,None,None,Sudden Impact deals damage to target player equal to the number of cards in that player's hand.
Pillage,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,PD2,None,None,None,Destroy target artifact or land. It can't be regenerated.
Hammer of Bogardan,3.0,['R'],['R'],None,['Sorcery'],None,Rare,PD2,None,None,None,Hammer of Bogardan deals 3 damage to any target.\n{2}{R}{R}{R}: Return Hammer of Bogardan from your graveyard to your hand. Activate only during your upkeep.
Flames of the Blood Hand,3.0,['R'],['R'],None,['Instant'],None,Uncommon,PD2,None,None,None,"Flames of the Blood Hand deals 4 damage to target player or planeswalker. The damage can't be prevented. If that player or that planeswalker's controller would gain life this turn, that player gains no life instead."
Browbeat,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,PD2,None,None,None,"Any player may have Browbeat deal 5 damage to them. If no one does, target player draws three cards."
Reverberate,2.0,['R'],['R'],None,['Instant'],None,Rare,PD2,None,None,None,Copy target instant or sorcery spell. You may choose new targets for the copy.
Thunderbolt,2.0,['R'],['R'],None,['Instant'],None,Common,PD2,None,None,None,Choose one —\n• Thunderbolt deals 3 damage to target player or planeswalker.\n• Thunderbolt deals 4 damage to target creature with flying.
Price of Progress,2.0,['R'],['R'],None,['Instant'],None,Uncommon,PD2,None,None,None,Price of Progress deals damage to each player equal to twice the number of nonbasic lands that player controls.
Jackal Pup,1.0,['R'],['R'],None,['Creature'],['Jackal'],Uncommon,PD2,2,1,None,"Whenever Jackal Pup is dealt damage, it deals that much damage to you."
Keldon Champion,4.0,['R'],['R'],None,['Creature'],"['Human', 'Barbarian']",Uncommon,PD2,3,2,None,"Haste\nEcho {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Keldon Champion enters the battlefield, it deals 3 damage to target player or planeswalker."
Chain Lightning,1.0,['R'],['R'],None,['Sorcery'],None,Common,PD2,None,None,None,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy."
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Common,PD2,None,None,None,Lightning Bolt deals 3 damage to any target.
Fire Servant,5.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,PD2,4,3,None,"If a red instant or sorcery spell you control would deal damage, it deals double that damage instead."
