Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PD3,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PD3,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PD3,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PD3,None,None,None,({T}: Add {B}.)
Polluted Mire,0.0,None,['B'],None,['Land'],None,Common,PD3,None,None,None,"Polluted Mire enters the battlefield tapped.\n{T}: Add {B}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Ebon Stronghold,0.0,None,['B'],None,['Land'],None,Uncommon,PD3,None,None,None,"Ebon Stronghold enters the battlefield tapped.\n{T}: Add {B}.\n{T}, Sacrifice Ebon Stronghold: Add {B}{B}."
Crystal Vein,0.0,None,None,None,['Land'],None,Uncommon,PD3,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Crystal Vein: Add {C}{C}."
Dread Return,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PD3,None,None,None,Return target creature card from your graveyard to the battlefield.\nFlashback—Sacrifice three creatures. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Diabolic Servitude,4.0,['B'],['B'],None,['Enchantment'],None,Uncommon,PD3,None,None,None,"When Diabolic Servitude enters the battlefield, return target creature card from your graveyard to the battlefield.\nWhen the creature put onto the battlefield with Diabolic Servitude dies, exile it and return Diabolic Servitude to its owner's hand.\nWhen Diabolic Servitude leaves the battlefield, exile the creature put onto the battlefield with Diabolic Servitude."
Last Rites,3.0,['B'],['B'],None,['Sorcery'],None,Common,PD3,None,None,None,"Discard any number of cards. Target player reveals their hand, then you choose a nonland card from it for each card discarded this way. That player discards those cards."
Buried Alive,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PD3,None,None,None,"Search your library for up to three creature cards, put them into your graveyard, then shuffle."
Zombie Infestation,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,PD3,None,None,None,Discard two cards: Create a 2/2 black Zombie creature token.
Sickening Dreams,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PD3,None,None,None,"As an additional cost to cast this spell, discard X cards.\nSickening Dreams deals X damage to each creature and each player."
Hidden Horror,3.0,['B'],['B'],None,['Creature'],['Horror'],Uncommon,PD3,4,4,None,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card."
Entomb,1.0,['B'],['B'],None,['Instant'],None,Rare,PD3,None,None,None,"Search your library for a card, put that card into your graveyard, then shuffle."
Animate Dead,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,PD3,None,None,None,"Enchant creature card in a graveyard\nWhen Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.\nEnchanted creature gets -1/-0."
Exhume,2.0,['B'],['B'],None,['Sorcery'],None,Common,PD3,None,None,None,Each player puts a creature card from their graveyard onto the battlefield.
Reanimate,1.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PD3,None,None,None,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.
Duress,1.0,['B'],['B'],None,['Sorcery'],None,Common,PD3,None,None,None,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Cabal Therapy,1.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PD3,None,None,None,Choose a nonland card name. Target player reveals their hand and discards all cards with that name.\nFlashback—Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Blazing Archon,9.0,['W'],['W'],None,['Creature'],['Archon'],Rare,PD3,5,6,None,Flying\nCreatures can't attack you.
