Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Dungrove Elder,3.0,['G'],['G'],None,['Creature'],['Treefolk'],Rare,PDCI,*,*,None,Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nDungrove Elder's power and toughness are each equal to the number of Forests you control.
Stormblood Berserker,2.0,['R'],['R'],None,['Creature'],"['Human', 'Berserker']",Uncommon,PDCI,1,1,None,"Bloodthirst 2 (If an opponent was dealt damage this turn, this creature enters the battlefield with two +1/+1 counters on it.)\nMenace (This creature can't be blocked except by two or more creatures.)"
Circle of Flame,2.0,['R'],['R'],None,['Enchantment'],None,Rare,PDCI,None,None,None,"Whenever a creature without flying attacks you or a planeswalker you control, Circle of Flame deals 1 damage to that creature."
Auramancer,3.0,['W'],['W'],None,['Creature'],"['Human', 'Wizard']",Rare,PDCI,2,2,None,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand."
Tormented Soul,1.0,['B'],['B'],None,['Creature'],['Spirit'],Rare,PDCI,1,1,None,Tormented Soul can't block and can't be blocked.
Myr Superion,2.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Rare,PDCI,5,6,None,Spend only mana produced by creatures to cast this spell.
Priest of Urabrask,3.0,['R'],['R'],None,['Creature'],"['Phyrexian', 'Human', 'Cleric']",Uncommon,PDCI,2,1,None,"When Priest of Urabrask enters the battlefield, add {R}{R}{R}."
Shrine of Burning Rage,2.0,None,None,None,['Artifact'],None,Rare,PDCI,None,None,None,"At the beginning of your upkeep or whenever you cast a red spell, put a charge counter on Shrine of Burning Rage.\n{3}, {T}, Sacrifice Shrine of Burning Rage: It deals damage equal to the number of charge counters on it to any target."
Maul Splicer,7.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Human', 'Artificer']",Rare,PDCI,1,1,None,"When Maul Splicer enters the battlefield, create two 3/3 colorless Phyrexian Golem artifact creature tokens.\nGolem creatures you control have trample."
Vault Skirge,2.0,['B'],['B'],None,"['Artifact', 'Creature']","['Phyrexian', 'Imp']",Rare,PDCI,1,1,None,({B/P} can be paid with either {B} or 2 life.)\nFlying\nLifelink (Damage dealt by this creature also causes you to gain that much life.)
Black Sun's Zenith,2.0,['B'],['B'],None,['Sorcery'],None,Rare,PDCI,None,None,None,Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.
Treasure Mage,3.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,PDCI,2,2,None,"When Treasure Mage enters the battlefield, you may search your library for an artifact card with mana value 6 or greater, reveal it, put it into your hand, then shuffle."
Signal Pest,1.0,None,None,None,"['Artifact', 'Creature']",['Pest'],Rare,PDCI,0,1,None,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\nSignal Pest can't be blocked except by creatures with flying or reach."
Mind Stone,2.0,None,None,None,['Artifact'],None,Rare,PDCI,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Mind Stone: Draw a card."
Plague Myr,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Myr']",Rare,PDCI,1,1,None,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\n{T}: Add {C}.
Mogg Fanatic,1.0,['R'],['R'],None,['Creature'],['Goblin'],Rare,PDCI,1,1,None,Sacrifice Mogg Fanatic: It deals 1 damage to any target.
Master's Call,3.0,['W'],['W'],None,['Instant'],None,Rare,PDCI,None,None,None,Create two 1/1 colorless Myr artifact creature tokens.
Zoetic Cavern,0.0,None,None,None,['Land'],None,Rare,PDCI,None,None,None,{T}: Add {C}.\nMorph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
