Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Yavimaya Coast,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PDMU,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {U}. Yavimaya Coast deals 1 damage to you.
Thran Portal,0.0,None,None,None,['Land'],['Gate'],Rare,PDMU,None,None,None,"Thran Portal enters the battlefield tapped unless you control two or fewer other lands.\nAs Thran Portal enters the battlefield, choose a basic land type.\nThran Portal is the chosen type in addition to its other types.\nMana abilities of Thran Portal cost an additional 1 life to activate."
Sulfurous Springs,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PDMU,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.
Shivan Reef,0.0,None,"['R', 'U']",None,['Land'],None,Rare,PDMU,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.
Plaza of Heroes,0.0,None,None,None,['Land'],None,Rare,PDMU,None,None,None,"{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a legendary spell.\n{T}: Add one mana of any color among legendary permanents you control.\n{3}, {T}, Exile Plaza of Heroes: Target legendary creature gains hexproof and indestructible until end of turn."
Karplusan Forest,0.0,None,"['G', 'R']",None,['Land'],None,Rare,PDMU,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.
Caves of Koilos,0.0,None,"['B', 'W']",None,['Land'],None,Rare,PDMU,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.
Adarkar Wastes,0.0,None,"['U', 'W']",None,['Land'],None,Rare,PDMU,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.
Weatherlight Compleated,2.0,None,None,['Legendary'],['Artifact'],['Vehicle'],Mythic,PDMU,5,5,None,"Flying\nAs long as Weatherlight Compleated has four or more phyresis counters on it, it's a Phyrexian creature in addition to its other types.\nWhenever a creature you control dies, put a phyresis counter on Weatherlight Compleated. Then draw a card if it has seven or more phyresis counters on it. If it doesn't, scry 1."
Timeless Lotus,5.0,None,"['B', 'G', 'R', 'U', 'W']",['Legendary'],['Artifact'],None,Mythic,PDMU,None,None,None,Timeless Lotus enters the battlefield tapped.\n{T}: Add {W}{U}{B}{R}{G}.
