Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forebear's Blade,3.0,None,None,None,['Artifact'],['Equipment'],Rare,PDOM,None,None,None,"Equipped creature gets +3/+0 and has vigilance and trample.\nWhenever equipped creature dies, attach Forebear's Blade to target creature you control.\nEquip {3}"
Blackblade Reforged,2.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PDOM,None,None,None,Equipped creature gets +1/+1 for each land you control.\nEquip legendary creature {3}\nEquip {7}
"Slimefoot, the Stowaway",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],['Fungus'],Uncommon,PDOM,2,3,None,"Whenever a Saproling you control dies, Slimefoot, the Stowaway deals 1 damage to each opponent and you gain 1 life.\n{4}: Create a 1/1 green Saproling creature token."
"Tiana, Ship's Caretaker",5.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Angel', 'Artificer']",Uncommon,PDOM,3,3,None,"Flying, first strike\nWhenever an Aura or Equipment you control is put into a graveyard from the battlefield, you may return that card to its owner's hand at the beginning of the next end step."
"Shanna, Sisay's Legacy",2.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,PDOM,0,0,None,"Shanna, Sisay's Legacy can't be the target of abilities your opponents control.\nShanna gets +1/+1 for each creature you control."
"Teferi, Hero of Dominaria",5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Planeswalker'],['Teferi'],Mythic,PDOM,None,None,4,"[+1]: Draw a card. At the beginning of the next end step, untap up to two lands.\n[−3]: Put target nonland permanent into its owner's library third from the top.\n[−8]: You get an emblem with ""Whenever you draw a card, exile target permanent an opponent controls."""
"Tatyova, Benthic Druid",5.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Merfolk', 'Druid']",Uncommon,PDOM,3,3,None,"Landfall — Whenever a land enters the battlefield under your control, you gain 1 life and draw a card."
"Rona, Disciple of Gix",3.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Artificer']",Uncommon,PDOM,2,2,None,"When Rona, Disciple of Gix enters the battlefield, you may exile target historic card from your graveyard. (Artifacts, legendaries, and Sagas are historic.)\nYou may cast spells from among cards exiled with Rona.\n{4}, {T}: Exile the top card of your library."
"Karn, Scion of Urza",4.0,None,None,['Legendary'],['Planeswalker'],['Karn'],Mythic,PDOM,None,None,5,"[+1]: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it.\n[−1]: Put a card you own with a silver counter on it from exile into your hand.\n[−2]: Create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control."""
Oath of Teferi,5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Enchantment'],None,Rare,PDOM,None,None,None,"When Oath of Teferi enters the battlefield, exile another target permanent you control. Return it to the battlefield under its owner's control at the beginning of the next end step.\nYou may activate the loyalty abilities of planeswalkers you control twice each turn rather than only once."
"Muldrotha, the Gravetide",6.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Elemental', 'Avatar']",Mythic,PDOM,6,6,None,"During each of your turns, you may play a land and cast a permanent spell of each permanent type from your graveyard. (If a card has multiple permanent types, choose one as you play it.)"
"Jodah, Archmage Eternal",4.0,"['R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,PDOM,4,3,None,Flying\nYou may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells that you cast.
"Jhoira, Weatherlight Captain",4.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Human', 'Artificer']",Mythic,PDOM,3,3,None,"Whenever you cast a historic spell, draw a card. (Artifacts, legendaries, and Sagas are historic.)"
"Hallar, the Firefletcher",3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Elf', 'Archer']",Uncommon,PDOM,3,3,None,"Trample\nWhenever you cast a spell, if that spell was kicked, put a +1/+1 counter on Hallar, the Firefletcher, then Hallar deals damage equal to the number of +1/+1 counters on it to each opponent."
Grand Warlord Radha,4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Elf', 'Warrior']",Rare,PDOM,3,4,None,"Haste\nWhenever one or more creatures you control attack, add that much mana in any combination of {R} and/or {G}. Until end of turn, you don't lose this mana as steps and phases end."
"Garna, the Bloodflame",5.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,PDOM,3,3,None,"Flash\nWhen Garna, the Bloodflame enters the battlefield, return to your hand all creature cards in your graveyard that were put there from anywhere this turn.\nOther creatures you control have haste."
