Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Atarka's Command,2.0,"['G', 'R']","['G', 'R']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Your opponents can't gain life this turn.\n• Atarka's Command deals 3 damage to each opponent.\n• You may put a land card from your hand onto the battlefield.\n• Creatures you control get +1/+1 and gain reach until end of turn.
Arashin Sovereign,7.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Dragon'],Rare,PDTK,6,6,None,"Flying\nWhen Arashin Sovereign dies, you may put it on the top or bottom of its owner's library."
"Surrak, the Hunt Caller",4.0,['G'],['G'],['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,PDTK,5,4,None,"Formidable — At the beginning of combat on your turn, if creatures you control have total power 8 or greater, target creature you control gains haste until end of turn."
Scaleguard Sentinels,2.0,['G'],['G'],None,['Creature'],"['Human', 'Soldier']",Uncommon,PDTK,2,3,None,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand.\nScaleguard Sentinels enters the battlefield with a +1/+1 counter on it if you revealed a Dragon card or controlled a Dragon as you cast this spell."
Foe-Razer Regent,7.0,['G'],['G'],None,['Creature'],['Dragon'],Rare,PDTK,4,5,None,"Flying\nWhen Foe-Razer Regent enters the battlefield, you may have it fight target creature you don't control.\nWhenever a creature you control fights, put two +1/+1 counters on it at the beginning of the next end step."
Den Protector,2.0,['G'],['G'],None,['Creature'],"['Human', 'Warrior']",Rare,PDTK,2,1,None,"Creatures with power less than Den Protector's power can't block it.\nMegamorph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Den Protector is turned face up, return target card from your graveyard to your hand."
Avatar of the Resolute,2.0,['G'],['G'],None,['Creature'],['Avatar'],Rare,PDTK,3,2,None,"Reach, trample\nAvatar of the Resolute enters the battlefield with a +1/+1 counter on it for each other creature you control with a +1/+1 counter on it."
Zurgo Bellstriker,1.0,['R'],['R'],['Legendary'],['Creature'],"['Orc', 'Warrior']",Rare,PDTK,2,2,None,"Zurgo Bellstriker can't block creatures with power 2 or greater.\nDash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Volcanic Vision,7.0,['R'],['R'],None,['Sorcery'],None,Rare,PDTK,None,None,None,Return target instant or sorcery card from your graveyard to your hand. Volcanic Vision deals damage equal to that card's mana value to each creature your opponents control. Exile Volcanic Vision.
Thunderbreak Regent,4.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,PDTK,4,4,None,"Flying\nWhenever a Dragon you control becomes the target of a spell or ability an opponent controls, Thunderbreak Regent deals 3 damage to that player."
Pitiless Horde,3.0,['B'],['B'],None,['Creature'],"['Orc', 'Berserker']",Rare,PDTK,5,3,None,"At the beginning of your upkeep, you lose 2 life.\nDash {2}{B}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Profaner of the Dead,4.0,['U'],['U'],None,['Creature'],"['Naga', 'Wizard']",Rare,PDTK,3,3,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Profaner of the Dead exploits a creature, return to their owners' hands all creatures your opponents control with toughness less than the exploited creature's toughness."
Crater Elemental,3.0,['R'],['R'],None,['Creature'],['Elemental'],Rare,PDTK,0,6,None,"{R}, {T}, Sacrifice Crater Elemental: It deals 4 damage to target creature.\nFormidable — {2}{R}: Crater Elemental has base power 8 until end of turn. Activate only if creatures you control have total power 8 or greater."
Ire Shaman,2.0,['R'],['R'],None,['Creature'],"['Orc', 'Shaman']",Rare,PDTK,2,1,None,"Menace (This creature can't be blocked except by two or more creatures.)\nMegamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Ire Shaman is turned face up, exile the top card of your library. Until end of turn, you may play that card."
Living Lore,4.0,['U'],['U'],None,['Creature'],['Avatar'],Rare,PDTK,*,*,None,"As Living Lore enters the battlefield, exile an instant or sorcery card from your graveyard.\nLiving Lore's power and toughness are each equal to the exiled card's mana value.\nWhenever Living Lore deals combat damage, you may sacrifice it. If you do, you may cast the exiled card without paying its mana cost."
Silumgar's Command,5.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Counter target noncreature spell.\n• Return target permanent to its owner's hand.\n• Target creature gets -3/-3 until end of turn.\n• Destroy target planeswalker.
Stratus Dancer,2.0,['U'],['U'],None,['Creature'],"['Djinn', 'Monk']",Rare,PDTK,2,1,None,"Flying\nMegamorph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Stratus Dancer is turned face up, counter target instant or sorcery spell."
Pristine Skywise,6.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Dragon'],Rare,PDTK,6,4,None,"Flying\nWhenever you cast a noncreature spell, untap Pristine Skywise. It gains protection from the color of your choice until end of turn."
Ojutai's Command,4.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Return target creature card with mana value 2 or less from your graveyard to the battlefield.\n• You gain 4 life.\n• Counter target creature spell.\n• Draw a card.
Necromaster Dragon,5.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Dragon'],Rare,PDTK,4,4,None,"Flying\nWhenever Necromaster Dragon deals combat damage to a player, you may pay {2}. If you do, create a 2/2 black Zombie creature token and each opponent mills two cards."
Myth Realized,1.0,['W'],['W'],None,['Enchantment'],None,Rare,PDTK,None,None,None,"Whenever you cast a noncreature spell, put a lore counter on Myth Realized.\n{2}{W}: Put a lore counter on Myth Realized.\n{W}: Until end of turn, Myth Realized becomes a Monk Avatar creature in addition to its other types and gains ""This creature's power and toughness are each equal to the number of lore counters on it."""
Kolaghan's Command,3.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Return target creature card from your graveyard to your hand.\n• Target player discards a card.\n• Destroy target artifact.\n• Kolaghan's Command deals 2 damage to any target.
Harbinger of the Hunt,5.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Dragon'],Rare,PDTK,5,3,None,Flying\n{2}{R}: Harbinger of the Hunt deals 1 damage to each creature without flying.\n{2}{G}: Harbinger of the Hunt deals 1 damage to each other creature with flying.
Silumgar Assassin,2.0,['B'],['B'],None,['Creature'],"['Human', 'Assassin']",Rare,PDTK,2,1,None,"Creatures with power greater than Silumgar Assassin's power can't block it.\nMegamorph {2}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Silumgar Assassin is turned face up, destroy target creature with power 3 or less an opponent controls."
"Sidisi, Undead Vizier",5.0,['B'],['B'],['Legendary'],['Creature'],"['Zombie', 'Naga']",Rare,PDTK,4,6,None,"Deathtouch\nExploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Sidisi, Undead Vizier exploits a creature, you may search your library for a card, put it into your hand, then shuffle."
Dromoka's Command,2.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Prevent all damage target instant or sorcery spell would deal this turn.\n• Target player sacrifices an enchantment.\n• Put a +1/+1 counter on target creature.\n• Target creature you control fights target creature you don't control.
"Anafenza, Kin-Tree Spirit",2.0,['W'],['W'],['Legendary'],['Creature'],"['Spirit', 'Soldier']",Rare,PDTK,2,2,None,"Whenever another nontoken creature enters the battlefield under your control, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"
Dragonlord Silumgar,6.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PDTK,3,5,None,"Flying, deathtouch\nWhen Dragonlord Silumgar enters the battlefield, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar."
