Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Silumgar, the Drifting Death",6.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],['Dragon'],Rare,PFRF,3,7,None,"Flying, hexproof\nWhenever a Dragon you control attacks, creatures defending player controls get -1/-1 until end of turn."
"Ojutai, Soul of Winter",7.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,PFRF,5,6,None,"Flying, vigilance\nWhenever a Dragon you control attacks, tap target nonland permanent an opponent controls. That permanent doesn't untap during its controller's next untap step."
"Kolaghan, the Storm's Fury",5.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],['Dragon'],Rare,PFRF,4,5,None,"Flying\nWhenever a Dragon you control attacks, creatures you control get +1/+0 until end of turn.\nDash {3}{B}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
"Dromoka, the Eternal",5.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,PFRF,5,5,None,"Flying\nWhenever a Dragon you control attacks, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)"
Warden of the First Tree,1.0,['G'],"['B', 'G', 'W']",None,['Creature'],['Human'],Mythic,PFRF,1,1,None,"{1}{W/B}: Warden of the First Tree becomes a Human Warrior with base power and toughness 3/3.\n{2}{W/B}{W/B}: If Warden of the First Tree is a Warrior, it becomes a Human Spirit Warrior with trample and lifelink.\n{3}{W/B}{W/B}{W/B}: If Warden of the First Tree is a Spirit, put five +1/+1 counters on it."
Wildcall,2.0,['G'],['G'],None,['Sorcery'],None,Rare,PFRF,None,None,None,"Manifest the top card of your library, then put X +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
Yasova Dragonclaw,3.0,['G'],"['G', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,PFRF,4,2,None,"Trample\nAt the beginning of combat on your turn, you may pay {1}{U/R}{U/R}. If you do, gain control of target creature an opponent controls with power less than Yasova Dragonclaw's power until end of turn, untap that creature, and it gains haste until end of turn."
"Atarka, World Render",7.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],['Dragon'],Rare,PFRF,6,4,None,"Flying, trample\nWhenever a Dragon you control attacks, it gains double strike until end of turn."
Temur War Shaman,6.0,['G'],['G'],None,['Creature'],"['Human', 'Shaman']",Rare,PFRF,4,5,None,"When Temur War Shaman enters the battlefield, manifest the top card of your library. (Put that card onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)\nWhenever a permanent you control is turned face up, if it's a creature, you may have it fight target creature you don't control."
Mardu Shadowspear,1.0,['B'],['B'],None,['Creature'],"['Human', 'Warrior']",Uncommon,PFRF,1,1,None,"Whenever Mardu Shadowspear attacks, each opponent loses 1 life.\nDash {1}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Shamanic Revelation,5.0,['G'],['G'],None,['Sorcery'],None,Rare,PFRF,None,None,None,Draw a card for each creature you control.\nFerocious — You gain 4 life for each creature you control with power 4 or greater.
Sandsteppe Mastodon,7.0,['G'],['G'],None,['Creature'],['Elephant'],Rare,PFRF,5,5,None,"Reach\nWhen Sandsteppe Mastodon enters the battlefield, bolster 5. (Choose a creature with the least toughness among creatures you control and put five +1/+1 counters on it.)"
Shaman of the Great Hunt,4.0,['R'],"['G', 'R', 'U']",None,['Creature'],"['Orc', 'Shaman']",Mythic,PFRF,4,2,None,"Haste\nWhenever a creature you control deals combat damage to a player, put a +1/+1 counter on it.\nFerocious — {2}{G/U}{G/U}: Draw a card for each creature you control with power 4 or greater."
Flamewake Phoenix,3.0,['R'],['R'],None,['Creature'],['Phoenix'],Rare,PFRF,2,2,None,"Flying, haste\nFlamewake Phoenix attacks each combat if able.\nFerocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return Flamewake Phoenix from your graveyard to the battlefield."
Rally the Ancestors,2.0,['W'],['W'],None,['Instant'],None,Rare,PFRF,None,None,None,Return each creature card with mana value X or less from your graveyard to the battlefield. Exile those creatures at the beginning of your next upkeep. Exile Rally the Ancestors.
Flamerush Rider,5.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Rare,PFRF,3,3,None,"Whenever Flamerush Rider attacks, create a token that's a copy of another target attacking creature and that's tapped and attacking. Exile the token at end of combat.\nDash {2}{R}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
"Shu Yun, the Silent Tempest",3.0,['U'],"['R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Monk']",Rare,PFRF,3,2,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever you cast a noncreature spell, you may pay {R/W}{R/W}. If you do, target creature gains double strike until end of turn."
Archfiend of Depravity,5.0,['B'],['B'],None,['Creature'],['Demon'],Rare,PFRF,5,4,None,"Flying\nAt the beginning of each opponent's end step, that player chooses up to two creatures they control, then sacrifices the rest."
Mardu Strike Leader,3.0,['B'],['B'],None,['Creature'],"['Human', 'Warrior']",Rare,PFRF,3,2,None,"Whenever Mardu Strike Leader attacks, create a 2/1 black Warrior creature token.\nDash {3}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Arcbond,3.0,['R'],['R'],None,['Instant'],None,Rare,PFRF,None,None,None,"Choose target creature. Whenever that creature is dealt damage this turn, it deals that much damage to each other creature and each player."
Crux of Fate,5.0,['B'],['B'],None,['Sorcery'],None,Rare,PFRF,None,None,None,Choose one —\n• Destroy all Dragon creatures.\n• Destroy all non-Dragon creatures.
Supplant Form,6.0,['U'],['U'],None,['Instant'],None,Rare,PFRF,None,None,None,Return target creature to its owner's hand. You create a token that's a copy of that creature.
Mastery of the Unseen,2.0,['W'],['W'],None,['Enchantment'],None,Rare,PFRF,None,None,None,"Whenever a permanent you control is turned face up, you gain 1 life for each creature you control.\n{3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
Daghatar the Adamant,4.0,['W'],"['B', 'G', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,PFRF,0,0,None,Vigilance\nDaghatar the Adamant enters the battlefield with four +1/+1 counters on it.\n{1}{B/G}{B/G}: Move a +1/+1 counter from target creature onto a second target creature.
"Alesha, Who Smiles at Death",3.0,['R'],"['B', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,PFRF,3,2,None,"First strike\nWhenever Alesha, Who Smiles at Death attacks, you may pay {W/B}{W/B}. If you do, return target creature card with power 2 or less from your graveyard to the battlefield tapped and attacking."
Dragonscale General,4.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Rare,PFRF,2,3,None,"At the beginning of your end step, bolster X, where X is the number of tapped creatures you control. (Choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.)"
Sage-Eye Avengers,6.0,['U'],['U'],None,['Creature'],"['Djinn', 'Monk']",Rare,PFRF,4,5,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever Sage-Eye Avengers attacks, you may return target creature to its owner's hand if its power is less than Sage-Eye Avengers's power."
Soulflayer,6.0,['B'],['B'],None,['Creature'],['Demon'],Rare,PFRF,4,4,None,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nIf a creature card with flying was exiled with Soulflayer's delve ability, Soulflayer has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, reach, trample, and vigilance."
Jeskai Infiltrator,3.0,['U'],['U'],None,['Creature'],"['Human', 'Monk']",Rare,PFRF,2,3,None,"Jeskai Infiltrator can't be blocked as long as you control no other creatures.\nWhen Jeskai Infiltrator deals combat damage to a player, exile it and the top card of your library in a face-down pile, shuffle that pile, then manifest those cards. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
"Tasigur, the Golden Fang",6.0,['B'],"['B', 'G', 'U']",['Legendary'],['Creature'],"['Human', 'Shaman']",Rare,PFRF,4,5,None,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\n{2}{G/U}{G/U}: Mill two cards, then return a nonland card of an opponent's choice from your graveyard to your hand."
Soulfire Grand Master,2.0,['W'],"['R', 'U', 'W']",None,['Creature'],"['Human', 'Monk']",Mythic,PFRF,2,2,None,"Lifelink\nInstant and sorcery spells you control have lifelink.\n{2}{U/R}{U/R}: The next time you cast an instant or sorcery spell from your hand this turn, put that card into your hand instead of into your graveyard as it resolves."
Brutal Hordechief,4.0,['B'],"['B', 'R', 'W']",None,['Creature'],"['Orc', 'Warrior']",Mythic,PFRF,3,3,None,"Whenever a creature you control attacks, defending player loses 1 life and you gain 1 life.\n{3}{R/W}{R/W}: Creatures your opponents control block this turn if able, and you choose how those creatures block."
Torrent Elemental,5.0,['U'],"['B', 'G', 'U']",None,['Creature'],['Elemental'],Mythic,PFRF,3,5,None,"Flying\nWhenever Torrent Elemental attacks, tap all creatures defending player controls.\n{3}{B/G}{B/G}: Put Torrent Elemental from exile onto the battlefield tapped. Activate only as a sorcery."
