Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Connive // Concoct,9.0,"['U', 'B']","['B', 'U']",None,['Sorcery'],None,Rare,PGRN,None,None,None,Gain control of target creature with power 2 or less.
Boros Challenger,2.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Human', 'Soldier']",Uncommon,PGRN,2,3,None,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)\n{2}{R}{W}: Boros Challenger gets +1/+1 until end of turn."
Deafening Clarion,3.0,"['R', 'W']","['R', 'W']",None,['Sorcery'],None,Rare,PGRN,None,None,None,Choose one or both —\n• Deafening Clarion deals 3 damage to each creature.\n• Creatures you control gain lifelink until end of turn.
Unmoored Ego,3.0,"['B', 'U']","['B', 'U']",None,['Sorcery'],None,Rare,PGRN,None,None,None,"Choose a card name. Search target opponent's graveyard, hand, and library for up to four cards with that name and exile them. That player shuffles, then draws a card for each card exiled from their hand this way."
"Aurelia, Exemplar of Justice",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,PGRN,2,5,None,"Flying\nMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)\nAt the beginning of combat on your turn, choose up to one target creature you control. Until end of turn, that creature gets +2/+0, gains trample if it's red, and gains vigilance if it's white."
Runaway Steam-Kin,2.0,['R'],['R'],None,['Creature'],['Elemental'],Rare,PGRN,1,1,None,"Whenever you cast a red spell, if Runaway Steam-Kin has fewer than three +1/+1 counters on it, put a +1/+1 counter on Runaway Steam-Kin.\nRemove three +1/+1 counters from Runaway Steam-Kin: Add {R}{R}{R}."
Hatchery Spider,7.0,['G'],['G'],None,['Creature'],['Spider'],Rare,PGRN,5,7,None,"Reach\nUndergrowth — When you cast this spell, reveal the top X cards of your library, where X is the number of creature cards in your graveyard. You may put a green permanent card with mana value X or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order."
Vivid Revival,5.0,['G'],['G'],None,['Sorcery'],None,Rare,PGRN,None,None,None,Return up to three target multicolored cards from your graveyard to your hand. Exile Vivid Revival.
Pelt Collector,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Rare,PGRN,1,1,None,"Whenever another creature you control enters the battlefield or dies, if that creature's power is greater than Pelt Collector's, put a +1/+1 counter on Pelt Collector.\nAs long as Pelt Collector has three or more +1/+1 counters on it, it has trample."
Assassin's Trophy,2.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Rare,PGRN,None,None,None,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle."
Bounty of Might,6.0,['G'],['G'],None,['Instant'],None,Rare,PGRN,None,None,None,Target creature gets +3/+3 until end of turn.\nTarget creature gets +3/+3 until end of turn.\nTarget creature gets +3/+3 until end of turn.
Beast Whisperer,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,PGRN,2,3,None,"Whenever you cast a creature spell, draw a card."
