Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ramunap Excavator,3.0,['G'],['G'],None,['Creature'],"['Naga', 'Cleric']",Rare,PHOU,2,3,None,You may play lands from your graveyard.
Pride Sovereign,3.0,['G'],"['G', 'W']",None,['Creature'],['Cat'],Rare,PHOU,2,2,None,"Pride Sovereign gets +1/+1 for each other Cat you control.\n{W}, {T}, Exert Pride Sovereign: Create two 1/1 white Cat creature tokens with lifelink. (An exerted creature won't untap during your next untap step.)"
Majestic Myriarch,5.0,['G'],['G'],None,['Creature'],['Chimera'],Mythic,PHOU,*,*,None,"Majestic Myriarch's power and toughness are each equal to twice the number of creatures you control.\nAt the beginning of each combat, Majestic Myriarch gains flying until end of turn if you control a creature with flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance."
Hour of Promise,5.0,['G'],['G'],None,['Sorcery'],None,Rare,PHOU,None,None,None,"Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle. Then if you control three or more Deserts, create two 2/2 black Zombie creature tokens."
Wildfire Eternal,4.0,['R'],['R'],None,['Creature'],"['Zombie', 'Jackal', 'Cleric']",Rare,PHOU,1,4,None,"Afflict 4 (Whenever this creature becomes blocked, defending player loses 4 life.)\nWhenever Wildfire Eternal attacks and isn't blocked, you may cast an instant or sorcery spell from your hand without paying its mana cost."
"Neheb, the Eternal",5.0,['R'],['R'],['Legendary'],['Creature'],"['Zombie', 'Minotaur', 'Warrior']",Mythic,PHOU,4,6,None,"Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.)\nAt the beginning of your postcombat main phase, add {R} for each 1 life your opponents have lost this turn."
Adorned Pouncer,2.0,['W'],['W'],None,['Creature'],['Cat'],Rare,PHOU,1,1,None,"Double strike\nEternalize {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)"
Imminent Doom,3.0,['R'],['R'],None,['Enchantment'],None,Rare,PHOU,None,None,None,"Imminent Doom enters the battlefield with a doom counter on it.\nWhenever you cast a spell with mana value equal to the number of doom counters on Imminent Doom, Imminent Doom deals that much damage to any target. Then put a doom counter on Imminent Doom."
Hour of Devastation,5.0,['R'],['R'],None,['Sorcery'],None,Rare,PHOU,None,None,None,All creatures lose indestructible until end of turn. Hour of Devastation deals 5 damage to each creature and each non-Bolas planeswalker.
Hazoret's Undying Fury,6.0,['R'],['R'],None,['Sorcery'],None,Rare,PHOU,None,None,None,"Shuffle your library, then exile the top four cards. You may cast any number of spells with mana value 5 or less from among them without paying their mana costs. Lands you control don't untap during your next untap step."
