Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Marrow-Gnawer,5.0,['B'],['B'],['Legendary'],['Creature'],"['Rat', 'Rogue']",Rare,PHUK,2,3,None,"All Rats have fear.\n{T}, Sacrifice a Rat: Create X 1/1 black Rat creature tokens, where X is the number of Rats you control."
Betrayal of Flesh,6.0,['B'],['B'],None,['Instant'],None,Uncommon,PHUK,None,None,None,Choose one —\n• Destroy target creature.\n• Return target creature card from your graveyard to the battlefield.\nEntwine—Sacrifice three lands. (Choose both if you pay the entwine cost.)
Diabolic Tutor,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PHUK,None,None,None,"Search your library for a card, put that card into your hand, then shuffle."
Nezumi Bone-Reader,2.0,['B'],['B'],None,['Creature'],"['Rat', 'Shaman']",Uncommon,PHUK,1,1,None,"{B}, Sacrifice a creature: Target player discards a card. Activate only as a sorcery."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Larceny,5.0,['B'],['B'],None,['Enchantment'],None,Rare,PHUK,None,None,None,"Whenever a creature you control deals combat damage to a player, that player discards a card."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Rats' Feast,1.0,['B'],['B'],None,['Sorcery'],None,Common,PHUK,None,None,None,Exile X target cards from a single graveyard.
Carrion Rats,1.0,['B'],['B'],None,['Creature'],['Rat'],Common,PHUK,2,1,None,"Whenever Carrion Rats attacks or blocks, any player may exile a card from their graveyard. If a player does, Carrion Rats assigns no combat damage this turn."
Chittering Rats,3.0,['B'],['B'],None,['Creature'],['Rat'],Common,PHUK,2,2,None,"When Chittering Rats enters the battlefield, target opponent puts a card from their hand on top of their library."
Nezumi Graverobber // Nighteyes the Desecrator,2.0,['B'],['B'],None,['Creature'],"['Rat', 'Rogue']",Uncommon,PHUK,2,1,None,"{1}{B}: Exile target card from an opponent's graveyard. If no cards are in that graveyard, flip Nezumi Graverobber."
Gravestorm,3.0,['B'],['B'],None,['Enchantment'],None,Rare,PHUK,None,None,None,"At the beginning of your upkeep, target opponent may exile a card from their graveyard. If that player doesn't, you may draw a card."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PHUK,None,None,None,({T}: Add {B}.)
Nocturnal Raid,4.0,['B'],['B'],None,['Instant'],None,Uncommon,PHUK,None,None,None,Black creatures get +2/+0 until end of turn.
Crypt Rats,3.0,['B'],['B'],None,['Creature'],['Rat'],Uncommon,PHUK,1,1,None,{X}: Crypt Rats deals X damage to each creature and each player. Spend only black mana on X.
Suppress,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PHUK,None,None,None,"Target player exiles all cards from their hand face down. At the beginning of the end step of that player's next turn, that player returns those cards to their hand."
Patron of the Nezumi,7.0,['B'],['B'],['Legendary'],['Creature'],['Spirit'],Rare,PHUK,6,6,None,"Rat offering (You may cast this card any time you could cast an instant by sacrificing a Rat and paying the difference in mana costs between this and the sacrificed Rat. Mana cost includes color.)\nWhenever a permanent is put into an opponent's graveyard, that player loses 1 life."
