Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PIP,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PIP,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PIP,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PIP,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PIP,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PIP,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PIP,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PIP,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PIP,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PIP,None,None,None,({T}: Add {W}.)
Wasteland,0.0,None,None,None,['Land'],None,Rare,PIP,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Wasteland: Destroy target nonbasic land."
Crucible of Worlds,3.0,None,None,None,['Artifact'],None,Mythic,PIP,None,None,None,You may play lands from your graveyard.
Vandalblast,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,PIP,None,None,None,"Destroy target artifact you don't control.\nOverload {4}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Farewell,6.0,['W'],['W'],None,['Sorcery'],None,Rare,PIP,None,None,None,Choose one or more —\n• Exile all artifacts.\n• Exile all creatures.\n• Exile all enchantments.\n• Exile all graveyards.
Gemrazer,4.0,['G'],['G'],None,['Creature'],['Beast'],Rare,PIP,4,4,None,"Mutate {1}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)\nReach, trample\nWhenever this creature mutates, destroy target artifact or enchantment an opponent controls."
Hornet Queen,7.0,['G'],['G'],None,['Creature'],['Insect'],Rare,PIP,2,2,None,"Flying, deathtouch\nWhen Hornet Queen enters the battlefield, create four 1/1 green Insect creature tokens with flying and deathtouch."
Tarmogoyf,2.0,['G'],['G'],None,['Creature'],['Lhurgoyf'],Mythic,PIP,*,1+*,None,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
"Ayula, Queen Among Bears",2.0,['G'],['G'],['Legendary'],['Creature'],['Bear'],Rare,PIP,2,2,None,"Whenever another Bear enters the battlefield under your control, choose one —\n• Put two +1/+1 counters on target Bear.\n• Target Bear you control fights target creature you don't control."
Vigor,6.0,['G'],['G'],None,['Creature'],"['Elemental', 'Incarnation']",Rare,PIP,6,6,None,"Trample\nIf damage would be dealt to another creature you control, prevent that damage. Put a +1/+1 counter on that creature for each 1 damage prevented this way.\nWhen Vigor is put into a graveyard from anywhere, shuffle it into its owner's library."
Hullbreaker Horror,7.0,['U'],['U'],None,['Creature'],"['Kraken', 'Horror']",Rare,PIP,7,8,None,"Flash\nThis spell can't be countered.\nWhenever you cast a spell, choose up to one —\n• Return target spell you don't control to its owner's hand.\n• Return target nonland permanent to its owner's hand."
Ravages of War,4.0,['W'],['W'],None,['Sorcery'],None,Mythic,PIP,None,None,None,Destroy all lands.
Walking Ballista,0.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,PIP,0,0,None,Walking Ballista enters the battlefield with X +1/+1 counters on it.\n{4}: Put a +1/+1 counter on Walking Ballista.\nRemove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.
Grave Titan,6.0,['B'],['B'],None,['Creature'],['Giant'],Mythic,PIP,6,6,None,"Deathtouch\nWhenever Grave Titan enters the battlefield or attacks, create two 2/2 black Zombie creature tokens."
Lord of the Undead,3.0,['B'],['B'],None,['Creature'],['Zombie'],Rare,PIP,2,2,None,"Other Zombie creatures get +1/+1.\n{1}{B}, {T}: Return target Zombie card from your graveyard to your hand."
Pitiless Plunderer,4.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Uncommon,PIP,1,4,None,"Whenever another creature you control dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Mysterious Stranger,4.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Rare,PIP,3,2,None,"Flash\nWhen Mysterious Stranger enters the battlefield, for each graveyard with an instant or sorcery card in it, exile target instant or sorcery card from that graveyard. If two or more cards are exiled this way, choose one of them at random and copy it. You may cast the copy without paying its mana cost."
Morbid Opportunist,3.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Uncommon,PIP,1,3,None,"Whenever one or more other creatures die, draw a card. This ability triggers only once each turn."
Temple of Mystery,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PIP,None,None,None,"Temple of Mystery enters the battlefield tapped.\nWhen Temple of Mystery enters the battlefield, scry 1.\n{T}: Add {G} or {U}."
Masterwork of Ingenuity,1.0,None,None,None,['Artifact'],['Equipment'],Rare,PIP,None,None,None,You may have Masterwork of Ingenuity enter the battlefield as a copy of any Equipment on the battlefield.
"Cass, Hand of Vengeance",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Ranger']",Rare,PIP,4,3,None,"Vigilance\nWhenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature."
"Duchess, Wayward Tavernkeep",4.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Citizen']",Rare,PIP,4,3,None,"Hunters for Hire — Whenever a creature you control deals combat damage to a player, put a quest counter on it.\n{1}, Remove a quest counter from a permanent you control: Create a Junk token. (It's an artifact with ""{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")"
Assaultron Dominator,2.0,['R'],['R'],None,"['Artifact', 'Creature']",['Robot'],Rare,PIP,2,2,None,"When Assaultron Dominator enters the battlefield, you get {E}{E} (two energy counters).\nWhenever an artifact creature you control attacks, you may pay {E}. If you do, put your choice of a +1/+1, first strike, or trample counter on that creature."
Vault 12: The Necropolis,6.0,['B'],['B'],None,['Enchantment'],['Saga'],Rare,PIP,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Each player gets three rad counters.\nII — Create X 2/2 black Zombie Mutant creature tokens, where X is the total number of rad counters among players.\nIII — Put two +1/+1 counters on each creature you control that's a Zombie or Mutant."
"Red Death, Shipwrecker",2.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Crab', 'Mutant']",Rare,PIP,1,3,None,"Alluring Eyes — {T}: Goad target creature an opponent controls. That player draws a card. You add {R}. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)"
Intelligence Bobblehead,3.0,None,None,None,['Artifact'],['Bobblehead'],Uncommon,PIP,None,None,None,"{T}: Add one mana of any color.\n{5}, {T}: Draw X cards, where X is the number of Bobbleheads you control."
Puresteel Paladin,2.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,PIP,2,2,None,"Whenever an Equipment enters the battlefield under your control, you may draw a card.\nMetalcraft — Equipment you control have equip {0} as long as you control three or more artifacts."
Path to Exile,1.0,['W'],['W'],None,['Instant'],None,Uncommon,PIP,None,None,None,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Temple of Malice,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PIP,None,None,None,"Temple of Malice enters the battlefield tapped.\nWhen Temple of Malice enters the battlefield, scry 1.\n{T}: Add {B} or {R}."
Vexing Radgull,2.0,['U'],['U'],None,['Creature'],"['Bird', 'Mutant']",Uncommon,PIP,1,2,None,"Flying\nWhenever Vexing Radgull deals combat damage to a player, that player gets two rad counters if they don't have any rad counters. Otherwise, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Charisma Bobblehead,3.0,None,None,None,['Artifact'],['Bobblehead'],Uncommon,PIP,None,None,None,"{T}: Add one mana of any color.\n{4}, {T}: Create X 1/1 white Soldier creature tokens, where X is the number of Bobbleheads you control. Activate only as a sorcery."
Lightning Greaves,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,PIP,None,None,None,Equipped creature has haste and shroud. (It can't be the target of spells or abilities.)\nEquip {0}
Fireshrieker,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,PIP,None,None,None,Equipped creature has double strike. (It deals both first-strike and regular combat damage.)\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
