Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Hengegate Pathway // Mistgate Pathway,0.0,None,"['U', 'W']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {W}.
The World Tree,0.0,None,"['B', 'G', 'R', 'U', 'W']",None,['Land'],None,Rare,PKHM,None,None,None,"The World Tree enters the battlefield tapped.\n{T}: Add {G}.\nAs long as you control six or more lands, lands you control have ""{T}: Add one mana of any color.""\n{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}, {T}, Sacrifice The World Tree: Search your library for any number of God cards, put them onto the battlefield, then shuffle."
Faceless Haven,0.0,None,None,['Snow'],['Land'],None,Rare,PKHM,None,None,None,{T}: Add {C}.\n{S}{S}{S}: Faceless Haven becomes a 4/3 creature with vigilance and all creature types until end of turn. It's still a land. ({S} can be paid with one mana from a snow source.)
Tyrite Sanctum,0.0,None,None,None,['Land'],None,Rare,PKHM,None,None,None,"{T}: Add {C}.\n{2}, {T}: Target legendary creature becomes a God in addition to its other types. Put a +1/+1 counter on it.\n{4}, {T}, Sacrifice Tyrite Sanctum: Put an indestructible counter on target God."
Darkbore Pathway // Slitherbore Pathway,0.0,None,"['B', 'G']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {B}.
Blightstep Pathway // Searstep Pathway,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {B}.
Barkchannel Pathway // Tidechannel Pathway,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {G}.
Pyre of Heroes,2.0,None,None,None,['Artifact'],None,Rare,PKHM,None,None,None,"{2}, {T}, Sacrifice a creature: Search your library for a creature card that shares a creature type with the sacrificed creature and has mana value equal to 1 plus that creature's mana value. Put that card onto the battlefield, then shuffle. Activate only as a sorcery."
Maskwood Nexus,4.0,None,None,None,['Artifact'],None,Rare,PKHM,None,None,None,"Creatures you control are every creature type. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.\n{3}, {T}: Create a 2/2 blue Shapeshifter creature token with changeling. (It is every creature type.)"
Cosmos Elixir,4.0,None,None,None,['Artifact'],None,Rare,PKHM,None,None,None,"At the beginning of your end step, draw a card if your life total is greater than your starting life total. Otherwise, you gain 2 life."
Waking the Trolls,6.0,"['G', 'R']","['G', 'R']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Destroy target land.\nII — Put target land card from a graveyard onto the battlefield under your control.\nIII — Choose target opponent. If they control fewer lands than you, create a number of 4/4 green Troll Warrior creature tokens with trample equal to the difference."
Showdown of the Skalds,4.0,"['R', 'W']","['R', 'W']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Exile the top four cards of your library. Until the end of your next turn, you may play those cards.\nII, III — Whenever you cast a spell this turn, put a +1/+1 counter on target creature you control."
"Sarulf, Realm Eater",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],['Wolf'],Rare,PKHM,3,3,None,"Whenever a permanent an opponent controls is put into a graveyard from the battlefield, put a +1/+1 counter on Sarulf, Realm Eater.\nAt the beginning of your upkeep, if Sarulf has one or more +1/+1 counters on it, you may remove all of them. If you do, exile each other nonland permanent with mana value less than or equal to the number of counters removed this way."
The Raven's Warning,3.0,"['U', 'W']","['U', 'W']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Create a 1/1 blue Bird creature token with flying. You gain 2 life.\nII — Whenever one or more creatures you control with flying deal combat damage to a player this turn, look at that player's hand and draw a card.\nIII — You may put a card you own from outside the game on top of your library."
Niko Aris,3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Planeswalker'],['Niko'],Mythic,PKHM,None,None,3,"When Niko Aris enters the battlefield, create X Shard tokens. (They're enchantments with ""{2}, Sacrifice this enchantment: Scry 1, then draw a card."")\n[+1]: Up to one target creature you control can't be blocked this turn. Whenever that creature deals damage this turn, return it to its owner's hand.\n[−1]: Niko Aris deals 2 damage to target tapped creature for each card you've drawn this turn.\n[−1]: Create a Shard token."
"Koma, Cosmos Serpent",7.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],['Serpent'],Mythic,PKHM,6,6,None,"This spell can't be countered.\nAt the beginning of each upkeep, create a 3/3 blue Serpent creature token named Koma's Coil.\nSacrifice another Serpent: Choose one —\n• Tap target permanent. Its activated abilities can't be activated this turn.\n• Koma, Cosmos Serpent gains indestructible until end of turn."
King Narfi's Betrayal,3.0,"['B', 'U']","['B', 'U']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Each player mills four cards. Then you may exile a creature or planeswalker card from each graveyard.\nII, III — Until end of turn, you may cast spells from among cards exiled with King Narfi's Betrayal, and you may spend mana as though it were mana of any color to cast those spells."
Kaya the Inexorable,5.0,"['B', 'W']","['B', 'W']",['Legendary'],['Planeswalker'],['Kaya'],Mythic,PKHM,None,None,5,"[+1]: Put a ghostform counter on up to one target nontoken creature. It gains ""When this creature dies or is put into exile, return it to its owner's hand and create a 1/1 white Spirit creature token with flying.""\n[−3]: Exile target nonland permanent.\n[−7]: You get an emblem with ""At the beginning of your upkeep, you may cast a legendary spell from your hand, from your graveyard, or from among cards you own in exile without paying its mana cost."""
