Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Trap Essence,3.0,"['G', 'R', 'U']","['G', 'R', 'U']",None,['Instant'],None,Rare,PKTK,None,None,None,Counter target creature spell. Put two +1/+1 counters on up to one target creature.
Trail of Mystery,2.0,['G'],['G'],None,['Enchantment'],None,Rare,PKTK,None,None,None,"Whenever a face-down creature enters the battlefield under your control, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.\nWhenever a permanent you control is turned face up, if it's a creature, it gets +2/+2 until end of turn."
Temur Ascendancy,3.0,"['G', 'R', 'U']","['G', 'R', 'U']",None,['Enchantment'],None,Rare,PKTK,None,None,None,"Creatures you control have haste.\nWhenever a creature with power 4 or greater enters the battlefield under your control, you may draw a card."
Surrak Dragonclaw,5.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,PKTK,6,6,None,Flash\nThis spell can't be countered.\nCreature spells you control can't be countered.\nOther creatures you control have trample.
Sultai Charm,3.0,"['B', 'G', 'U']","['B', 'G', 'U']",None,['Instant'],None,Uncommon,PKTK,None,None,None,"Choose one —\n• Destroy target monocolored creature.\n• Destroy target artifact or enchantment.\n• Draw two cards, then discard a card."
Rattleclaw Mystic,2.0,['G'],"['G', 'R', 'U']",None,['Creature'],"['Human', 'Shaman']",Rare,PKTK,2,1,None,"{T}: Add {G}, {U}, or {R}.\nMorph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Rattleclaw Mystic is turned face up, add {G}{U}{R}."
Sultai Ascendancy,3.0,"['B', 'G', 'U']","['B', 'G', 'U']",None,['Enchantment'],None,Rare,PKTK,None,None,None,"At the beginning of your upkeep, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Siege Rhino,4.0,"['B', 'G', 'W']","['B', 'G', 'W']",None,['Creature'],['Rhino'],Rare,PKTK,4,5,None,"Trample\nWhen Siege Rhino enters the battlefield, each opponent loses 3 life and you gain 3 life."
"Sidisi, Brood Tyrant",4.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Naga', 'Shaman']",Mythic,PKTK,3,3,None,"Whenever Sidisi, Brood Tyrant enters the battlefield or attacks, mill three cards.\nWhenever one or more creature cards are put into your graveyard from your library, create a 2/2 black Zombie creature token."
High Sentinels of Arashin,4.0,['W'],['W'],None,['Creature'],"['Bird', 'Soldier']",Rare,PKTK,3,4,None,Flying\nHigh Sentinels of Arashin gets +1/+1 for each other creature you control with a +1/+1 counter on it.\n{3}{W}: Put a +1/+1 counter on target creature.
