Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Trumpeting Carnosaur,6.0,['R'],['R'],None,['Creature'],['Dinosaur'],Rare,PLCI,7,6,None,"Trample\nWhen Trumpeting Carnosaur enters the battlefield, discover 5.\n{2}{R}, Discard Trumpeting Carnosaur: It deals 3 damage to target creature or planeswalker."
Poetic Ingenuity,3.0,['R'],['R'],None,['Enchantment'],None,Rare,PLCI,None,None,None,"Whenever one or more Dinosaurs you control attack, create that many Treasure tokens.\nWhenever you cast an artifact spell, create a 3/1 red Dinosaur creature token. This ability triggers only once each turn."
"Ojer Axonil, Deepest Might // Temple of Power",4.0,['R'],['R'],['Legendary'],['Creature'],['God'],Mythic,PLCI,4,4,None,"Trample\nIf a red source you control would deal an amount of noncombat damage less than Ojer Axonil's power to an opponent, that source deals damage equal to Ojer Axonil's power instead.\nWhen Ojer Axonil dies, return it to the battlefield tapped and transformed under its owner's control."
Magmatic Galleon,5.0,['R'],['R'],None,['Artifact'],['Vehicle'],Rare,PLCI,5,5,None,"When Magmatic Galleon enters the battlefield, it deals 5 damage to target creature an opponent controls.\nWhenever one or more creatures your opponents control are dealt excess noncombat damage, create a Treasure token.\nCrew 2"
"Inti, Seneschal of the Sun",2.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Knight']",Rare,PLCI,2,2,None,"Whenever you attack, you may discard a card. When you do, put a +1/+1 counter on target attacking creature. It gains trample until end of turn.\nWhenever you discard one or more cards, exile the top card of your library. You may play that card until your next end step."
"Ojer Kaslem, Deepest Growth // Temple of Cultivation",5.0,['G'],['G'],['Legendary'],['Creature'],['God'],Mythic,PLCI,6,5,None,"Trample\nWhenever Ojer Kaslem deals combat damage to a player, reveal that many cards from the top of your library. You may put a creature card and/or a land card from among them onto the battlefield. Put the rest on the bottom in a random order.\nWhen Ojer Kaslem dies, return it to the battlefield tapped and transformed under its owner's control."
Hit the Mother Lode,7.0,['R'],['R'],None,['Sorcery'],None,Rare,PLCI,None,None,None,"Discover 10. If the discovered card's mana value is less than 10, create a number of tapped Treasure tokens equal to the difference. (To discover 10, exile cards from the top of your library until you exile a nonland card with mana value 10 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)"
Dire Flail // Dire Blunderbuss,1.0,['R'],['R'],None,['Artifact'],['Equipment'],Rare,PLCI,None,None,None,"Equipped creature gets +2/+0.\nEquip {1}\nCraft with artifact {3}{R}{R} ({3}{R}{R}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner's control. Craft only as a sorcery.)"
"Breeches, Eager Pillager",3.0,['R'],['R'],['Legendary'],['Creature'],"['Goblin', 'Pirate']",Rare,PLCI,3,3,None,"First strike\nWhenever a Pirate you control attacks, choose one that hasn't been chosen this turn —\n• Create a Treasure token.\n• Target creature can't block this turn.\n• Exile the top card of your library. You may play it this turn."
"Brass's Tunnel-Grinder // Tecutlan, the Searing Rift",3.0,['R'],['R'],['Legendary'],['Artifact'],None,Rare,PLCI,None,None,None,"When Brass's Tunnel-Grinder enters the battlefield, discard any number of cards, then draw that many cards plus one.\nAt the beginning of your end step, if you descended this turn, put a bore counter on Brass's Tunnel-Grinder. Then if there are three or more bore counters on it, remove those counters and transform it. (You descended if a permanent card was put into your graveyard from anywhere.)"
