Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Cruel Celebrant,2.0,"['B', 'W']","['B', 'W']",None,['Creature'],['Vampire'],Uncommon,PLIST,1,2,None,"Whenever Cruel Celebrant or another creature or planeswalker you control dies, each opponent loses 1 life and you gain 1 life."
Belligerent Brontodon,7.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Dinosaur'],Uncommon,PLIST,4,6,None,Each creature you control assigns combat damage equal to its toughness rather than its power.
Witchstalker,3.0,['G'],['G'],None,['Creature'],['Wolf'],Rare,PLIST,3,3,None,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nWhenever an opponent casts a blue or black spell during your turn, put a +1/+1 counter on Witchstalker."
Strangleroot Geist,2.0,['G'],['G'],None,['Creature'],['Spirit'],Uncommon,PLIST,2,1,None,"Haste\nUndying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)"
Song of Freyalise,2.0,['G'],['G'],None,['Enchantment'],['Saga'],Uncommon,PLIST,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI, II — Until your next turn, creatures you control gain ""{T}: Add one mana of any color.""\nIII — Put a +1/+1 counter on each creature you control. Those creatures gain vigilance, trample, and indestructible until end of turn."
Pir's Whim,4.0,['G'],['G'],None,['Sorcery'],None,Rare,PLIST,None,None,None,"For each player, choose friend or foe. Each friend searches their library for a land card, puts it onto the battlefield tapped, then shuffles. Each foe sacrifices an artifact or enchantment they control."
"Skullbriar, the Walking Grave",2.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Zombie', 'Elemental']",Rare,PLIST,1,1,None,"Haste\nWhenever Skullbriar, the Walking Grave deals combat damage to a player, put a +1/+1 counter on it.\nCounters remain on Skullbriar as it moves to any zone other than a player's hand or library."
"Lorthos, the Tidemaker",8.0,['U'],['U'],['Legendary'],['Creature'],['Octopus'],Mythic,PLIST,8,8,None,"Whenever Lorthos, the Tidemaker attacks, you may pay {8}. If you do, tap up to eight target permanents. Those permanents don't untap during their controllers' next untap steps."
Noxious Revival,1.0,['G'],['G'],None,['Instant'],None,Uncommon,PLIST,None,None,None,({G/P} can be paid with either {G} or 2 life.)\nPut target card from a graveyard on top of its owner's library.
Latchkey Faerie,4.0,['U'],['U'],None,['Creature'],"['Faerie', 'Rogue']",Common,PLIST,3,1,None,"Flying\nProwl {2}{U} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Faerie or Rogue.)\nWhen Latchkey Faerie enters the battlefield, if its prowl cost was paid, draw a card."
Mongrel Pack,4.0,['G'],['G'],None,['Creature'],['Dog'],Rare,PLIST,4,1,None,"When Mongrel Pack dies during combat, create four 1/1 green Dog creature tokens."
Keeper of the Nine Gales,3.0,['U'],['U'],None,['Creature'],"['Bird', 'Wizard']",Rare,PLIST,1,2,None,"Flying\n{T}, Tap two untapped Birds you control: Return target permanent to its owner's hand."
"Karador, Ghost Chieftain",8.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Centaur', 'Spirit']",Mythic,PLIST,3,4,None,"This spell costs {1} less to cast for each creature card in your graveyard.\nDuring each of your turns, you may cast a creature spell from your graveyard."
Jwari Shapeshifter,2.0,['U'],['U'],None,['Creature'],"['Shapeshifter', 'Ally']",Rare,PLIST,0,0,None,You may have Jwari Shapeshifter enter the battlefield as a copy of any Ally creature on the battlefield.
Joraga Treespeaker,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Uncommon,PLIST,1,1,None,"Level up {1}{G} ({1}{G}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-4\n1/2\n{T}: Add {G}{G}.\nLEVEL 5+\n1/4\nElves you control have ""{T}: Add {G}{G}."""
"Ixidor, Reality Sculptor",5.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,PLIST,3,4,None,Face-down creatures get +1/+1.\n{2}{U}: Turn target face-down creature face up.
Gutter Grime,5.0,['G'],['G'],None,['Enchantment'],None,Rare,PLIST,None,None,None,"Whenever a nontoken creature you control dies, put a slime counter on Gutter Grime, then create a green Ooze creature token with ""This creature's power and toughness are each equal to the number of slime counters on Gutter Grime."""
Forced Fruition,6.0,['U'],['U'],None,['Enchantment'],None,Rare,PLIST,None,None,None,"Whenever an opponent casts a spell, that player draws seven cards."
Exuberant Wolfbear,4.0,['G'],['G'],None,['Creature'],"['Wolf', 'Bear']",Uncommon,PLIST,4,4,None,"Whenever Exuberant Wolfbear attacks, you may change the base power and toughness of target Human you control to Exuberant Wolfbear's power and toughness until end of turn."
Fabricate,3.0,['U'],['U'],None,['Sorcery'],None,Uncommon,PLIST,None,None,None,"Search your library for an artifact card, reveal it, put it into your hand, then shuffle."
Deathcoil Wurm,8.0,['G'],['G'],None,['Creature'],['Wurm'],Rare,PLIST,7,6,None,You may have Deathcoil Wurm assign its combat damage as though it weren't blocked.
Eye of the Storm,7.0,['U'],['U'],None,['Enchantment'],None,Rare,PLIST,None,None,None,"Whenever a player casts an instant or sorcery card, exile it. Then that player copies each instant or sorcery card exiled with Eye of the Storm. For each copy, the player may cast the copy without paying its mana cost."
Cult of the Waxing Moon,5.0,['G'],['G'],None,['Creature'],"['Human', 'Shaman']",Uncommon,PLIST,5,4,None,"Whenever a permanent you control transforms into a non-Human creature, create a 2/2 green Wolf creature token."
Tree of Tales,0.0,None,['G'],None,"['Artifact', 'Land']",None,Common,PLIST,None,None,None,{T}: Add {G}.
Commencement of Festivities,2.0,['G'],['G'],None,['Instant'],None,Common,PLIST,None,None,None,Prevent all combat damage that would be dealt to players this turn.
Everflowing Chalice,0.0,None,None,None,['Artifact'],None,Uncommon,PLIST,None,None,None,Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.)\nEverflowing Chalice enters the battlefield with a charge counter on it for each time it was kicked.\n{T}: Add {C} for each charge counter on Everflowing Chalice.
Assault Formation,2.0,['G'],['G'],None,['Enchantment'],None,Uncommon,PLIST,None,None,None,Each creature you control assigns combat damage equal to its toughness rather than its power.\n{G}: Target creature with defender can attack this turn as though it didn't have defender.\n{2}{G}: Creatures you control get +0/+1 until end of turn.
Erratic Portal,4.0,None,None,None,['Artifact'],None,Rare,PLIST,None,None,None,"{1}, {T}: Return target creature to its owner's hand unless its controller pays {1}."
Vow of Lightning,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,PLIST,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2, has first strike, and can't attack you or planeswalkers you control."
Electrostatic Pummeler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,PLIST,1,1,None,"When Electrostatic Pummeler enters the battlefield, you get {E}{E}{E} (three energy counters).\nPay {E}{E}{E}: Electrostatic Pummeler gets +X/+X until end of turn, where X is its power."
Crimson Muckwader,2.0,['R'],"['B', 'R']",None,['Creature'],['Lizard'],Uncommon,PLIST,2,1,None,"Crimson Muckwader gets +1/+1 as long as you control a Swamp.\n{2}{B}: Regenerate Crimson Muckwader. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Door to Nothingness,5.0,None,"['B', 'G', 'R', 'U', 'W']",None,['Artifact'],None,Rare,PLIST,None,None,None,"Door to Nothingness enters the battlefield tapped.\n{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}, {T}, Sacrifice Door to Nothingness: Target player loses the game."
Chandra Nalaar,5.0,['R'],['R'],['Legendary'],['Planeswalker'],['Chandra'],Mythic,PLIST,None,None,6,[+1]: Chandra Nalaar deals 1 damage to target player or planeswalker.\n[−X]: Chandra Nalaar deals X damage to target creature.\n[−8]: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Crown of Empires,2.0,None,None,None,['Artifact'],None,Uncommon,PLIST,None,None,None,"{3}, {T}: Tap target creature. Gain control of that creature instead if you control artifacts named Scepter of Empires and Throne of Empires."
Ceremonial Guard,3.0,['R'],['R'],None,['Creature'],"['Human', 'Soldier']",Common,PLIST,3,4,None,"When Ceremonial Guard attacks or blocks, destroy it at end of combat."
Contagion Engine,6.0,None,None,None,['Artifact'],None,Rare,PLIST,None,None,None,"When Contagion Engine enters the battlefield, put a -1/-1 counter on each creature target player controls.\n{4}, {T}: Proliferate, then proliferate again. (Choose any number of permanents and/or players, then give each another counter of each kind already there. Then do it again.)"
Boiling Blood,3.0,['R'],['R'],None,['Instant'],None,Common,PLIST,None,None,None,Target creature attacks this turn if able.\nDraw a card.
Clearwater Goblet,5.0,None,None,None,['Artifact'],None,Rare,PLIST,None,None,None,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\nAt the beginning of your upkeep, you may gain life equal to the number of charge counters on Clearwater Goblet."
Blood Rites,5.0,['R'],['R'],None,['Enchantment'],None,Uncommon,PLIST,None,None,None,"{1}{R}, Sacrifice a creature: Blood Rites deals 2 damage to any target."
The Chain Veil,4.0,None,None,['Legendary'],['Artifact'],None,Mythic,PLIST,None,None,None,"At the beginning of your end step, if you didn't activate a loyalty ability of a planeswalker this turn, you lose 2 life.\n{4}, {T}: For each planeswalker you control, you may activate one of its loyalty abilities once this turn as though none of its loyalty abilities have been activated this turn."
Blood Moon,3.0,['R'],['R'],None,['Enchantment'],None,Rare,PLIST,None,None,None,Nonbasic lands are Mountains.
Bonehoard,4.0,None,None,None,['Artifact'],['Equipment'],Rare,PLIST,None,None,None,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)\nEquipped creature gets +X/+X, where X is the number of creature cards in all graveyards.\nEquip {2}"
