Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Disciple of Kangee,3.0,['W'],"['U', 'W']",None,['Creature'],"['Human', 'Wizard']",Common,PLS,2,2,None,"{U}, {T}: Target creature gains flying and becomes blue until end of turn."
Treva's Ruins,0.0,None,"['G', 'U', 'W']",None,['Land'],['Lair'],Uncommon,PLS,None,None,None,"When Treva's Ruins enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {G}, {W}, or {U}."
Terminal Moraine,0.0,None,None,None,['Land'],None,Uncommon,PLS,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice Terminal Moraine: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Rith's Grove,0.0,None,"['G', 'R', 'W']",None,['Land'],['Lair'],Uncommon,PLS,None,None,None,"When Rith's Grove enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {R}, {G}, or {W}."
Meteor Crater,0.0,None,None,None,['Land'],None,Rare,PLS,None,None,None,{T}: Choose a color of a permanent you control. Add one mana of that color.
Forsaken City,0.0,None,None,None,['Land'],None,Rare,PLS,None,None,None,"Forsaken City doesn't untap during your untap step.\nAt the beginning of your upkeep, you may exile a card from your hand. If you do, untap Forsaken City.\n{T}: Add one mana of any color."
Dromar's Cavern,0.0,None,"['B', 'U', 'W']",None,['Land'],['Lair'],Uncommon,PLS,None,None,None,"When Dromar's Cavern enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {W}, {U}, or {B}."
Darigaaz's Caldera,0.0,None,"['B', 'G', 'R']",None,['Land'],['Lair'],Uncommon,PLS,None,None,None,"When Darigaaz's Caldera enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {B}, {R}, or {G}."
Crosis's Catacombs,0.0,None,"['B', 'R', 'U']",None,['Land'],['Lair'],Uncommon,PLS,None,None,None,"When Crosis's Catacombs enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {U}, {B}, or {R}."
Stratadon,10.0,None,None,None,"['Artifact', 'Creature']",['Beast'],Uncommon,PLS,5,5,None,Domain — This spell costs {1} less to cast for each basic land type among lands you control.\nTrample
Star Compass,2.0,None,None,None,['Artifact'],None,Uncommon,PLS,None,None,None,Star Compass enters the battlefield tapped.\n{T}: Add one mana of any color that a basic land you control could produce.
Skyship Weatherlight,4.0,None,None,['Legendary'],['Artifact'],None,Rare,PLS,None,None,None,"When Skyship Weatherlight enters the battlefield, search your library for any number of artifact and/or creature cards, exile them, then shuffle.\n{4}, {T}: Choose a card at random that was exiled with Skyship Weatherlight. Put that card into its owner's hand."
Mana Cylix,1.0,None,None,None,['Artifact'],None,Uncommon,PLS,None,None,None,"{1}, {T}: Add one mana of any color."
Draco,16.0,None,None,None,"['Artifact', 'Creature']",['Dragon'],Rare,PLS,9,9,None,"Domain — This spell costs {2} less to cast for each basic land type among lands you control.\nFlying\nDomain — At the beginning of your upkeep, sacrifice Draco unless you pay {10}. This cost is reduced by {2} for each basic land type among lands you control."
Urza's Guilt,4.0,"['B', 'U']","['B', 'U']",None,['Sorcery'],None,Rare,PLS,None,None,None,"Each player draws two cards, then discards three cards, then loses 4 life."
Treva's Charm,3.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Instant'],None,Uncommon,PLS,None,None,None,"Choose one —\n• Destroy target enchantment.\n• Exile target attacking creature.\n• Draw a card, then discard a card."
Terminate,2.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Common,PLS,None,None,None,Destroy target creature. It can't be regenerated.
Steel Leaf Paladin,6.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Knight']",Common,PLS,4,4,None,"First strike\nWhen Steel Leaf Paladin enters the battlefield, return a green or white creature you control to its owner's hand."
Sparkcaster,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Kavu'],Uncommon,PLS,5,3,None,"When Sparkcaster enters the battlefield, return a red or green creature you control to its owner's hand.\nWhen Sparkcaster enters the battlefield, it deals 1 damage to target player or planeswalker."
Hobble,3.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,PLS,None,None,None,"Enchant creature\nWhen Hobble enters the battlefield, draw a card.\nEnchanted creature can't attack.\nEnchanted creature can't block if it's black."
Silver Drake,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Drake'],Common,PLS,3,3,None,"Flying\nWhen Silver Drake enters the battlefield, return a white or blue creature you control to its owner's hand."
Shivan Wurm,5.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Wurm'],Rare,PLS,7,7,None,"Trample\nWhen Shivan Wurm enters the battlefield, return a red or green creature you control to its owner's hand."
Sawtooth Loon,4.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Bird'],Uncommon,PLS,2,2,None,"Flying\nWhen Sawtooth Loon enters the battlefield, return a white or blue creature you control to its owner's hand.\nWhen Sawtooth Loon enters the battlefield, draw two cards, then put two cards from your hand on the bottom of your library."
Rith's Charm,3.0,"['G', 'R', 'W']","['G', 'R', 'W']",None,['Instant'],None,Uncommon,PLS,None,None,None,Choose one —\n• Destroy target nonbasic land.\n• Create three 1/1 green Saproling creature tokens.\n• Prevent all damage a source of your choice would deal this turn.
Razing Snidd,6.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Beast'],Uncommon,PLS,3,3,None,"When Razing Snidd enters the battlefield, return a black or red creature you control to its owner's hand.\nWhen Razing Snidd enters the battlefield, each player sacrifices a land."
Radiant Kavu,3.0,"['G', 'R', 'W']","['G', 'R', 'W']",None,['Creature'],['Kavu'],Rare,PLS,3,3,None,{R}{G}{W}: Prevent all combat damage blue creatures and black creatures would deal this turn.
Questing Phelddagrif,4.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Creature'],['Phelddagrif'],Rare,PLS,4,4,None,{G}: Questing Phelddagrif gets +1/+1 until end of turn. Target opponent creates a 1/1 green Hippo creature token.\n{W}: Questing Phelddagrif gains protection from black and from red until end of turn. Target opponent gains 2 life.\n{U}: Questing Phelddagrif gains flying until end of turn. Target opponent may draw a card.
Phyrexian Tyranny,3.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Enchantment'],None,Rare,PLS,None,None,None,"Whenever a player draws a card, that player loses 2 life unless they pay {2}."
Natural Emergence,4.0,"['G', 'R']","['G', 'R']",None,['Enchantment'],None,Rare,PLS,None,None,None,"When Natural Emergence enters the battlefield, return a red or green enchantment you control to its owner's hand.\nLands you control are 2/2 creatures with first strike. They're still lands."
Meddling Mage,2.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Human', 'Wizard']",Rare,PLS,2,2,None,"As Meddling Mage enters the battlefield, choose a nonland card name.\nSpells with the chosen name can't be cast."
Marsh Crocodile,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Crocodile'],Uncommon,PLS,4,4,None,"When Marsh Crocodile enters the battlefield, return a blue or black creature you control to its owner's hand.\nWhen Marsh Crocodile enters the battlefield, each player discards a card."
Daring Leap,3.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Common,PLS,None,None,None,Target creature gets +1/+1 and gains flying and first strike until end of turn.
Hull Breach,2.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Common,PLS,None,None,None,Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target artifact and target enchantment.
Lava Zombie,3.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Zombie'],Common,PLS,4,3,None,"When Lava Zombie enters the battlefield, return a black or red creature you control to its owner's hand.\n{2}: Lava Zombie gets +1/+0 until end of turn."
Malicious Advice,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Common,PLS,None,None,None,"Tap X target artifacts, creatures, and/or lands. You lose X life."
Keldon Twilight,3.0,"['B', 'R']","['B', 'R']",None,['Enchantment'],None,Rare,PLS,None,None,None,"At the beginning of each player's end step, if no creatures attacked this turn, that player sacrifices a creature they controlled since the beginning of the turn."
Horned Kavu,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Kavu'],Common,PLS,3,4,None,"When Horned Kavu enters the battlefield, return a red or green creature you control to its owner's hand."
Gerrard's Command,2.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Common,PLS,None,None,None,Untap target creature. It gets +3/+3 until end of turn.
Fleetfoot Panther,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Cat'],Uncommon,PLS,3,4,None,"Flash\nWhen Fleetfoot Panther enters the battlefield, return a green or white creature you control to its owner's hand."
"Ertai, the Corrupted",5.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Phyrexian', 'Human', 'Wizard']",Rare,PLS,3,4,None,"{U}, {T}, Sacrifice a creature or enchantment: Counter target spell."
Destructive Flow,3.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Enchantment'],None,Rare,PLS,None,None,None,"At the beginning of each player's upkeep, that player sacrifices a nonbasic land."
Eladamri's Call,2.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Rare,PLS,None,None,None,"Search your library for a creature card, reveal that card, put it into your hand, then shuffle."
Darigaaz's Charm,3.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Instant'],None,Uncommon,PLS,None,None,None,Choose one —\n• Return target creature card from your graveyard to your hand.\n• Darigaaz's Charm deals 3 damage to any target.\n• Target creature gets +3/+3 until end of turn.
