Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Frodo Baggins,2.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Halfling', 'Scout']",Uncommon,PLTR,1,3,None,"Whenever Frodo Baggins or another legendary creature enters the battlefield under your control, the Ring tempts you.\nAs long as Frodo is your Ring-bearer, it must be blocked if able."
"Bilbo, Retired Burglar",3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Halfling', 'Rogue']",Uncommon,PLTR,1,3,None,"When Bilbo, Retired Burglar enters or leaves the battlefield, the Ring tempts you.\nWhenever Bilbo deals combat damage to a player, create a Treasure token."
"Gandalf, Friend of the Shire",4.0,['U'],['U'],['Legendary'],['Creature'],"['Avatar', 'Wizard']",Uncommon,PLTR,2,4,None,"Flash\nYou may cast sorcery spells as though they had flash.\nWhenever the Ring tempts you, if you chose a creature other than Gandalf, Friend of the Shire as your Ring-bearer, draw a card."
Wizard's Rockets,1.0,None,None,None,['Artifact'],None,Common,PLTR,None,None,None,"Wizard's Rockets enters the battlefield tapped.\n{X}, {T}, Sacrifice Wizard's Rockets: Add X mana in any combination of colors.\nWhen Wizard's Rockets is put into a graveyard from the battlefield, draw a card."
The Shire,0.0,None,['G'],['Legendary'],['Land'],None,Rare,PLTR,None,None,None,"The Shire enters the battlefield tapped unless you control a legendary creature.\n{T}: Add {G}.\n{1}{G}, {T}, Tap an untapped creature you control: Create a Food token."
Rivendell,0.0,None,['U'],['Legendary'],['Land'],None,Rare,PLTR,None,None,None,"Rivendell enters the battlefield tapped unless you control a legendary creature.\n{T}: Add {U}.\n{1}{U}, {T}: Scry 2. Activate only if you control a legendary creature."
Mount Doom,0.0,None,"['B', 'R']",['Legendary'],['Land'],None,Mythic,PLTR,None,None,None,"{T}, Pay 1 life: Add {B} or {R}.\n{1}{B}{R}, {T}: Mount Doom deals 1 damage to each opponent.\n{5}{B}{R}, {T}, Sacrifice Mount Doom and a legendary artifact: Choose up to two creatures, then destroy the rest. Activate only as a sorcery."
Mines of Moria,0.0,None,['R'],['Legendary'],['Land'],None,Rare,PLTR,None,None,None,"Mines of Moria enters the battlefield tapped unless you control a legendary creature.\n{T}: Add {R}.\n{3}{R}, {T}, Exile three cards from your graveyard: Create two Treasure tokens."
Minas Tirith,0.0,None,['W'],['Legendary'],['Land'],None,Rare,PLTR,None,None,None,"Minas Tirith enters the battlefield tapped unless you control a legendary creature.\n{T}: Add {W}.\n{1}{W}, {T}: Draw a card. Activate only if you attacked with two or more creatures this turn."
Barad-dûr,0.0,None,['B'],['Legendary'],['Land'],None,Rare,PLTR,None,None,None,"Barad-dûr enters the battlefield tapped unless you control a legendary creature.\n{T}: Add {B}.\n{X}{X}{B}, {T}: Amass Orcs X. Activate only if a creature died this turn."
"Sting, the Glinting Dagger",2.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PLTR,None,None,None,"Equipped creature gets +1/+1 and has haste.\nAt the beginning of each combat, untap equipped creature.\nEquipped creature has first strike as long as it's blocking or blocked by a Goblin or Orc.\nEquip {2}"
Phial of Galadriel,3.0,None,None,['Legendary'],['Artifact'],None,Rare,PLTR,None,None,None,"If you would draw a card while you have no cards in hand, draw two cards instead.\nIf you would gain life while you have 5 or less life, you gain twice that much life instead.\n{T}: Add one mana of any color."
Palantír of Orthanc,3.0,None,None,['Legendary'],['Artifact'],None,Mythic,PLTR,None,None,None,"At the beginning of your end step, put an influence counter on Palantír of Orthanc and scry 2. Then target opponent may have you draw a card. If that player doesn't, you mill X cards, where X is the number of influence counters on Palantír of Orthanc, and that player loses life equal to the total mana value of those cards."
The One Ring,4.0,None,None,['Legendary'],['Artifact'],None,Mythic,PLTR,None,None,None,"Indestructible\nWhen The One Ring enters the battlefield, if you cast it, you gain protection from everything until your next turn.\nAt the beginning of your upkeep, you lose 1 life for each burden counter on The One Ring.\n{T}: Put a burden counter on The One Ring, then draw a card for each burden counter on The One Ring."
Mithril Coat,3.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PLTR,None,None,None,"Flash\nIndestructible\nWhen Mithril Coat enters the battlefield, attach it to target legendary creature you control.\nEquipped creature has indestructible.\nEquip {3}"
Horn of the Mark,2.0,None,None,['Legendary'],['Artifact'],None,Rare,PLTR,None,None,None,"Whenever two or more creatures you control attack a player, look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Horn of Gondor,3.0,None,None,['Legendary'],['Artifact'],None,Rare,PLTR,None,None,None,"When Horn of Gondor enters the battlefield, create a 1/1 white Human Soldier creature token.\n{3}, {T}: Create X 1/1 white Human Soldier creature tokens, where X is the number of Humans you control."
Glamdring,2.0,None,None,['Legendary'],['Artifact'],['Equipment'],Mythic,PLTR,None,None,None,"Equipped creature has first strike and gets +1/+0 for each instant and sorcery card in your graveyard.\nWhenever equipped creature deals combat damage to a player, you may cast an instant or sorcery spell from your hand with mana value less than or equal to that damage without paying its mana cost.\nEquip {3}"
"Andúril, Flame of the West",3.0,None,None,['Legendary'],['Artifact'],['Equipment'],Mythic,PLTR,None,None,None,"Equipped creature gets +3/+1.\nWhenever equipped creature attacks, create two tapped 1/1 white Spirit creature tokens with flying. If that creature is legendary, instead create two of those tokens that are tapped and attacking.\nEquip {2}"
Tom Bombadil,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['God', 'Bard']",Mythic,PLTR,4,4,None,"As long as there are four or more lore counters among Sagas you control, Tom Bombadil has hexproof and indestructible.\nWhenever the final chapter ability of a Saga you control resolves, reveal cards from the top of your library until you reveal a Saga card. Put that card onto the battlefield and the rest on the bottom of your library in a random order. This ability triggers only once each turn."
"Sméagol, Helpful Guide",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Halfling', 'Horror']",Rare,PLTR,4,2,None,"At the beginning of your end step, if a creature died under your control this turn, the Ring tempts you.\nWhenever the Ring tempts you, target opponent reveals cards from the top of their library until they reveal a land card. Put that card onto the battlefield tapped under your control and the rest into their graveyard."
"Shelob, Child of Ungoliant",6.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Spider', 'Demon']",Rare,PLTR,8,8,None,"Deathtouch, ward {2}\nOther Spiders you control have deathtouch and ward {2}.\nWhenever another creature dealt damage this turn by a Spider you controlled dies, create a token that's a copy of that creature, except it's a Food artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life,"" and it loses all other card types."
"Sharkey, Tyrant of the Shire",4.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Avatar', 'Rogue']",Rare,PLTR,2,4,None,"Activated abilities of lands your opponents control can't be activated unless they're mana abilities.\nSharkey, Tyrant of the Shire has all activated abilities of lands your opponents control except mana abilities.\nMana of any type can be spent to activate Sharkey's abilities."
"Shagrat, Loot Bearer",4.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Orc', 'Soldier']",Rare,PLTR,4,4,None,"Whenever Shagrat, Loot Bearer attacks, attach up to one target Equipment to it. Then amass Orcs X, where X is the number of Equipment attached to Shagrat. (Control of the Equipment doesn't change. To amass Orcs X, put X +1/+1 counters on an Army you control. It's also an Orc. If you don't control an Army, create a 0/0 black Orc Army creature token first.)"
Sauron's Ransom,3.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Rare,PLTR,None,None,None,Choose an opponent. They look at the top four cards of your library and separate them into a face-down pile and a face-up pile. Put one pile into your hand and the other into your graveyard. The Ring tempts you.
"Sauron, the Dark Lord",6.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Avatar', 'Horror']",Mythic,PLTR,7,6,None,"Ward—Sacrifice a legendary artifact or legendary creature.\nWhenever an opponent casts a spell, amass Orcs 1.\nWhenever an Army you control deals combat damage to a player, the Ring tempts you.\nWhenever the Ring tempts you, you may discard your hand. If you do, draw four cards."
Saruman of Many Colors,6.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Avatar', 'Wizard']",Mythic,PLTR,5,4,None,"Ward—Discard an enchantment, instant, or sorcery card.\nWhenever you cast your second spell each turn, each opponent mills two cards. When one or more cards are milled this way, exile target enchantment, instant, or sorcery card with equal or lesser mana value than that spell from an opponent's graveyard. Copy the exiled card. You may cast the copy without paying its mana cost."
Samwise Gamgee,2.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Halfling', 'Peasant']",Rare,PLTR,2,2,None,"Whenever another nontoken creature enters the battlefield under your control, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\nSacrifice three Foods: Return target historic card from your graveyard to your hand. (Artifacts, legendaries, and Sagas are historic.)"
"Pippin, Guard of the Citadel",2.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Halfling', 'Soldier']",Rare,PLTR,2,2,None,"Vigilance, ward {1}\n{T}: Another target creature you control gains protection from the card type of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that type.)"
"Merry, Esquire of Rohan",2.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Halfling', 'Knight']",Rare,PLTR,2,2,None,"Haste\nMerry, Esquire of Rohan has first strike as long as it's equipped.\nWhenever you attack with Merry and another legendary creature, draw a card."
"Lotho, Corrupt Shirriff",2.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Halfling', 'Rogue']",Rare,PLTR,2,1,None,"Whenever a player casts their second spell each turn, you lose 1 life and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
King of the Oathbreakers,4.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Spirit', 'Noble']",Rare,PLTR,3,3,None,"Flying\nWhenever King of the Oathbreakers or another Spirit you control becomes the target of a spell, it phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)\nWhenever King of the Oathbreakers or another Spirit you control phases in, create a tapped 1/1 white Spirit creature token with flying."
"Gimli, Mournful Avenger",3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Dwarf', 'Warrior']",Rare,PLTR,3,2,None,"Gimli, Mournful Avenger has indestructible as long as two or more creatures died under your control this turn.\nWhenever another creature you control dies, put a +1/+1 counter on Gimli. When this ability resolves for the third time this turn, Gimli fights up to one target creature you don't control."
Gandalf the Grey,5.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Avatar', 'Wizard']",Rare,PLTR,3,4,None,"Whenever you cast an instant or sorcery spell, choose one that hasn't been chosen —\n• You may tap or untap target permanent.\n• Gandalf the Grey deals 3 damage to each opponent.\n• Copy target instant or sorcery spell you control. You may choose new targets for the copy.\n• Put Gandalf on top of its owner's library."
Galadriel of Lothlórien,3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Noble']",Rare,PLTR,3,3,None,"Whenever the Ring tempts you, if you chose a creature other than Galadriel of Lothlórien as your Ring-bearer, scry 3.\nWhenever you scry, you may reveal the top card of your library. If a land card is revealed this way, put it onto the battlefield tapped."
Flame of Anor,3.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Rare,PLTR,None,None,None,"Choose one. If you control a Wizard as you cast this spell, you may choose two instead.\n• Target player draws two cards.\n• Destroy target artifact.\n• Flame of Anor deals 5 damage to target creature."
"Faramir, Prince of Ithilien",4.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Noble']",Rare,PLTR,3,3,None,"At the beginning of your end step, choose an opponent. At the beginning of that player's next end step, you draw a card if they didn't attack you that turn. Otherwise, create three 1/1 white Human Soldier creature tokens."
"Éowyn, Fearless Knight",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Knight']",Rare,PLTR,3,4,None,"Haste\nWhen Éowyn, Fearless Knight enters the battlefield, exile target creature an opponent controls with greater power. Legendary creatures you control gain protection from each of that creature's colors until end of turn."
"Elrond, Master of Healing",4.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Noble']",Rare,PLTR,4,4,None,"Whenever you scry, put a +1/+1 counter on each of up to X target creatures, where X is the number of cards looked at while scrying this way.\nWhenever a creature you control with a +1/+1 counter on it becomes the target of a spell or ability an opponent controls, you may draw a card."
Doors of Durin,5.0,"['G', 'R']","['G', 'R']",['Legendary'],['Artifact'],None,Rare,PLTR,None,None,None,"Whenever you attack, scry 2, then you may reveal the top card of your library. If it's a creature card, put it onto the battlefield tapped and attacking. Until your next turn, it gains trample if you control a Dwarf and hexproof if you control an Elf."
"The Balrog, Durin's Bane",7.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Avatar', 'Demon']",Rare,PLTR,7,5,None,"This spell costs {1} less to cast for each permanent sacrificed this turn.\nHaste\nThe Balrog, Durin's Bane can't be blocked except by legendary creatures.\nWhen The Balrog dies, destroy target artifact or creature an opponent controls."
"Arwen, Mortal Queen",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Elf', 'Noble']",Mythic,PLTR,2,2,None,"Arwen, Mortal Queen enters the battlefield with an indestructible counter on it.\n{1}, Remove an indestructible counter from Arwen: Another target creature gains indestructible until end of turn. Put a +1/+1 counter and a lifelink counter on that creature and a +1/+1 counter and a lifelink counter on Arwen."
"Aragorn, the Uniter",4.0,"['G', 'R', 'U', 'W']","['G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Noble']",Mythic,PLTR,5,5,None,"Whenever you cast a white spell, create a 1/1 white Human Soldier creature token.\nWhenever you cast a blue spell, scry 2.\nWhenever you cast a red spell, Aragorn, the Uniter deals 3 damage to target opponent.\nWhenever you cast a green spell, target creature gets +4/+4 until end of turn."
"Aragorn, Company Leader",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Ranger']",Rare,PLTR,3,3,None,"Whenever the Ring tempts you, if you chose a creature other than Aragorn, Company Leader as your Ring-bearer, put your choice of a counter from among first strike, vigilance, deathtouch, and lifelink on Aragorn.\nWhenever you put one or more counters on Aragorn, put one of each of those kinds of counters on up to one other target creature."
The Ring Goes South,4.0,['G'],['G'],None,['Sorcery'],None,Rare,PLTR,None,None,None,"The Ring tempts you. Then reveal cards from the top of your library until you reveal X land cards, where X is the number of legendary creatures you control. Put those land cards onto the battlefield tapped and the rest on the bottom of your library in a random order."
Radagast the Brown,4.0,['G'],['G'],['Legendary'],['Creature'],"['Avatar', 'Wizard']",Mythic,PLTR,2,5,None,"Whenever Radagast the Brown or another nontoken creature enters the battlefield under your control, look at the top X cards of your library, where X is that creature's mana value. You may reveal a creature card that doesn't share a creature type with a creature you control from among those cards and put it into your hand. Put the rest on the bottom of your library in a random order."
"Legolas, Master Archer",3.0,['G'],['G'],['Legendary'],['Creature'],"['Elf', 'Archer']",Rare,PLTR,1,4,None,"Reach\nWhenever you cast a spell that targets Legolas, Master Archer, put a +1/+1 counter on Legolas.\nWhenever you cast a spell that targets a creature you don't control, Legolas deals damage equal to its power to up to one target creature."
Last March of the Ents,8.0,['G'],['G'],None,['Sorcery'],None,Mythic,PLTR,None,None,None,"This spell can't be countered.\nDraw cards equal to the greatest toughness among creatures you control, then put any number of creature cards from your hand onto the battlefield."
"Fangorn, Tree Shepherd",7.0,['G'],['G'],['Legendary'],['Creature'],['Treefolk'],Rare,PLTR,4,10,None,"Treefolk you control have vigilance.\nWhenever one or more Treefolk you control attack, add twice that much {G}.\nYou don't lose unspent green mana as steps and phases end."
Fall of Gil-galad,2.0,['G'],['G'],None,['Enchantment'],['Saga'],Rare,PLTR,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Scry 2.\nII — Put two +1/+1 counters on target creature you control.\nIII — Until end of turn, target creature you control gains ""When this creature dies, draw two cards."" Then that creature fights up to one other target creature."
Elven Chorus,4.0,['G'],['G'],None,['Enchantment'],None,Rare,PLTR,None,None,None,"You may look at the top card of your library any time.\nYou may cast creature spells from the top of your library.\nCreatures you control have ""{T}: Add one mana of any color."""
