Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Goblin Rabblemaster,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Rare,PM15,2,2,None,"Other Goblin creatures you control attack each combat if able.\nAt the beginning of combat on your turn, create a 1/1 red Goblin creature token with haste.\nWhenever Goblin Rabblemaster attacks, it gets +1/+0 until end of turn for each other attacking Goblin."
Chasm Skulker,3.0,['U'],['U'],None,['Creature'],"['Squid', 'Horror']",Rare,PM15,1,1,None,"Whenever you draw a card, put a +1/+1 counter on Chasm Skulker.\nWhen Chasm Skulker dies, create X 1/1 blue Squid creature tokens with islandwalk, where X is the number of +1/+1 counters on Chasm Skulker. (They can't be blocked as long as defending player controls an Island.)"
Resolute Archangel,7.0,['W'],['W'],None,['Creature'],['Angel'],Rare,PM15,4,4,None,"Flying\nWhen Resolute Archangel enters the battlefield, if your life total is less than your starting life total, it becomes equal to your starting life total."
Reclamation Sage,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Uncommon,PM15,2,1,None,"When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment."
In Garruk's Wake,9.0,['B'],['B'],None,['Sorcery'],None,Rare,PM15,None,None,None,Destroy all creatures you don't control and all planeswalkers you don't control.
Siege Dragon,7.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,PM15,5,5,None,"Flying\nWhen Siege Dragon enters the battlefield, destroy all Walls your opponents control.\nWhenever Siege Dragon attacks, if defending player controls no Walls, it deals 2 damage to each creature without flying that player controls."
Chief Engineer,2.0,['U'],['U'],None,['Creature'],"['Vedalken', 'Artificer']",Rare,PM15,1,3,None,Artifact spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting an artifact spell pays for {1} or one mana of that creature's color.)
"Ob Nixilis, Unshackled",6.0,['B'],['B'],['Legendary'],['Creature'],['Demon'],Rare,PM15,4,4,None,"Flying, trample\nWhenever an opponent searches their library, that player sacrifices a creature and loses 10 life.\nWhenever another creature dies, put a +1/+1 counter on Ob Nixilis, Unshackled."
Phytotitan,6.0,['G'],['G'],None,['Creature'],"['Plant', 'Elemental']",Rare,PM15,7,2,None,"When Phytotitan dies, return it to the battlefield tapped under its owner's control at the beginning of their next upkeep."
Mercurial Pretender,5.0,['U'],['U'],None,['Creature'],['Shapeshifter'],Rare,PM15,0,0,None,"You may have Mercurial Pretender enter the battlefield as a copy of a creature you control, except it has ""{2}{U}{U}: Return this creature to its owner's hand."""
Soul of New Phyrexia,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Avatar']",Mythic,PM15,6,6,None,"Trample\n{5}: Permanents you control gain indestructible until end of turn.\n{5}, Exile Soul of New Phyrexia from your graveyard: Permanents you control gain indestructible until end of turn."
Indulgent Tormentor,5.0,['B'],['B'],None,['Creature'],['Demon'],Rare,PM15,5,3,None,"Flying\nAt the beginning of your upkeep, draw a card unless target opponent sacrifices a creature or pays 3 life."
