Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Leyline of Combustion,4.0,['R'],['R'],None,['Enchantment'],None,Rare,PM20,None,None,None,"If Leyline of Combustion is in your opening hand, you may begin the game with it on the battlefield.\nWhenever you and/or at least one permanent you control becomes the target of a spell or ability an opponent controls, Leyline of Combustion deals 2 damage to that player."
Bag of Holding,1.0,None,None,None,['Artifact'],None,Rare,PM20,None,None,None,"Whenever you discard a card, exile that card from your graveyard.\n{2}, {T}: Draw a card, then discard a card.\n{4}, {T}, Sacrifice Bag of Holding: Return all cards exiled with Bag of Holding to their owner's hand."
Cavalier of Gales,5.0,['U'],['U'],None,['Creature'],"['Elemental', 'Knight']",Mythic,PM20,5,5,None,"Flying\nWhen Cavalier of Gales enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order.\nWhen Cavalier of Gales dies, shuffle it into its owner's library, then scry 2."
Glint-Horn Buccaneer,3.0,['R'],['R'],None,['Creature'],"['Minotaur', 'Pirate']",Rare,PM20,2,4,None,"Haste\nWhenever you discard a card, Glint-Horn Buccaneer deals 1 damage to each opponent.\n{1}{R}, Discard a card: Draw a card. Activate only if Glint-Horn Buccaneer is attacking."
Flame Sweep,3.0,['R'],['R'],None,['Instant'],None,Uncommon,PM20,None,None,None,Flame Sweep deals 2 damage to each creature except for creatures you control with flying.
"Drakuseth, Maw of Flames",7.0,['R'],['R'],['Legendary'],['Creature'],['Dragon'],Rare,PM20,7,7,None,"Flying\nWhenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets."
"Yarok, the Desecrated",5.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Elemental', 'Horror']",Mythic,PM20,3,5,None,"Deathtouch, lifelink\nIf a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time."
"Omnath, Locus of the Roil",4.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],['Elemental'],Mythic,PM20,3,3,None,"When Omnath, Locus of the Roil enters the battlefield, it deals damage to any target equal to the number of Elementals you control.\nLandfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on target Elemental you control. If you control eight or more lands, draw a card."
"Kykar, Wind's Fury",4.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],"['Bird', 'Wizard']",Mythic,PM20,3,3,None,"Flying\nWhenever you cast a noncreature spell, create a 1/1 white Spirit creature token with flying.\nSacrifice a Spirit: Add {R}."
Chandra's Regulator,2.0,['R'],['R'],['Legendary'],['Artifact'],None,Rare,PM20,None,None,None,"Whenever you activate a loyalty ability of a Chandra planeswalker, you may pay {1}. If you do, copy that ability. You may choose new targets for the copy.\n{1}, {T}, Discard a Mountain card or a red card: Draw a card."
