Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Invasion of Gobakhan // Lightshield Array,2.0,['W'],['W'],None,['Battle'],['Siege'],Rare,PMOM,None,None,None,"(As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.)\nWhen Invasion of Gobakhan enters the battlefield, look at target opponent's hand. You may exile a nonland card from it. For as long as that card remains exiled, its owner may play it. A spell cast this way costs {2} more to cast."
Djeru and Hazoret,5.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'God']",Rare,PMOM,5,4,None,"As long as you have one or fewer cards in hand, Djeru and Hazoret has vigilance and haste.\nWhenever Djeru and Hazoret attacks, look at the top six cards of your library. You may exile a legendary creature card from among them. Put the rest on the bottom of your library in a random order. Until end of turn, you may cast the exiled card without paying its mana cost."
"Invasion of Theros // Ephara, Ever-Sheltering",3.0,['W'],"['U', 'W']",None,['Battle'],['Siege'],Rare,PMOM,None,None,None,"(As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.)\nWhen Invasion of Theros enters the battlefield, search your library for an Aura, God, or Demigod card, reveal it, put it into your hand, then shuffle."
Glistening Dawn,4.0,['G'],['G'],None,['Sorcery'],None,Rare,PMOM,None,None,None,"Incubate X twice, where X is the number of lands you control. (To incubate X, create an Incubator token with X +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)"
Doomskar Warrior,4.0,['G'],['G'],None,['Creature'],"['Human', 'Warrior']",Rare,PMOM,4,3,None,"Backup 1\nTrample\nWhenever this creature deals combat damage to a player or battle, look at that many cards from the top of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
"Invasion of Ikoria // Zilortha, Apex of Ikoria",2.0,['G'],['G'],None,['Battle'],['Siege'],Rare,PMOM,None,None,None,"(As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.)\nWhen Invasion of Ikoria enters the battlefield, search your library and/or graveyard for a non-Human creature card with mana value X or less and put it onto the battlefield. If you search your library this way, shuffle."
Deeproot Wayfinder,2.0,['G'],['G'],None,['Creature'],"['Merfolk', 'Scout']",Rare,PMOM,2,3,None,"Whenever Deeproot Wayfinder deals combat damage to a player or battle, surveil 1, then you may return a land card from your graveyard to the battlefield tapped. (To surveil 1, look at the top card of your library. You may put that card into your graveyard.)"
Guardian of Ghirapur,3.0,['W'],['W'],None,['Creature'],['Angel'],Rare,PMOM,3,3,None,"Flying\nWhen Guardian of Ghirapur enters the battlefield, exile up to one other target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step."
Kogla and Yidaro,6.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Ape', 'Dinosaur', 'Turtle']",Rare,PMOM,7,7,None,"When Kogla and Yidaro enters the battlefield, choose one —\n• It gains trample and haste until end of turn.\n• It fights target creature you don't control.\n{2}{R}{G}, Discard Kogla and Yidaro: Destroy up to one target artifact or enchantment. Shuffle Kogla and Yidaro into your library from your graveyard, then draw a card."
Elesh Norn // The Argent Etchings,4.0,['W'],['W'],['Legendary'],['Creature'],"['Phyrexian', 'Praetor']",Mythic,PMOM,3,5,None,"Vigilance\nWhenever a source an opponent controls deals damage to you or a permanent you control, that source's controller loses 2 life unless they pay {1}.\n{2}{W}, Sacrifice three other creatures: Exile Elesh Norn, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery."
