Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Dread Defiler,7.0,None,['B'],None,['Creature'],['Eldrazi'],Rare,POGW,6,8,None,"Devoid (This card has no color.)\n{3}{C}, Exile a creature card from your graveyard: Target opponent loses life equal to the exiled card's power. ({C} represents colorless mana.)"
"Jori En, Ruin Diver",3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Merfolk', 'Wizard']",Rare,POGW,2,3,None,"Whenever you cast your second spell each turn, draw a card."
Bearer of Silence,2.0,None,['B'],None,['Creature'],['Eldrazi'],Rare,POGW,2,1,None,"Devoid (This card has no color.)\nWhen you cast this spell, you may pay {1}{C}. If you do, target opponent sacrifices a creature. ({C} represents colorless mana.)\nFlying\nBearer of Silence can't block."
"Ayli, Eternal Pilgrim",2.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Kor', 'Cleric']",Rare,POGW,2,3,None,"Deathtouch\n{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.\n{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate only if you have at least 10 life more than your starting life total."
Zendikar Resurgent,7.0,['G'],['G'],None,['Enchantment'],None,Rare,POGW,None,None,None,"Whenever you tap a land for mana, add one mana of any type that land produced. (The types of mana are white, blue, black, red, green, and colorless.)\nWhenever you cast a creature spell, draw a card."
Sphinx of the Final Word,7.0,['U'],['U'],None,['Creature'],['Sphinx'],Mythic,POGW,5,5,None,"This spell can't be countered.\nFlying, hexproof\nInstant and sorcery spells you control can't be countered."
Wandering Fumarole,0.0,None,"['R', 'U']",None,['Land'],None,Rare,POGW,None,None,None,"Wandering Fumarole enters the battlefield tapped.\n{T}: Add {U} or {R}.\n{2}{U}{R}: Until end of turn, Wandering Fumarole becomes a 1/4 blue and red Elemental creature with ""{0}: Switch this creature's power and toughness until end of turn."" It's still a land."
Overwhelming Denial,4.0,['U'],['U'],None,['Instant'],None,Rare,POGW,None,None,None,Surge {U}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)\nThis spell can't be countered.\nCounter target spell.
Sea Gate Wreckage,0.0,None,None,None,['Land'],None,Rare,POGW,None,None,None,"{T}: Add {C}. ({C} represents colorless mana.)\n{2}{C}, {T}: Draw a card. Activate only if you have no cards in hand."
Sylvan Advocate,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid', 'Ally']",Rare,POGW,2,3,None,"Vigilance\nAs long as you control six or more lands, Sylvan Advocate and land creatures you control get +2/+2."
Oath of Nissa,1.0,['G'],['G'],['Legendary'],['Enchantment'],None,Rare,POGW,None,None,None,"When Oath of Nissa enters the battlefield, look at the top three cards of your library. You may reveal a creature, land, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.\nYou may spend mana as though it were mana of any color to cast planeswalker spells."
Oath of Jace,3.0,['U'],['U'],['Legendary'],['Enchantment'],None,Rare,POGW,None,None,None,"When Oath of Jace enters the battlefield, draw three cards, then discard two cards.\nAt the beginning of your upkeep, scry X, where X is the number of planeswalkers you control."
Hedron Alignment,3.0,['U'],['U'],None,['Enchantment'],None,Rare,POGW,None,None,None,"Hexproof\nAt the beginning of your upkeep, you may reveal your hand. If you do, you win the game if you own a card named Hedron Alignment in exile, in your hand, in your graveyard, and on the battlefield.\n{1}{U}: Scry 1."
"Nissa, Voice of Zendikar",3.0,['G'],['G'],['Legendary'],['Planeswalker'],['Nissa'],Mythic,POGW,None,None,3,"[+1]: Create a 0/1 green Plant creature token.\n[−2]: Put a +1/+1 counter on each creature you control.\n[−7]: You gain X life and draw X cards, where X is the number of lands you control."
Ruins of Oran-Rief,0.0,None,None,None,['Land'],None,Rare,POGW,None,None,None,Ruins of Oran-Rief enters the battlefield tapped.\n{T}: Add {C}. ({C} represents colorless mana.)\n{T}: Put a +1/+1 counter on target colorless creature that entered the battlefield this turn.
Crush of Tentacles,6.0,['U'],['U'],None,['Sorcery'],None,Mythic,POGW,None,None,None,"Surge {3}{U}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)\nReturn all nonland permanents to their owners' hands. If this spell's surge cost was paid, create an 8/8 blue Octopus creature token."
Reality Smasher,5.0,None,None,None,['Creature'],['Eldrazi'],Rare,POGW,5,5,None,"({C} represents colorless mana.)\nTrample, haste\nWhenever Reality Smasher becomes the target of a spell an opponent controls, counter that spell unless its controller discards a card."
Gladehart Cavalry,7.0,['G'],['G'],None,['Creature'],"['Elf', 'Knight']",Rare,POGW,6,6,None,"When Gladehart Cavalry enters the battlefield, support 6. (Put a +1/+1 counter on each of up to six other target creatures.)\nWhenever a creature you control with a +1/+1 counter on it dies, you gain 2 life."
Dimensional Infiltrator,2.0,None,['U'],None,['Creature'],['Eldrazi'],Rare,POGW,2,1,None,"Devoid (This card has no color.)\nFlash\nFlying\n{1}{C}: Target opponent exiles the top card of their library. If it's a land card, you may return Dimensional Infiltrator to its owner's hand. ({C} represents colorless mana.)"
Needle Spires,0.0,None,"['R', 'W']",None,['Land'],None,Rare,POGW,None,None,None,Needle Spires enters the battlefield tapped.\n{T}: Add {R} or {W}.\n{2}{R}{W}: Needle Spires becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.
Eldrazi Mimic,2.0,None,None,None,['Creature'],['Eldrazi'],Rare,POGW,2,1,None,"Whenever another colorless creature enters the battlefield under your control, you may change Eldrazi Mimic's base power and toughness to that creature's power and toughness until end of turn."
Mirrorpool,0.0,None,None,None,['Land'],None,Mythic,POGW,None,None,None,"Mirrorpool enters the battlefield tapped.\n{T}: Add {C}.\n{2}{C}, {T}, Sacrifice Mirrorpool: Copy target instant or sorcery spell you control. You may choose new targets for the copy.\n{4}{C}, {T}, Sacrifice Mirrorpool: Create a token that's a copy of target creature you control."
Thought-Knot Seer,4.0,None,None,None,['Creature'],['Eldrazi'],Rare,POGW,4,4,None,"({C} represents colorless mana.)\nWhen Thought-Knot Seer enters the battlefield, target opponent reveals their hand. You choose a nonland card from it and exile that card.\nWhen Thought-Knot Seer leaves the battlefield, target opponent draws a card."
Inverter of Truth,4.0,None,['B'],None,['Creature'],['Eldrazi'],Mythic,POGW,6,6,None,"Devoid (This card has no color.)\nFlying\nWhen Inverter of Truth enters the battlefield, exile all cards from your library face down, then shuffle all cards from your graveyard into your library."
World Breaker,7.0,None,['G'],None,['Creature'],['Eldrazi'],Mythic,POGW,5,7,None,"Devoid (This card has no color.)\nWhen you cast this spell, exile target artifact, enchantment, or land.\nReach\n{2}{C}, Sacrifice a land: Return World Breaker from your graveyard to your hand. ({C} represents colorless mana.)"
Vile Redeemer,3.0,None,['G'],None,['Creature'],['Eldrazi'],Rare,POGW,3,3,None,"Devoid (This card has no color.)\nFlash\nWhen you cast this spell, you may pay {C}. If you do, create a 1/1 colorless Eldrazi Scion creature token for each nontoken creature that died under your control this turn. Those tokens have ""Sacrifice this creature: Add {C}."""
