Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Soulblade Djinn,5.0,['U'],['U'],None,['Creature'],['Djinn'],Rare,PORI,4,3,None,"Flying\nWhenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn."
"Jace, Vryn's Prodigy // Jace, Telepath Unbound",2.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,PORI,0,2,None,"{T}: Draw a card, then discard a card. If there are five or more cards in your graveyard, exile Jace, Vryn's Prodigy, then return him to the battlefield transformed under his owner's control."
Mizzium Meddler,3.0,['U'],['U'],None,['Creature'],"['Vedalken', 'Wizard']",Rare,PORI,1,4,None,"Flash (You may cast this spell any time you could cast an instant.)\nWhen Mizzium Meddler enters the battlefield, you may change a target of target spell or ability to Mizzium Meddler."
Conclave Naturalists,5.0,['G'],['G'],None,['Creature'],['Dryad'],Uncommon,PORI,4,4,None,"When Conclave Naturalists enters the battlefield, you may destroy target artifact or enchantment."
Scab-Clan Berserker,3.0,['R'],['R'],None,['Creature'],"['Human', 'Berserker']",Rare,PORI,2,2,None,"Haste\nRenown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)\nWhenever an opponent casts a noncreature spell, if Scab-Clan Berserker is renowned, Scab-Clan Berserker deals 2 damage to that player."
Jace's Sanctum,4.0,['U'],['U'],None,['Enchantment'],None,Rare,PORI,None,None,None,"Instant and sorcery spells you cast cost {1} less to cast.\nWhenever you cast an instant or sorcery spell, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
"Kytheon, Hero of Akros // Gideon, Battle-Forged",1.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,PORI,2,1,None,"At end of combat, if Kytheon, Hero of Akros and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.\n{2}{W}: Kytheon gains indestructible until end of turn."
Pia and Kiran Nalaar,4.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Artificer']",Rare,PORI,2,2,None,"When Pia and Kiran Nalaar enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.\n{2}{R}, Sacrifice an artifact: Pia and Kiran Nalaar deals 2 damage to any target."
Thopter Spy Network,4.0,['U'],['U'],None,['Enchantment'],None,Rare,PORI,None,None,None,"At the beginning of your upkeep, if you control an artifact, create a 1/1 colorless Thopter artifact creature token with flying.\nWhenever one or more artifact creatures you control deal combat damage to a player, draw a card."
"Kothophed, Soul Hoarder",6.0,['B'],['B'],['Legendary'],['Creature'],['Demon'],Rare,PORI,6,6,None,"Flying\nWhenever a permanent owned by another player is put into a graveyard from the battlefield, you draw a card and you lose 1 life."
