Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Jace Reawakened,2.0,['U'],['U'],['Legendary'],['Planeswalker'],['Jace'],Mythic,POTJ,None,None,3,"You can't cast this spell during your first, second, or third turns of the game.\n[+1]: Draw a card, then discard a card.\n[+1]: You may exile a nonland card with mana value 3 or less from your hand. If you do, it becomes plotted.\n[−6]: Until end of turn, whenever you cast a spell, copy it. You may choose new targets for the copy."
Spirebluff Canal,0.0,None,"['R', 'U']",None,['Land'],None,Rare,POTJ,None,None,None,Spirebluff Canal enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {U} or {R}.
Inspiring Vantage,0.0,None,"['R', 'W']",None,['Land'],None,Rare,POTJ,None,None,None,Inspiring Vantage enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {R} or {W}.
Concealed Courtyard,0.0,None,"['B', 'W']",None,['Land'],None,Rare,POTJ,None,None,None,Concealed Courtyard enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {W} or {B}.
Botanical Sanctum,0.0,None,"['G', 'U']",None,['Land'],None,Rare,POTJ,None,None,None,Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {G} or {U}.
Blooming Marsh,0.0,None,"['B', 'G']",None,['Land'],None,Rare,POTJ,None,None,None,Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {B} or {G}.
"Wylie Duke, Atiin Hero",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Ranger']",Rare,POTJ,4,2,None,"Vigilance\nWhenever Wylie Duke, Atiin Hero becomes tapped, you gain 1 life and draw a card."
"Vraska, the Silencer",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Gorgon', 'Assassin']",Mythic,POTJ,3,3,None,"Deathtouch\nWhenever a nontoken creature an opponent controls dies, you may pay {1}. If you do, return that card to the battlefield tapped under your control. It's a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color,"" and it loses all other card types."
Vraska Joins Up,2.0,"['B', 'G']","['B', 'G']",['Legendary'],['Enchantment'],None,Rare,POTJ,None,None,None,"When Vraska Joins Up enters the battlefield, put a deathtouch counter on each creature you control.\nWhenever a legendary creature you control deals combat damage to a player, draw a card."
"Taii Wakeen, Perfect Shot",2.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Mercenary']",Rare,POTJ,2,3,None,"Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card.\n{X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead."
Seraphic Steed,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Unicorn', 'Mount']",Rare,POTJ,2,2,None,"First strike, lifelink\nWhenever Seraphic Steed attacks while saddled, create a 3/3 white Angel creature token with flying.\nSaddle 4 (Tap any number of other creatures you control with total power 4 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)"
"Selvala, Eager Trailblazer",4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Elf', 'Scout']",Mythic,POTJ,4,5,None,"Vigilance\nWhenever you cast a creature spell, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""\n{T}: Choose a color. Add one mana of that color for each different power among creatures you control."
"Satoru, the Infiltrator",2.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Ninja', 'Rogue']",Rare,POTJ,2,3,None,"Menace\nWhenever Satoru, the Infiltrator and/or one or more other nontoken creatures enter the battlefield under your control, if none of them were cast or no mana was spent to cast them, draw a card."
