Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Tetzimoc, Primal Death",6.0,['B'],['B'],['Legendary'],['Creature'],"['Elder', 'Dinosaur']",Rare,PRIX,6,6,None,"Deathtouch\n{B}, Reveal Tetzimoc, Primal Death from your hand: Put a prey counter on target creature. Activate only during your turn.\nWhen Tetzimoc enters the battlefield, destroy each creature your opponents control with a prey counter on it."
"Path of Mettle // Metzali, Tower of Triumph",2.0,"['R', 'W']","['R', 'W']",['Legendary'],['Enchantment'],None,Rare,PRIX,None,None,None,"When Path of Mettle enters the battlefield, it deals 1 damage to each creature that doesn't have first strike, double strike, vigilance, or haste.\nWhenever you attack with at least two creatures that have first strike, double strike, vigilance, and/or haste, transform Path of Mettle."
"Kumena, Tyrant of Orazca",3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Merfolk', 'Shaman']",Mythic,PRIX,2,4,None,"Tap another untapped Merfolk you control: Kumena, Tyrant of Orazca can't be blocked this turn.\nTap three untapped Merfolk you control: Draw a card.\nTap five untapped Merfolk you control: Put a +1/+1 counter on each Merfolk you control."
Mastermind's Acquisition,4.0,['B'],['B'],None,['Sorcery'],None,Rare,PRIX,None,None,None,"Choose one —\n• Search your library for a card, put it into your hand, then shuffle.\n• Put a card you own from outside the game into your hand."
"Journey to Eternity // Atzal, Cave of Eternity",3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Enchantment'],['Aura'],Rare,PRIX,None,None,None,"Enchant creature you control\nWhen enchanted creature dies, return it to the battlefield under your control, then return Journey to Eternity to the battlefield transformed under your control."
"Huatli, Radiant Champion",4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Planeswalker'],['Huatli'],Mythic,PRIX,None,None,3,"[+1]: Put a loyalty counter on Huatli, Radiant Champion for each creature you control.\n[−1]: Target creature gets +X/+X until end of turn, where X is the number of creatures you control.\n[−8]: You get an emblem with ""Whenever a creature enters the battlefield under your control, you may draw a card."""
Arch of Orazca,0.0,None,None,None,['Land'],None,Rare,PRIX,None,None,None,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)\n{T}: Add {C}.\n{5}, {T}: Draw a card. Activate only if you have the city's blessing."
Hadana's Climb // Winged Temple of Orazca,3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Enchantment'],None,Rare,PRIX,None,None,None,"At the beginning of combat on your turn, put a +1/+1 counter on target creature you control. Then if that creature has three or more +1/+1 counters on it, transform Hadana's Climb."
"Elenda, the Dusk Rose",4.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Vampire', 'Knight']",Mythic,PRIX,1,1,None,"Lifelink\nWhenever another creature dies, put a +1/+1 counter on Elenda, the Dusk Rose.\nWhen Elenda dies, create X 1/1 white Vampire creature tokens with lifelink, where X is Elenda's power."
Dire Fleet Poisoner,2.0,['B'],['B'],None,['Creature'],"['Human', 'Pirate']",Rare,PRIX,2,2,None,"Flash\nDeathtouch\nWhen Dire Fleet Poisoner enters the battlefield, target attacking Pirate you control gets +1/+1 and gains deathtouch until end of turn."
