Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Hero of Precinct One,2.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Rare,PRNA,2,2,None,"Whenever you cast a multicolored spell, create a 1/1 white Human creature token."
Sphinx of Foresight,4.0,['U'],['U'],None,['Creature'],['Sphinx'],Rare,PRNA,4,4,None,"You may reveal this card from your opening hand. If you do, scry 3 at the beginning of your first upkeep.\nFlying\nAt the beginning of your upkeep, scry 1."
Gutterbones,1.0,['B'],['B'],None,['Creature'],"['Skeleton', 'Warrior']",Rare,PRNA,2,1,None,Gutterbones enters the battlefield tapped.\n{1}{B}: Return Gutterbones from your graveyard to your hand. Activate only during your turn and only if an opponent lost life this turn.
Rakdos Firewheeler,4.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Human', 'Rogue']",Uncommon,PRNA,4,3,None,"When Rakdos Firewheeler enters the battlefield, it deals 2 damage to target opponent and 2 damage to up to one target creature or planeswalker."
Hallowed Fountain,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,PRNA,None,None,None,"({T}: Add {W} or {U}.)\nAs Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Plaza of Harmony,0.0,None,None,None,['Land'],None,Rare,PRNA,None,None,None,"When Plaza of Harmony enters the battlefield, if you control two or more Gates, you gain 3 life.\n{T}: Add {C}.\n{T}: Add one mana of any type that a Gate you control could produce."
Nikya of the Old Ways,5.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Centaur', 'Druid']",Rare,PRNA,5,5,None,"You can't cast noncreature spells.\nWhenever you tap a land for mana, add one mana of any type that land produced."
Bedevil,3.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Rare,PRNA,None,None,None,"Destroy target artifact, creature, or planeswalker."
Mirror March,6.0,['R'],['R'],None,['Enchantment'],None,Rare,PRNA,None,None,None,"Whenever a nontoken creature enters the battlefield under your control, flip a coin until you lose a flip. For each flip you won, create a token that's a copy of that creature. Those tokens gain haste. Exile them at the beginning of the next end step."
Stomping Ground,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,PRNA,None,None,None,"({T}: Add {R} or {G}.)\nAs Stomping Ground enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
"Lavinia, Azorius Renegade",2.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,PRNA,2,2,None,"Each opponent can't cast noncreature spells with mana value greater than the number of lands that player controls.\nWhenever an opponent casts a spell, if no mana was spent to cast it, counter that spell."
