Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Talara's Battalion,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Rare,PS11,4,3,None,Cast this spell only if you've cast another green spell this turn.\nTrample
Spined Wurm,5.0,['G'],['G'],None,['Creature'],['Wurm'],Common,PS11,5,4,None,None
Runeclaw Bear,2.0,['G'],['G'],None,['Creature'],['Bear'],Common,PS11,2,2,None,None
"Cho-Manno, Revolutionary",4.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Rebel']",Rare,PS11,2,2,None,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary."
Roughshod Mentor,6.0,['G'],['G'],None,['Creature'],"['Giant', 'Warrior']",Uncommon,PS11,5,4,None,Green creatures you control have trample.
River Boa,2.0,['G'],['G'],None,['Creature'],['Snake'],Uncommon,PS11,2,1,None,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\n{G}: Regenerate River Boa.
Angel of Mercy,5.0,['W'],['W'],None,['Creature'],['Angel'],Uncommon,PS11,3,3,None,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life."
Rampant Growth,2.0,['G'],['G'],None,['Sorcery'],None,Common,PS11,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Overrun,5.0,['G'],['G'],None,['Sorcery'],None,Uncommon,PS11,None,None,None,Creatures you control get +3/+3 and gain trample until end of turn.
Oakgnarl Warrior,7.0,['G'],['G'],None,['Creature'],"['Treefolk', 'Warrior']",Common,PS11,5,7,None,"Vigilance, trample"
Condemn,1.0,['W'],['W'],None,['Instant'],None,Uncommon,PS11,None,None,None,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
Nature's Spiral,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,PS11,None,None,None,Return target permanent card from your graveyard to your hand.
Naturalize,2.0,['G'],['G'],None,['Instant'],None,Common,PS11,None,None,None,Destroy target artifact or enchantment.
Natural Spring,5.0,['G'],['G'],None,['Sorcery'],None,Common,PS11,None,None,None,Target player gains 8 life.
"Molimo, Maro-Sorcerer",7.0,['G'],['G'],['Legendary'],['Creature'],['Elemental'],Rare,PS11,*,*,None,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nMolimo, Maro-Sorcerer's power and toughness are each equal to the number of lands you control."
"Mirri, Cat Warrior",3.0,['G'],['G'],['Legendary'],['Creature'],"['Cat', 'Warrior']",Rare,PS11,2,3,None,"First strike, forestwalk, vigilance (This creature deals combat damage before creatures without first strike, it can't be blocked as long as defending player controls a Forest, and attacking doesn't cause this creature to tap.)"
Lys Alana Huntmaster,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,PS11,3,3,None,"Whenever you cast an Elf spell, you may create a 1/1 green Elf Warrior creature token."
Kalonian Behemoth,7.0,['G'],['G'],None,['Creature'],['Beast'],Rare,PS11,9,9,None,Shroud (This creature can't be the target of spells or abilities.)
Jagged-Scar Archers,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Archer']",Uncommon,PS11,*,*,None,Jagged-Scar Archers's power and toughness are each equal to the number of Elves you control.\n{T}: Jagged-Scar Archers deals damage equal to its power to target creature with flying.
Imperious Perfect,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Uncommon,PS11,2,2,None,"Other Elves you control get +1/+1.\n{G}, {T}: Create a 1/1 green Elf Warrior creature token."
Immaculate Magistrate,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Rare,PS11,2,2,None,{T}: Put a +1/+1 counter on target creature for each Elf you control.
Hurricane,1.0,['G'],['G'],None,['Sorcery'],None,Rare,PS11,None,None,None,Hurricane deals X damage to each creature with flying and each player.
Howl of the Night Pack,7.0,['G'],['G'],None,['Sorcery'],None,Uncommon,PS11,None,None,None,Create a 2/2 green Wolf creature token for each Forest you control.
Greenweaver Druid,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Uncommon,PS11,1,1,None,{T}: Add {G}{G}.
Giant Spider,4.0,['G'],['G'],None,['Creature'],['Spider'],Common,PS11,2,4,None,Reach (This creature can block creatures with flying.)
Giant Growth,1.0,['G'],['G'],None,['Instant'],None,Common,PS11,None,None,None,Target creature gets +3/+3 until end of turn.
Gaea's Herald,2.0,['G'],['G'],None,['Creature'],['Elf'],Rare,PS11,1,1,None,Creature spells can't be countered.
Farhaven Elf,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,PS11,1,1,None,"When Farhaven Elf enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Elvish Warrior,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,PS11,2,3,None,None
Elvish Visionary,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Common,PS11,1,1,None,"When Elvish Visionary enters the battlefield, draw a card."
Elvish Promenade,4.0,['G'],['G'],None,"['Tribal', 'Sorcery']",['Elf'],Uncommon,PS11,None,None,None,Create a 1/1 green Elf Warrior creature token for each Elf you control.
Elvish Eulogist,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Common,PS11,1,1,None,Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.
Elvish Champion,3.0,['G'],['G'],None,['Creature'],['Elf'],Rare,PS11,2,2,None,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
Elven Riders,5.0,['G'],['G'],None,['Creature'],['Elf'],Uncommon,PS11,3,3,None,Elven Riders can't be blocked except by Walls and/or creatures with flying.
Duskdale Wurm,7.0,['G'],['G'],None,['Creature'],['Wurm'],Uncommon,PS11,7,7,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
