Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Aven Windreader,5.0,['U'],['U'],None,['Creature'],"['Bird', 'Soldier', 'Wizard']",Common,PSAL,3,3,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{U}: Target player reveals the top card of their library.
Call for Blood,5.0,['B'],['B'],None,['Instant'],['Arcane'],Common,PSAL,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nTarget creature gets -X/-X until end of turn, where X is the sacrificed creature's power."
Stir the Pride,5.0,['W'],['W'],None,['Instant'],None,Uncommon,PSAL,None,None,None,"Choose one —\n• Creatures you control get +2/+2 until end of turn.\n• Until end of turn, creatures you control gain ""Whenever this creature deals damage, you gain that much life.""\nEntwine {1}{W} (Choose both if you pay the entwine cost.)"
Birchlore Rangers,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid', 'Ranger']",Common,PSAL,1,1,None,Tap two untapped Elves you control: Add one mana of any color.\nMorph {G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Betrayal of Flesh,6.0,['B'],['B'],None,['Instant'],None,Uncommon,PSAL,None,None,None,Choose one —\n• Destroy target creature.\n• Return target creature card from your graveyard to the battlefield.\nEntwine—Sacrifice three lands. (Choose both if you pay the entwine cost.)
Leonin Elder,1.0,['W'],['W'],None,['Creature'],"['Cat', 'Cleric']",Common,PSAL,1,1,None,"Whenever an artifact enters the battlefield, you may gain 1 life."
Sanctum Guardian,3.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Uncommon,PSAL,1,4,None,"Sacrifice Sanctum Guardian: The next time a source of your choice would deal damage to any target this turn, prevent that damage."
Undying Rage,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,PSAL,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2 and can't block.\nWhen Undying Rage is put into a graveyard from the battlefield, return Undying Rage to its owner's hand."
Vedalken Mastermind,2.0,['U'],['U'],None,['Creature'],"['Vedalken', 'Wizard']",Uncommon,PSAL,1,2,None,"{U}, {T}: Return target permanent you control to its owner's hand."
Walker of Secret Ways,3.0,['U'],['U'],None,['Creature'],"['Human', 'Ninja']",Uncommon,PSAL,1,2,None,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever Walker of Secret Ways deals combat damage to a player, look at that player's hand.\n{1}{U}: Return target Ninja you control to its owner's hand. Activate only during your turn."
Selesnya Guildmage,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Wizard']",Uncommon,PSAL,2,2,None,{3}{G}: Create a 1/1 green Saproling creature token.\n{3}{W}: Creatures you control get +1/+1 until end of turn.
Diabolic Tutor,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,PSAL,None,None,None,"Search your library for a card, put that card into your hand, then shuffle."
Crypt Sliver,2.0,['B'],['B'],None,['Creature'],['Sliver'],Common,PSAL,1,1,None,"All Slivers have ""{T}: Regenerate target Sliver."""
Wojek Apothecary,4.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Uncommon,PSAL,1,1,None,Radiance — {T}: Prevent the next 1 damage that would be dealt to target creature and each other creature that shares a color with it this turn.
Dance of Shadows,5.0,['B'],['B'],None,['Sorcery'],['Arcane'],Uncommon,PSAL,None,None,None,Creatures you control get +1/+0 and gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)
Saltblast,5.0,['W'],['W'],None,['Sorcery'],None,Uncommon,PSAL,None,None,None,Destroy target nonwhite permanent.
Urborg Emissary,3.0,['B'],"['B', 'U']",None,['Creature'],"['Human', 'Wizard']",Uncommon,PSAL,3,1,None,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)\nWhen Urborg Emissary enters the battlefield, if it was kicked, return target permanent to its owner's hand."
Nezumi Bone-Reader,2.0,['B'],['B'],None,['Creature'],"['Rat', 'Shaman']",Uncommon,PSAL,1,1,None,"{B}, Sacrifice a creature: Target player discards a card. Activate only as a sorcery."
Raksha Golden Cub,7.0,['W'],['W'],['Legendary'],['Creature'],"['Cat', 'Soldier']",Rare,PSAL,3,4,None,"Vigilance\nAs long as Raksha Golden Cub is equipped, Cat creatures you control get +2/+2 and have double strike."
Ursapine,5.0,['G'],['G'],None,['Creature'],['Beast'],Rare,PSAL,3,3,None,{G}: Target creature gets +1/+1 until end of turn.
Thelonite Hermit,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Rare,PSAL,1,1,None,"All Saprolings get +1/+1.\nMorph {3}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Thelonite Hermit is turned face up, create four 1/1 green Saproling creature tokens."
