Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Riveteers Ascendancy,3.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Enchantment'],None,Rare,PSNC,None,None,None,"Whenever you sacrifice a creature, you may return target creature card with lesser mana value from your graveyard to the battlefield tapped. Do this only once each turn."
"Rigo, Streetwise Mentor",3.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],"['Cat', 'Citizen']",Rare,PSNC,2,2,None,"Rigo, Streetwise Mentor enters the battlefield with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)\nWhenever you attack a player or planeswalker with one or more creatures with power 1 or less, draw a card."
"Raffine, Scheming Seer",3.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Sphinx', 'Demon']",Mythic,PSNC,1,4,None,"Flying, ward {1}\nWhenever you attack, target attacking creature connives X, where X is the number of attacking creatures. (Draw X cards, then discard X cards. Put a +1/+1 counter on that creature for each nonland card discarded this way.)"
Park Heights Pegasus,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Pegasus'],Rare,PSNC,2,1,None,"Flying, trample\nWhenever Park Heights Pegasus deals combat damage to a player, draw a card if you had two or more creatures enter the battlefield under your control this turn."
"Ognis, the Dragon's Lash",4.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Viashino', 'Warrior']",Rare,PSNC,3,3,None,"Haste\nWhenever a creature you control with haste attacks, create a tapped Treasure token."
Obscura Interceptor,4.0,"['B', 'U', 'W']","['B', 'U', 'W']",None,['Creature'],"['Cephalid', 'Wizard']",Rare,PSNC,3,1,None,"Flash\nLifelink\nWhen Obscura Interceptor enters the battlefield, it connives. When it connives this way, return up to one target spell to its owner's hand. (To have a creature connive, draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)"
Obscura Ascendancy,3.0,"['B', 'U', 'W']","['B', 'U', 'W']",None,['Enchantment'],None,Rare,PSNC,None,None,None,"Whenever you cast a spell, if its mana value is equal to 1 plus the number of soul counters on Obscura Ascendancy, put a soul counter on Obscura Ascendancy, then create a 2/2 white Spirit creature token with flying.\nAs long as there are five or more soul counters on Obscura Ascendancy, Spirits you control get +3/+3."
Meeting of the Five,8.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",None,['Sorcery'],None,Mythic,PSNC,None,None,None,Exile the top ten cards of your library. You may cast spells with exactly three colors from among them this turn. Add {W}{W}{U}{U}{B}{B}{R}{R}{G}{G}. Spend this mana only to cast spells with exactly three colors.
"Ob Nixilis, the Adversary",3.0,"['B', 'R']","['B', 'R']",['Legendary'],['Planeswalker'],['Nixilis'],Mythic,PSNC,None,None,3,"Casualty X. The copy isn't legendary and has starting loyalty X. (As you cast this spell, you may sacrifice a creature with power X. When you do, copy this spell. The copy becomes a token.)\n[+1]: Each opponent loses 2 life unless they discard a card. If you control a Demon or Devil, you gain 2 life.\n[−2]: Create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target.""\n[−7]: Target player draws seven cards and loses 7 life."
Maestros Diabolist,3.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Creature'],"['Vampire', 'Warrior']",Rare,PSNC,1,4,None,"Deathtouch, haste\nWhenever Maestros Diabolist attacks, if you don't control a Devil token, create a tapped and attacking 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target."""
