Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sage of Ancient Lore // Werewolf of Ancient Hunger,5.0,['G'],['G'],None,['Creature'],"['Human', 'Shaman', 'Werewolf']",Rare,PSOI,*,*,None,"Sage of Ancient Lore's power and toughness are each equal to the number of cards in your hand.\nWhen Sage of Ancient Lore enters the battlefield, draw a card.\nAt the beginning of each upkeep, if no spells were cast last turn, transform Sage of Ancient Lore."
Inexorable Blob,3.0,['G'],['G'],None,['Creature'],['Ooze'],Rare,PSOI,3,3,None,"Delirium — Whenever Inexorable Blob attacks, if there are four or more card types among cards in your graveyard, create a 3/3 green Ooze creature token that's tapped and attacking."
Deathcap Cultivator,2.0,['G'],"['B', 'G']",None,['Creature'],"['Human', 'Druid']",Rare,PSOI,2,1,None,{T}: Add {B} or {G}.\nDelirium — Deathcap Cultivator has deathtouch as long as there are four or more card types among cards in your graveyard.
Cryptolith Rite,2.0,['G'],['G'],None,['Enchantment'],None,Rare,PSOI,None,None,None,"Creatures you control have ""{T}: Add one mana of any color."""
Wolf of Devil's Breach,5.0,['R'],['R'],None,['Creature'],"['Elemental', 'Wolf']",Mythic,PSOI,5,5,None,"Whenever Wolf of Devil's Breach attacks, you may pay {1}{R} and discard a card. If you do, Wolf of Devil's Breach deals damage to target creature or planeswalker equal to the discarded card's mana value."
Sin Prodder,3.0,['R'],['R'],None,['Creature'],['Devil'],Rare,PSOI,3,2,None,"Menace\nAt the beginning of your upkeep, reveal the top card of your library. Any opponent may have you put that card into your graveyard. If a player does, Sin Prodder deals damage to that player equal to that card's mana value. Otherwise, put that card into your hand."
Scourge Wolf,2.0,['R'],['R'],None,['Creature'],"['Wolf', 'Horror']",Rare,PSOI,2,2,None,First strike\nDelirium — Scourge Wolf has double strike as long as there are four or more card types among cards in your graveyard.
Ravenous Bloodseeker,2.0,['R'],['R'],None,['Creature'],"['Vampire', 'Berserker']",Uncommon,PSOI,1,3,None,Discard a card: Ravenous Bloodseeker gets +2/-2 until end of turn.
Incorrigible Youths,5.0,['R'],['R'],None,['Creature'],['Vampire'],Uncommon,PSOI,4,3,None,"Haste\nMadness {2}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Harness the Storm,3.0,['R'],['R'],None,['Enchantment'],None,Rare,PSOI,None,None,None,"Whenever you cast an instant or sorcery spell from your hand, you may cast target card with the same name as that spell from your graveyard. (You still pay its costs.)"
Goldnight Castigator,4.0,['R'],['R'],None,['Creature'],['Angel'],Mythic,PSOI,4,9,None,"Flying, haste\nIf a source would deal damage to you, it deals double that damage to you instead.\nIf a source would deal damage to Goldnight Castigator, it deals double that damage to Goldnight Castigator instead."
Geier Reach Bandit // Vildin-Pack Alpha,3.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue', 'Werewolf']",Rare,PSOI,3,2,None,"Haste\nAt the beginning of each upkeep, if no spells were cast last turn, transform Geier Reach Bandit."
Flameblade Angel,6.0,['R'],['R'],None,['Creature'],['Angel'],Rare,PSOI,4,4,None,"Flying\nWhenever a source an opponent controls deals damage to you or a permanent you control, you may have Flameblade Angel deal 1 damage to that source's controller."
Falkenrath Gorger,1.0,['R'],['R'],None,['Creature'],"['Vampire', 'Berserker']",Rare,PSOI,2,1,None,"Each Vampire creature card you own that isn't on the battlefield has madness. The madness cost is equal to its mana cost. (If you discard a card with madness, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Devils' Playground,6.0,['R'],['R'],None,['Sorcery'],None,Rare,PSOI,None,None,None,"Create four 1/1 red Devil creature tokens. They have ""When this creature dies, it deals 1 damage to any target."""
Burn from Within,1.0,['R'],['R'],None,['Sorcery'],None,Rare,PSOI,None,None,None,"Burn from Within deals X damage to any target. If a creature is dealt damage this way, it loses indestructible until end of turn. If that creature would die this turn, exile it instead."
Avacyn's Judgment,2.0,['R'],['R'],None,['Sorcery'],None,Rare,PSOI,None,None,None,"Madness {X}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)\nAvacyn's Judgment deals 2 damage divided as you choose among any number of targets. If this spell's madness cost was paid, it deals X damage divided as you choose among those permanents and/or players instead."
Triskaidekaphobia,4.0,['B'],['B'],None,['Enchantment'],None,Rare,PSOI,None,None,None,"At the beginning of your upkeep, choose one —\n• Each player with exactly 13 life loses the game, then each player gains 1 life.\n• Each player with exactly 13 life loses the game, then each player loses 1 life."
To the Slaughter,3.0,['B'],['B'],None,['Instant'],None,Rare,PSOI,None,None,None,"Target player sacrifices a creature or planeswalker.\nDelirium — If there are four or more card types among cards in your graveyard, instead that player sacrifices a creature and a planeswalker."
Relentless Dead,2.0,['B'],['B'],None,['Creature'],['Zombie'],Mythic,PSOI,2,2,None,"Menace (This creature can't be blocked except by two or more creatures.)\nWhen Relentless Dead dies, you may pay {B}. If you do, return it to its owner's hand.\nWhen Relentless Dead dies, you may pay {X}. If you do, return another target Zombie creature card with mana value X from your graveyard to the battlefield."
Mindwrack Demon,4.0,['B'],['B'],None,['Creature'],['Demon'],Mythic,PSOI,4,5,None,"Flying, trample\nWhen Mindwrack Demon enters the battlefield, mill four cards.\nDelirium — At the beginning of your upkeep, you lose 4 life unless there are four or more card types among cards in your graveyard."
Markov Dreadknight,5.0,['B'],['B'],None,['Creature'],"['Vampire', 'Knight']",Rare,PSOI,3,3,None,"Flying\n{2}{B}, Discard a card: Put two +1/+1 counters on Markov Dreadknight."
From Under the Floorboards,5.0,['B'],['B'],None,['Sorcery'],None,Rare,PSOI,None,None,None,"Madness {X}{B}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)\nCreate three tapped 2/2 black Zombie creature tokens and you gain 3 life. If this spell's madness cost was paid, instead create X of those tokens and you gain X life."
Ever After,6.0,['B'],['B'],None,['Sorcery'],None,Rare,PSOI,None,None,None,Return up to two target creature cards from your graveyard to the battlefield. Each of those creatures is a black Zombie in addition to its other colors and types. Put Ever After on the bottom of its owner's library.
Elusive Tormentor // Insidious Mist,4.0,['B'],"['B', 'U']",None,['Creature'],"['Vampire', 'Wizard']",Rare,PSOI,4,4,None,"{1}, Discard a card: Transform Elusive Tormentor."
Diregraf Colossus,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Giant']",Rare,PSOI,2,2,None,"Diregraf Colossus enters the battlefield with a +1/+1 counter on it for each Zombie card in your graveyard.\nWhenever you cast a Zombie spell, create a tapped 2/2 black Zombie creature token."
Behold the Beyond,7.0,['B'],['B'],None,['Sorcery'],None,Mythic,PSOI,None,None,None,"Discard your hand. Search your library for three cards, put them into your hand, then shuffle."
Asylum Visitor,2.0,['B'],['B'],None,['Creature'],"['Vampire', 'Wizard']",Rare,PSOI,3,1,None,"At the beginning of each player's upkeep, if that player has no cards in hand, you draw a card and you lose 1 life.\nMadness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Welcome to the Fold,4.0,['U'],['U'],None,['Sorcery'],None,Rare,PSOI,None,None,None,"Madness {X}{U}{U} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)\nGain control of target creature if its toughness is 2 or less. If this spell's madness cost was paid, instead gain control of that creature if its toughness is X or less."
Thing in the Ice // Awoken Horror,2.0,['U'],['U'],None,['Creature'],['Horror'],Rare,PSOI,0,4,None,"Defender\nThing in the Ice enters the battlefield with four ice counters on it.\nWhenever you cast an instant or sorcery spell, remove an ice counter from Thing in the Ice. Then if it has no ice counters on it, transform it."
Declaration in Stone,2.0,['W'],['W'],None,['Sorcery'],None,Rare,PSOI,None,None,None,Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.
Startled Awake // Persistent Nightmare,4.0,['U'],['U'],None,['Sorcery'],None,Mythic,PSOI,None,None,None,Target opponent mills thirteen cards.\n{3}{U}{U}: Put Startled Awake from your graveyard onto the battlefield transformed. Activate only as a sorcery.
Rattlechains,2.0,['U'],['U'],None,['Creature'],['Spirit'],Rare,PSOI,2,1,None,"Flash\nFlying\nWhen Rattlechains enters the battlefield, target Spirit gains hexproof until end of turn.\nYou may cast Spirit spells as though they had flash."
