Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Furycalm Snarl,0.0,None,"['R', 'W']",None,['Land'],None,Rare,PSTX,None,None,None,"As Furycalm Snarl enters the battlefield, you may reveal a Mountain or Plains card from your hand. If you don't, Furycalm Snarl enters the battlefield tapped.\n{T}: Add {R} or {W}."
Vanishing Verse,2.0,"['B', 'W']","['B', 'W']",None,['Instant'],None,Rare,PSTX,None,None,None,Exile target monocolored permanent.
"Blex, Vexing Pest // Search for Blex",3.0,['G'],"['B', 'G']",['Legendary'],['Creature'],['Pest'],Mythic,PSTX,3,2,None,"Other Pests, Bats, Insects, Snakes, and Spiders you control get +1/+1.\nWhen Blex, Vexing Pest dies, you gain 4 life."
Tanazir Quandrix,5.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PSTX,4,4,None,"Flying, trample\nWhen Tanazir Quandrix enters the battlefield, double the number of +1/+1 counters on target creature you control.\nWhenever Tanazir Quandrix attacks, you may have the base power and toughness of other creatures you control become equal to Tanazir Quandrix's power and toughness until end of turn."
Augmenter Pugilist // Echoing Equation,3.0,['G'],"['G', 'U']",None,['Creature'],"['Troll', 'Druid']",Rare,PSTX,3,3,None,"Trample\nAs long as you control eight or more lands, Augmenter Pugilist gets +5/+5."
Silverquill Silencer,2.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Human', 'Cleric']",Rare,PSTX,3,2,None,"As Silverquill Silencer enters the battlefield, choose a nonland card name.\nWhenever an opponent casts a spell with the chosen name, they lose 3 life and you draw a card."
Verdant Mastery,6.0,['G'],['G'],None,['Sorcery'],None,Rare,PSTX,None,None,None,You may pay {3}{G} rather than pay this spell's mana cost.\nSearch your library for up to four basic land cards and reveal them. Put one of them onto the battlefield tapped under an opponent's control if the {3}{G} cost was paid. Put two of them onto the battlefield tapped under your control and the rest into your hand. Then shuffle.
Silverquill Command,4.0,"['B', 'W']","['B', 'W']",None,['Sorcery'],None,Rare,PSTX,None,None,None,Choose two —\n• Target creature gets +3/+3 and gains flying until end of turn.\n• Return target creature card with mana value 2 or less from your graveyard to the battlefield.\n• Target player draws a card and loses 1 life.\n• Target opponent sacrifices a creature.
Frostboil Snarl,0.0,None,"['R', 'U']",None,['Land'],None,Rare,PSTX,None,None,None,"As Frostboil Snarl enters the battlefield, you may reveal an Island or Mountain card from your hand. If you don't, Frostboil Snarl enters the battlefield tapped.\n{T}: Add {U} or {R}."
Shadrix Silverquill,5.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PSTX,2,5,None,"Flying, double strike\nAt the beginning of combat on your turn, you may choose two. Each mode must target a different player.\n• Target player creates a 2/1 white and black Inkling creature token with flying.\n• Target player draws a card and loses 1 life.\n• Target player puts a +1/+1 counter on each creature they control."
Gnarled Professor,4.0,['G'],['G'],None,['Creature'],"['Treefolk', 'Druid']",Rare,PSTX,5,4,None,"Trample\nWhen Gnarled Professor enters the battlefield, learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)"
Exponential Growth,2.0,['G'],['G'],None,['Sorcery'],None,Rare,PSTX,None,None,None,"Until end of turn, double target creature's power X times."
Rushed Rebirth,2.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Rare,PSTX,None,None,None,"Choose target creature. When that creature dies this turn, search your library for a creature card with lesser mana value, put it onto the battlefield tapped, then shuffle."
Ecological Appreciation,3.0,['G'],['G'],None,['Sorcery'],None,Mythic,PSTX,None,None,None,Search your library and graveyard for up to four creature cards with different names that each have mana value X or less and reveal them. An opponent chooses two of those cards. Shuffle the chosen cards into your library and put the rest onto the battlefield. Exile Ecological Appreciation.
