Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PTC,None,None,None,({T}: Add {G}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Swords to Plowshares,1.0,['W'],['W'],None,['Instant'],None,Uncommon,PTC,None,None,None,Exile target creature. Its controller gains life equal to its power.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Dwarven Catapult,1.0,['R'],['R'],None,['Instant'],None,Uncommon,PTC,None,None,None,"Dwarven Catapult deals X damage divided evenly, rounded down, among all creatures target opponent controls."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Knight of Stromgald,2.0,['B'],['B'],None,['Creature'],"['Human', 'Knight']",Uncommon,PTC,2,1,None,Protection from white\n{B}: Knight of Stromgald gains first strike until end of turn.\n{B}{B}: Knight of Stromgald gets +1/+0 until end of turn.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PTC,None,None,None,({T}: Add {W}.)
Drain Life,2.0,['B'],['B'],None,['Sorcery'],None,Common,PTC,None,None,None,"Spend only black mana on X.\nDrain Life deals X damage to any target. You gain life equal to the damage dealt, but not more life than the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness."
Havenwood Battleground,0.0,None,['G'],None,['Land'],None,Uncommon,PTC,None,None,None,"Havenwood Battleground enters the battlefield tapped.\n{T}: Add {G}.\n{T}, Sacrifice Havenwood Battleground: Add {G}{G}."
Strip Mine,0.0,None,None,None,['Land'],None,Uncommon,PTC,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Strip Mine: Destroy target land."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PTC,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PTC,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PTC,None,None,None,({T}: Add {R}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,PTC,None,None,None,({T}: Add {G}.)
Feldon's Cane,1.0,None,None,None,['Artifact'],None,Uncommon,PTC,None,None,None,"{T}, Exile Feldon's Cane: Shuffle your graveyard into your library."
Mishra's Factory,0.0,None,None,None,['Land'],None,Uncommon,PTC,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Sulfurous Springs,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PTC,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.
Winter Orb,2.0,None,None,None,['Artifact'],None,Rare,PTC,None,None,None,"As long as Winter Orb is untapped, players can't untap more than one land during their untap steps."
Serra Angel,5.0,['W'],['W'],None,['Creature'],['Angel'],Uncommon,PTC,4,4,None,"Flying, vigilance"
Lava Tubes,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PTC,None,None,None,"Lava Tubes doesn't untap during your untap step if it has a depletion counter on it.\nAt the beginning of your upkeep, remove a depletion counter from Lava Tubes.\n{T}: Add {B} or {R}. Put a depletion counter on Lava Tubes."
Ebon Stronghold,0.0,None,['B'],None,['Land'],None,Uncommon,PTC,None,None,None,"Ebon Stronghold enters the battlefield tapped.\n{T}: Add {B}.\n{T}, Sacrifice Ebon Stronghold: Add {B}{B}."
Anarchy,4.0,['R'],['R'],None,['Sorcery'],None,Uncommon,PTC,None,None,None,Destroy all white permanents.
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Common,PTC,None,None,None,Add {B}{B}{B}.
Karplusan Forest,0.0,None,"['G', 'R']",None,['Land'],None,Rare,PTC,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.
Dwarven Ruins,0.0,None,['R'],None,['Land'],None,Uncommon,PTC,None,None,None,"Dwarven Ruins enters the battlefield tapped.\n{T}: Add {R}.\n{T}, Sacrifice Dwarven Ruins: Add {R}{R}."
