Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Urborg, Tomb of Yawgmoth",0.0,None,None,['Legendary'],['Land'],None,Mythic,PUMA,None,None,None,Each land is a Swamp in addition to its other land types.
Stirring Wildwood,0.0,None,"['G', 'W']",None,['Land'],None,Mythic,PUMA,None,None,None,"Stirring Wildwood enters the battlefield tapped.\n{T}: Add {G} or {W}.\n{1}{G}{W}: Until end of turn, Stirring Wildwood becomes a 3/4 green and white Elemental creature with reach. It's still a land."
Raging Ravine,0.0,None,"['G', 'R']",None,['Land'],None,Mythic,PUMA,None,None,None,"Raging Ravine enters the battlefield tapped.\n{T}: Add {R} or {G}.\n{2}{R}{G}: Until end of turn, Raging Ravine becomes a 3/3 red and green Elemental creature with ""Whenever this creature attacks, put a +1/+1 counter on it."" It's still a land."
Lavaclaw Reaches,0.0,None,"['B', 'R']",None,['Land'],None,Mythic,PUMA,None,None,None,"Lavaclaw Reaches enters the battlefield tapped.\n{T}: Add {B} or {R}.\n{1}{B}{R}: Until end of turn, Lavaclaw Reaches becomes a 2/2 black and red Elemental creature with ""{X}: This creature gets +X/+0 until end of turn."" It's still a land."
Karakas,0.0,None,['W'],['Legendary'],['Land'],None,Mythic,PUMA,None,None,None,{T}: Add {W}.\n{T}: Return target legendary creature to its owner's hand.
Dark Depths,0.0,None,None,"['Legendary', 'Snow']",['Land'],None,Mythic,PUMA,None,None,None,"Dark Depths enters the battlefield with ten ice counters on it.\n{3}: Remove an ice counter from Dark Depths.\nWhen Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible."
Creeping Tar Pit,0.0,None,"['B', 'U']",None,['Land'],None,Mythic,PUMA,None,None,None,Creeping Tar Pit enters the battlefield tapped.\n{T}: Add {U} or {B}.\n{1}{U}{B}: Creeping Tar Pit becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.
Celestial Colonnade,0.0,None,"['U', 'W']",None,['Land'],None,Mythic,PUMA,None,None,None,"Celestial Colonnade enters the battlefield tapped.\n{T}: Add {W} or {U}.\n{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land."
Cavern of Souls,0.0,None,None,None,['Land'],None,Mythic,PUMA,None,None,None,"As Cavern of Souls enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered."
Ancient Tomb,0.0,None,None,None,['Land'],None,Mythic,PUMA,None,None,None,{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.
Platinum Emperion,8.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Mythic,PUMA,8,8,None,Your life total can't change. (You can't gain or lose life. You can't pay any amount of life except 0.)
Mana Vault,1.0,None,None,None,['Artifact'],None,Mythic,PUMA,None,None,None,"Mana Vault doesn't untap during your untap step.\nAt the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.\nAt the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.\n{T}: Add {C}{C}{C}."
Engineered Explosives,0.0,None,None,None,['Artifact'],None,Mythic,PUMA,None,None,None,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\n{2}, Sacrifice Engineered Explosives: Destroy each nonland permanent with mana value equal to the number of charge counters on Engineered Explosives."
Kitchen Finks,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Ouphe'],Mythic,PUMA,3,2,None,"When Kitchen Finks enters the battlefield, you gain 2 life.\nPersist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)"
Fulminator Mage,3.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Elemental', 'Shaman']",Mythic,PUMA,2,2,None,Sacrifice Fulminator Mage: Destroy target nonbasic land.
"Sigarda, Host of Herons",5.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,PUMA,5,5,None,"Flying, hexproof\nSpells and abilities your opponents control can't cause you to sacrifice permanents."
Maelstrom Pulse,3.0,"['B', 'G']","['B', 'G']",None,['Sorcery'],None,Mythic,PUMA,None,None,None,Destroy target nonland permanent and all other permanents with the same name as that permanent.
Lord of Extinction,5.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Elemental'],Mythic,PUMA,*,*,None,Lord of Extinction's power and toughness are each equal to the number of cards in all graveyards.
"Leovold, Emissary of Trest",3.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Elf', 'Advisor']",Mythic,PUMA,3,3,None,"Each opponent can't draw more than one card each turn.\nWhenever you or a permanent you control becomes the target of a spell or ability an opponent controls, you may draw a card."
Gaddock Teeg,2.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Kithkin', 'Advisor']",Mythic,PUMA,2,2,None,Noncreature spells with mana value 4 or greater can't be cast.\nNoncreature spells with {X} in their mana costs can't be cast.
Goryo's Vengeance,2.0,['B'],['B'],None,['Instant'],['Arcane'],Mythic,PUMA,None,None,None,"Return target legendary creature card from your graveyard to the battlefield. That creature gains haste. Exile it at the beginning of the next end step.\nSplice onto Arcane {2}{B} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)"
Noble Hierarch,1.0,['G'],"['G', 'U', 'W']",None,['Creature'],"['Human', 'Druid']",Mythic,PUMA,0,1,None,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{T}: Add {G}, {W}, or {U}."
