Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Underworld Connections,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Rare,PW24,None,None,None,"Enchant land\nEnchanted land has ""{T}, Pay 1 life: Draw a card."""
Chaos Warp,3.0,['R'],['R'],None,['Instant'],None,Rare,PW24,None,None,None,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield."
Rogue's Passage,0.0,None,None,None,['Land'],None,Uncommon,PW24,None,None,None,"{T}: Add {C}.\n{4}, {T}: Target creature can't be blocked this turn."
Zombie Master,3.0,['B'],['B'],None,['Creature'],['Zombie'],Rare,PW24,2,3,None,"Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.)\nOther Zombies have ""{B}: Regenerate this permanent."""
Transmutation Font,5.0,None,None,None,['Artifact'],None,Mythic,PW24,None,None,None,"{T}: Create your choice of a Blood token, a Clue token, or a Food token.\n{3}, {T}, Sacrifice three artifact tokens with different names: Search your library for an artifact card, put it onto the battlefield, then shuffle. Activate only as a sorcery."
Lord of Atlantis,2.0,['U'],['U'],None,['Creature'],['Merfolk'],Rare,PW24,2,2,None,Other Merfolk get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.)
Diabolic Tutor,4.0,['B'],['B'],None,['Sorcery'],None,Rare,PW24,None,None,None,"Search your library for a card, put that card into your hand, then shuffle."
Commander's Sphere,3.0,None,None,None,['Artifact'],None,Rare,PW24,None,None,None,{T}: Add one mana of any color in your commander's color identity.\nSacrifice Commander's Sphere: Draw a card.
Gaea's Liege,6.0,['G'],['G'],None,['Creature'],['Avatar'],Rare,PW24,*,*,None,"As long as Gaea's Liege isn't attacking, its power and toughness are each equal to the number of Forests you control. As long as Gaea's Liege is attacking, its power and toughness are each equal to the number of Forests defending player controls.\n{T}: Target land becomes a Forest until Gaea's Liege leaves the battlefield."
Oltec Matterweaver,3.0,['W'],['W'],None,['Creature'],"['Human', 'Artificer']",Mythic,PW24,2,4,None,"Whenever you cast a creature spell, choose one —\n• Create a 1/1 colorless Gnome artifact creature token.\n• Create a token that's a copy of target artifact token you control."
Goblin King,3.0,['R'],['R'],None,['Creature'],['Goblin'],Rare,PW24,2,2,None,Other Goblins get +1/+1 and have mountainwalk.
Serra Angel,5.0,['W'],['W'],None,['Creature'],['Angel'],Rare,PW24,4,4,None,"Flying, vigilance"
Costly Plunder,2.0,['B'],['B'],None,['Instant'],None,Rare,PW24,None,None,None,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nDraw two cards."
