Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Vraska, Swarm's Eminence",4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Planeswalker'],['Vraska'],Uncommon,PWAR,None,None,5,"Whenever a creature you control with deathtouch deals damage to a player or planeswalker, put a +1/+1 counter on that creature.\n[−2]: Create a 1/1 black Assassin creature token with deathtouch and ""Whenever this creature deals damage to a planeswalker, destroy that planeswalker."""
"Samut, Tyrant Smasher",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Planeswalker'],['Samut'],Uncommon,PWAR,None,None,5,Creatures you control have haste.\n[−1]: Target creature gets +2/+1 and gains haste until end of turn. Scry 1.
"Saheeli, Sublime Artificer",3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Planeswalker'],['Saheeli'],Uncommon,PWAR,None,None,5,"Whenever you cast a noncreature spell, create a 1/1 colorless Servo artifact creature token.\n[−2]: Target artifact you control becomes a copy of another target artifact or creature you control until end of turn, except it's an artifact in addition to its other types."
"Nahiri, Storm of Stone",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Planeswalker'],['Nahiri'],Uncommon,PWAR,None,None,6,"As long as it's your turn, creatures you control have first strike and equip abilities you activate cost {1} less to activate.\n[−X]: Nahiri, Storm of Stone deals X damage to target tapped creature."
"Kiora, Behemoth Beckoner",3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Planeswalker'],['Kiora'],Uncommon,PWAR,None,None,7,"Whenever a creature with power 4 or greater enters the battlefield under your control, draw a card.\n[−1]: Untap target permanent."
"Kaya, Bane of the Dead",6.0,"['B', 'W']","['B', 'W']",['Legendary'],['Planeswalker'],['Kaya'],Uncommon,PWAR,None,None,7,Your opponents and permanents your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.\n[−3]: Exile target creature.
"Huatli, the Sun's Heart",3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Planeswalker'],['Huatli'],Uncommon,PWAR,None,None,7,Each creature you control assigns combat damage equal to its toughness rather than its power.\n[−3]: You gain life equal to the greatest toughness among creatures you control.
"Dovin, Hand of Control",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Planeswalker'],['Dovin'],Uncommon,PWAR,None,None,5,"Artifact, instant, and sorcery spells your opponents cast cost {1} more to cast.\n[−1]: Until your next turn, prevent all damage that would be dealt to and dealt by target permanent an opponent controls."
"Angrath, Captain of Chaos",4.0,"['B', 'R']","['B', 'R']",['Legendary'],['Planeswalker'],['Angrath'],Uncommon,PWAR,None,None,5,"Creatures you control have menace.\n[−2]: Amass Zombies 2. (Put two +1/+1 counters on an Army you control. It's also a Zombie. If you don't control an Army, create a 0/0 black Zombie Army creature token first.)"
Widespread Brutality,4.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Rare,PWAR,None,None,None,"Amass Zombies 2, then the Army you amassed deals damage equal to its power to each non-Army creature. (To amass Zombies 2, put two +1/+1 counters on an Army you control. It's also a Zombie. If you don't control an Army, create a 0/0 black Zombie Army creature token first.)"
