Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
The Wandering Emperor,4.0,['W'],['W'],['Legendary'],['Planeswalker'],None,Mythic,PWCS,None,None,3,"Flash\nAs long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.\n[+1]: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.\n[−1]: Create a 2/2 white Samurai creature token with vigilance.\n[−2]: Exile target tapped creature. You gain 2 life."
Krydle of Baldur's Gate,2.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Elf', 'Rogue']",Uncommon,PWCS,1,3,None,"Whenever Krydle of Baldur's Gate deals combat damage to a player, that player loses 1 life and mills a card, then you gain 1 life and scry 1.\nWhenever you attack, you may pay {2}. If you do, target creature can't be blocked this turn."
Adult Gold Dragon,5.0,"['R', 'W']","['R', 'W']",None,['Creature'],['Dragon'],Rare,PWCS,4,3,None,"Flying, lifelink, haste"
Experimental Frenzy,4.0,['R'],['R'],None,['Enchantment'],None,Rare,PWCS,None,None,None,You may look at the top card of your library any time.\nYou may play lands and cast spells from the top of your library.\nYou can't play lands or cast spells from your hand.\n{3}{R}: Destroy Experimental Frenzy.
Saw It Coming,3.0,['U'],['U'],None,['Instant'],None,Uncommon,PWCS,None,None,None,"Counter target spell.\nForetell {1}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Faceless Haven,0.0,None,None,['Snow'],['Land'],None,Rare,PWCS,None,None,None,{T}: Add {C}.\n{S}{S}{S}: Faceless Haven becomes a 4/3 creature with vigilance and all creature types until end of turn. It's still a land. ({S} can be paid with one mana from a snow source.)
Grand Master of Flowers,4.0,['W'],['W'],['Legendary'],['Planeswalker'],['Bahamut'],Mythic,PWCS,None,None,3,"As long as Grand Master of Flowers has seven or more loyalty counters on him, he's a 7/7 Dragon God creature with flying and indestructible.\n[+1]: Target creature without first strike, double strike, or vigilance can't attack or block until your next turn.\n[+1]: Search your library and/or graveyard for a card named Monk of the Open Hand, reveal it, and put it into your hand. If you search your library this way, shuffle."
Kaya the Inexorable,5.0,"['B', 'W']","['B', 'W']",['Legendary'],['Planeswalker'],['Kaya'],Mythic,PWCS,None,None,5,"[+1]: Put a ghostform counter on up to one target nontoken creature. It gains ""When this creature dies or is put into exile, return it to its owner's hand and create a 1/1 white Spirit creature token with flying.""\n[−3]: Exile target nonland permanent.\n[−7]: You get an emblem with ""At the beginning of your upkeep, you may cast a legendary spell from your hand, from your graveyard, or from among cards you own in exile without paying its mana cost."""
"Vito, Thorn of the Dusk Rose",3.0,['B'],['B'],['Legendary'],['Creature'],"['Vampire', 'Cleric']",Rare,PWCS,1,3,None,"Whenever you gain life, target opponent loses that much life.\n{3}{B}{B}: Creatures you control gain lifelink until end of turn."
Seasoned Hallowblade,2.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Uncommon,PWCS,3,1,None,"Discard a card: Tap Seasoned Hallowblade. It gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
