Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Twining Twins // Swift Spiral,4.0,['U'],"['U', 'W']",None,['Creature'],"['Faerie', 'Wizard']",Rare,PWOE,4,4,None,"Flying, vigilance, ward {1}"
Virtue of Persistence // Locthwain Scorn,7.0,['B'],['B'],None,['Enchantment'],None,Mythic,PWOE,None,None,None,"At the beginning of your upkeep, put target creature card from a graveyard onto the battlefield under your control."
Elusive Otter // Grove's Bounty,1.0,['U'],"['G', 'U']",None,['Creature'],['Otter'],Rare,PWOE,1,1,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nCreatures with power less than Elusive Otter's power can't block it."
Tangled Colony,2.0,['B'],['B'],None,['Creature'],['Rat'],Rare,PWOE,3,2,None,"Tangled Colony can't block.\nWhen Tangled Colony dies, create X 1/1 black Rat creature tokens with ""This creature can't block,"" where X is the amount of damage dealt to it this turn."
Spiteful Hexmage,1.0,['B'],['B'],None,['Creature'],"['Human', 'Warlock']",Rare,PWOE,3,2,None,"When Spiteful Hexmage enters the battlefield, create a Cursed Role token attached to target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature is 1/1.)"
Devouring Sugarmaw // Have for Dinner,4.0,['B'],"['B', 'W']",None,['Creature'],['Horror'],Rare,PWOE,6,6,None,"Menace, trample\nAt the beginning of your upkeep, you may sacrifice an artifact, enchantment, or token. If you don't, tap Devouring Sugarmaw."
Specter of Mortality,5.0,['B'],['B'],None,['Creature'],['Specter'],Rare,PWOE,3,3,None,"Flying\nWhen Specter of Mortality enters the battlefield, you may exile one or more creature cards from your graveyard. When you do, each other creature gets -X/-X until end of turn, where X is the number of cards exiled this way."
Rankle's Prank,4.0,['B'],['B'],None,['Sorcery'],None,Rare,PWOE,None,None,None,Choose one or more —\n• Each player discards two cards.\n• Each player loses 4 life.\n• Each player sacrifices two creatures.
Decadent Dragon // Expensive Taste,4.0,['R'],"['B', 'R']",None,['Creature'],['Dragon'],Rare,PWOE,4,4,None,"Flying, trample\nWhenever Decadent Dragon attacks, create a Treasure token."
Mosswood Dreadknight // Dread Whispers,2.0,['G'],"['B', 'G']",None,['Creature'],"['Human', 'Knight']",Rare,PWOE,3,2,None,"Trample\nWhen Mosswood Dreadknight dies, you may cast it from your graveyard as an Adventure until the end of your next turn."
