Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vance's Blasting Cannons // Spitfire Bastion,4.0,['R'],['R'],['Legendary'],['Enchantment'],None,Rare,PXTC,None,None,None,"At the beginning of your upkeep, exile the top card of your library. If it's a nonland card, you may cast that card this turn.\nWhenever you cast your third spell in a turn, you may transform Vance's Blasting Cannons."
Conqueror's Galleon // Conqueror's Foothold,4.0,None,None,None,['Artifact'],['Vehicle'],Rare,PXTC,2,10,None,"When Conqueror's Galleon attacks, exile it at end of combat, then return it to the battlefield transformed under your control.\nCrew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)"
Arguel's Blood Fast // Temple of Aclazotz,2.0,['B'],['B'],['Legendary'],['Enchantment'],None,Rare,PXTC,None,None,None,"{1}{B}, Pay 2 life: Draw a card.\nAt the beginning of your upkeep, if you have 5 or less life, you may transform Arguel's Blood Fast."
Thaumatic Compass // Spires of Orazca,2.0,None,None,None,['Artifact'],None,Rare,PXTC,None,None,None,"{3}, {T}: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\nAt the beginning of your end step, if you control seven or more lands, transform Thaumatic Compass."
"Legion's Landing // Adanto, the First Fort",1.0,['W'],['W'],['Legendary'],['Enchantment'],None,Rare,PXTC,None,None,None,"When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink.\nWhen you attack with three or more creatures, transform Legion's Landing."
Dowsing Dagger // Lost Vale,2.0,None,None,None,['Artifact'],['Equipment'],Rare,PXTC,None,None,None,"When Dowsing Dagger enters the battlefield, target opponent creates two 0/2 green Plant creature tokens with defender.\nEquipped creature gets +2/+1.\nWhenever equipped creature deals combat damage to a player, you may transform Dowsing Dagger.\nEquip {2}"
"Search for Azcanta // Azcanta, the Sunken Ruin",2.0,['U'],['U'],['Legendary'],['Enchantment'],None,Rare,PXTC,None,None,None,"At the beginning of your upkeep, surveil 1. Then if you have seven or more cards in your graveyard, you may transform Search for Azcanta. (Look at the top card of your library. You may put that card into your graveyard.)"
Primal Amulet // Primal Wellspring,4.0,None,None,None,['Artifact'],None,Rare,PXTC,None,None,None,"Instant and sorcery spells you cast cost {1} less to cast.\nWhenever you cast an instant or sorcery spell, put a charge counter on Primal Amulet. Then if there are four or more charge counters on it, you may remove those counters and transform it."
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",3.0,['G'],['G'],['Legendary'],['Enchantment'],None,Rare,PXTC,None,None,None,"When Growing Rites of Itlimoc enters the battlefield, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.\nAt the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc."
Treasure Map // Treasure Cove,2.0,None,None,None,['Artifact'],None,Rare,PXTC,None,None,None,"{1}, {T}: Scry 1. Put a landmark counter on Treasure Map. Then if there are three or more landmark counters on it, remove those counters, transform Treasure Map, and create three Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
