Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Edric, Spymaster of Trest",3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Rogue']",Rare,PZ1,2,2,None,"Whenever a creature deals combat damage to one of your opponents, its controller may draw a card."
Arcane Sanctum,0.0,None,"['B', 'U', 'W']",None,['Land'],None,Uncommon,PZ1,None,None,None,"Arcane Sanctum enters the battlefield tapped.\n{T}: Add {W}, {U}, or {B}."
Ezuri's Predation,8.0,['G'],['G'],None,['Sorcery'],None,Rare,PZ1,None,None,None,"For each creature your opponents control, create a 4/4 green Phyrexian Beast creature token. Each of those tokens fights a different one of those creatures."
Worn Powerstone,3.0,None,None,None,['Artifact'],None,Uncommon,PZ1,None,None,None,Worn Powerstone enters the battlefield tapped.\n{T}: Add {C}{C}.
Eternal Witness,3.0,['G'],['G'],None,['Creature'],"['Human', 'Shaman']",Uncommon,PZ1,2,1,None,"When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand."
Dragonlair Spider,6.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Spider'],Rare,PZ1,5,6,None,"Reach\nWhenever an opponent casts a spell, create a 1/1 green Insect creature token."
Thran Dynamo,4.0,None,None,None,['Artifact'],None,Uncommon,PZ1,None,None,None,{T}: Add {C}{C}{C}.
Cultivate,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,PZ1,None,None,None,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
Seal of the Guildpact,5.0,None,None,None,['Artifact'],None,Rare,PZ1,None,None,None,"As Seal of the Guildpact enters the battlefield, choose two colors.\nEach spell you cast costs {1} less to cast for each of the chosen colors it is."
"Marchesa, the Black Rose",4.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,PZ1,3,3,None,"Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)\nOther creatures you control have dethrone.\nWhenever a creature you control with a +1/+1 counter on it dies, return that card to the battlefield under your control at the beginning of the next end step."
Daxos the Returned,3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Zombie', 'Soldier']",Rare,PZ1,2,2,None,"Whenever you cast an enchantment spell, you get an experience counter.\n{1}{W}{B}: Create a white and black Spirit enchantment creature token. It has ""This creature's power and toughness are each equal to the number of experience counters you have."""
Centaur Vinecrasher,4.0,['G'],['G'],None,['Creature'],"['Plant', 'Centaur']",Rare,PZ1,1,1,None,"Trample\nCentaur Vinecrasher enters the battlefield with a number of +1/+1 counters on it equal to the number of land cards in all graveyards.\nWhenever a land card is put into a graveyard from anywhere, you may pay {G}{G}. If you do, return Centaur Vinecrasher from your graveyard to your hand."
Thought Vessel,2.0,None,None,None,['Artifact'],None,Uncommon,PZ1,None,None,None,You have no maximum hand size.\n{T}: Add {C}.
Caller of the Pack,7.0,['G'],['G'],None,['Creature'],['Beast'],Uncommon,PZ1,8,6,None,"Trample\nMyriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)"
Scroll Rack,2.0,None,None,None,['Artifact'],None,Rare,PZ1,None,None,None,"{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order."
Brawn,4.0,['G'],['G'],None,['Creature'],['Incarnation'],Uncommon,PZ1,3,3,None,"Trample\nAs long as Brawn is in your graveyard and you control a Forest, creatures you control have trample."
Bloodspore Thrinax,4.0,['G'],['G'],None,['Creature'],['Lizard'],Rare,PZ1,2,2,None,"Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)\nEach other creature you control enters the battlefield with an additional X +1/+1 counters on it, where X is the number of +1/+1 counters on Bloodspore Thrinax."
"Anya, Merciless Angel",5.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Rare,PZ1,4,4,None,"Flying\nAnya, Merciless Angel gets +3/+3 for each opponent whose life total is less than half their starting life total.\nAs long as an opponent's life total is less than half their starting life total, Anya has indestructible."
Swiftfoot Boots,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,PZ1,None,None,None,Equipped creature has hexproof and haste. (It can't be the target of spells or abilities your opponents control.)\nEquip {1}
Arachnogenesis,3.0,['G'],['G'],None,['Instant'],None,Uncommon,PZ1,None,None,None,"Create X 1/2 green Spider creature tokens with reach, where X is the number of creatures attacking you. Prevent all combat damage that would be dealt this turn by non-Spider creatures."
Dack Fayden,3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Planeswalker'],['Dack'],Mythic,PZ1,None,None,3,"[+1]: Target player draws two cards, then discards two cards.\n[−2]: Gain control of target artifact.\n[−6]: You get an emblem with ""Whenever you cast a spell that targets one or more permanents, gain control of those permanents."""
Warchief Giant,5.0,['R'],['R'],None,['Creature'],"['Giant', 'Warrior']",Uncommon,PZ1,5,3,None,"Haste\nMyriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)"
Sol Ring,1.0,None,None,None,['Artifact'],None,Uncommon,PZ1,None,None,None,{T}: Add {C}{C}.
Wall of Blossoms,2.0,['G'],['G'],None,['Creature'],"['Plant', 'Wall']",Uncommon,PZ1,0,4,None,"Defender\nWhen Wall of Blossoms enters the battlefield, draw a card."
Vow of Lightning,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,PZ1,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2, has first strike, and can't attack you or planeswalkers you control."
Rite of the Raging Storm,5.0,['R'],['R'],None,['Enchantment'],None,Rare,PZ1,None,None,None,"Creatures named Lightning Rager can't attack you or planeswalkers you control.\nAt the beginning of each player's upkeep, that player creates a 5/1 red Elemental creature token named Lightning Rager. It has trample, haste, and ""At the beginning of the end step, sacrifice this creature."""
Sandstone Oracle,7.0,None,None,None,"['Artifact', 'Creature']",['Sphinx'],Rare,PZ1,4,4,None,"Flying\nWhen Sandstone Oracle enters the battlefield, choose an opponent. If that player has more cards in hand than you, draw cards equal to the difference."
Punishing Fire,2.0,['R'],['R'],None,['Instant'],None,Uncommon,PZ1,None,None,None,"Punishing Fire deals 2 damage to any target.\nWhenever an opponent gains life, you may pay {R}. If you do, return Punishing Fire from your graveyard to your hand."
Mizzix's Mastery,4.0,['R'],['R'],None,['Sorcery'],None,Rare,PZ1,None,None,None,"Exile target card that's an instant or sorcery from your graveyard. For each card exiled this way, copy it, and you may cast the copy without paying its mana cost. Exile Mizzix's Mastery.\nOverload {5}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Blade of Selves,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,PZ1,None,None,None,"Equipped creature has myriad. (Whenever it attacks, for each opponent other than defending player, you may create a token that's a copy of that creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)\nEquip {4}"
Behemoth Sledge,3.0,"['G', 'W']","['G', 'W']",None,['Artifact'],['Equipment'],Uncommon,PZ1,None,None,None,Equipped creature gets +2/+2 and has trample and lifelink.\nEquip {3}
Meteor Blast,3.0,['R'],['R'],None,['Sorcery'],None,Rare,PZ1,None,None,None,Meteor Blast deals 4 damage to each of X targets.
Magus of the Wheel,3.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,PZ1,3,3,None,"{1}{R}, {T}, Sacrifice Magus of the Wheel: Each player discards their hand, then draws seven cards."
Basalt Monolith,3.0,None,None,None,['Artifact'],None,Uncommon,PZ1,None,None,None,Basalt Monolith doesn't untap during your untap step.\n{T}: Add {C}{C}{C}.\n{3}: Untap Basalt Monolith.
"Arjun, the Shifting Flame",6.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Sphinx', 'Wizard']",Rare,PZ1,5,5,None,"Flying\nWhenever you cast a spell, put the cards in your hand on the bottom of your library in any order, then draw that many cards."
Goblin Sharpshooter,3.0,['R'],['R'],None,['Creature'],['Goblin'],Rare,PZ1,1,1,None,"Goblin Sharpshooter doesn't untap during your untap step.\nWhenever a creature dies, untap Goblin Sharpshooter.\n{T}: Goblin Sharpshooter deals 1 damage to any target."
Flametongue Kavu,4.0,['R'],['R'],None,['Creature'],['Kavu'],Uncommon,PZ1,4,2,None,"When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature."
Vow of Wildness,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,PZ1,None,None,None,"Enchant creature\nEnchanted creature gets +3/+3, has trample, and can't attack you or planeswalkers you control."
Zedruu the Greathearted,4.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],"['Minotaur', 'Monk']",Mythic,PZ1,2,4,None,"At the beginning of your upkeep, you gain X life and draw X cards, where X is the number of permanents you own that your opponents control.\n{U}{R}{W}: Target opponent gains control of target permanent you control."
Fiery Confluence,4.0,['R'],['R'],None,['Sorcery'],None,Rare,PZ1,None,None,None,Choose three. You may choose the same mode more than once.\n• Fiery Confluence deals 1 damage to each creature.\n• Fiery Confluence deals 2 damage to each opponent.\n• Destroy target artifact.
Faithless Looting,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,PZ1,None,None,None,"Draw two cards, then discard two cards.\nFlashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
"Freyalise, Llanowar's Fury",5.0,['G'],['G'],['Legendary'],['Planeswalker'],['Freyalise'],Mythic,PZ1,None,None,3,"[+2]: Create a 1/1 green Elf Druid creature token with ""{T}: Add {G}.""\n[−2]: Destroy target artifact or enchantment.\n[−6]: Draw a card for each green creature you control.\nFreyalise, Llanowar's Fury can be your commander."
Vela the Night-Clad,6.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,PZ1,4,4,None,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)\nOther creatures you control have intimidate.\nWhenever Vela the Night-Clad or another creature you control leaves the battlefield, each opponent loses 1 life."
Dream Pillager,7.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,PZ1,4,4,None,"Flying\nWhenever Dream Pillager deals combat damage to a player, exile that many cards from the top of your library. Until end of turn, you may cast spells from among those exiled cards."
"Diaochan, Artful Beauty",4.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,PZ1,1,1,None,"{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate only during your turn, before attackers are declared."
"Daretti, Scrap Savant",4.0,['R'],['R'],['Legendary'],['Planeswalker'],['Daretti'],Mythic,PZ1,None,None,3,"[+2]: Discard up to two cards, then draw that many cards.\n[−2]: Sacrifice an artifact. If you do, return target artifact card from your graveyard to the battlefield.\n[−10]: You get an emblem with ""Whenever an artifact is put into your graveyard from the battlefield, return that card to the battlefield at the beginning of the next end step.""\nDaretti, Scrap Savant can be your commander."
Shardless Agent,3.0,"['G', 'U']","['G', 'U']",None,"['Artifact', 'Creature']","['Human', 'Rogue']",Rare,PZ1,2,2,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Skullwinder,3.0,['G'],['G'],None,['Creature'],['Snake'],Uncommon,PZ1,1,3,None,"Deathtouch\nWhen Skullwinder enters the battlefield, return target card from your graveyard to your hand, then choose an opponent. That player returns a card from their graveyard to their hand."
Chaos Warp,3.0,['R'],['R'],None,['Instant'],None,Rare,PZ1,None,None,None,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield."
Awaken the Sky Tyrant,4.0,['R'],['R'],None,['Enchantment'],None,Rare,PZ1,None,None,None,"When a source an opponent controls deals damage to you, sacrifice Awaken the Sky Tyrant. If you do, create a 5/5 red Dragon creature token with flying."
Temple of the False God,0.0,None,None,None,['Land'],None,Rare,PZ1,None,None,None,{T}: Add {C}{C}. Activate only if you control five or more lands.
Great Oak Guardian,6.0,['G'],['G'],None,['Creature'],['Treefolk'],Uncommon,PZ1,4,5,None,"Flash (You may cast this spell any time you could cast an instant.)\nReach\nWhen Great Oak Guardian enters the battlefield, creatures target player controls get +2/+2 until end of turn. Untap them."
Anger,4.0,['R'],['R'],None,['Creature'],['Incarnation'],Uncommon,PZ1,2,2,None,"Haste\nAs long as Anger is in your graveyard and you control a Mountain, creatures you control have haste."
Wretched Confluence,5.0,['B'],['B'],None,['Instant'],None,Rare,PZ1,None,None,None,Choose three. You may choose the same mode more than once.\n• Target player draws a card and loses 1 life.\n• Target creature gets -2/-2 until end of turn.\n• Return target creature card from your graveyard to your hand.
Vow of Malice,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,PZ1,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2, has intimidate, and can't attack you or planeswalkers you control. (A creature with intimidate can't be blocked except by artifact creatures and/or creatures that share a color with it.)"
Viscera Seer,1.0,['B'],['B'],None,['Creature'],"['Vampire', 'Wizard']",Uncommon,PZ1,1,1,None,Sacrifice a creature: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
"Ezuri, Claw of Progress",4.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Phyrexian', 'Elf', 'Warrior']",Rare,PZ1,3,3,None,"Whenever a creature with power 2 or less enters the battlefield under your control, you get an experience counter.\nAt the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is the number of experience counters you have."
Tragic Slip,1.0,['B'],['B'],None,['Instant'],None,Uncommon,PZ1,None,None,None,Target creature gets -1/-1 until end of turn.\nMorbid — That creature gets -13/-13 until end of turn instead if a creature died this turn.
Meren of Clan Nel Toth,4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Human', 'Shaman']",Rare,PZ1,3,4,None,"Whenever another creature you control dies, you get an experience counter.\nAt the beginning of your end step, choose target creature card in your graveyard. If that card's mana value is less than or equal to the number of experience counters you have, return it to the battlefield. Otherwise, put it into your hand."
Seaside Citadel,0.0,None,"['G', 'U', 'W']",None,['Land'],None,Uncommon,PZ1,None,None,None,"Seaside Citadel enters the battlefield tapped.\n{T}: Add {G}, {W}, or {U}."
Rancor,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,PZ1,None,None,None,"Enchant creature\nEnchanted creature gets +2/+0 and has trample.\nWhen Rancor is put into a graveyard from the battlefield, return Rancor to its owner's hand."
Toxic Deluge,3.0,['B'],['B'],None,['Sorcery'],None,Rare,PZ1,None,None,None,"As an additional cost to cast this spell, pay X life.\nAll creatures get -X/-X until end of turn."
Thief of Blood,6.0,['B'],['B'],None,['Creature'],['Vampire'],Rare,PZ1,1,1,None,"Flying\nAs Thief of Blood enters the battlefield, remove all counters from all permanents. Thief of Blood enters the battlefield with a +1/+1 counter on it for each counter removed this way."
Sakura-Tribe Elder,2.0,['G'],['G'],None,['Creature'],"['Snake', 'Shaman']",Uncommon,PZ1,1,1,None,"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Mizzix of the Izmagnus,4.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Goblin', 'Wizard']",Rare,PZ1,2,2,None,"Whenever you cast an instant or sorcery spell with mana value greater than the number of experience counters you have, you get an experience counter.\nInstant and sorcery spells you cast cost {1} less to cast for each experience counter you have."
Savage Lands,0.0,None,"['B', 'G', 'R']",None,['Land'],None,Uncommon,PZ1,None,None,None,"Savage Lands enters the battlefield tapped.\n{T}: Add {B}, {R}, or {G}."
Scourge of Nel Toth,7.0,['B'],['B'],None,['Creature'],"['Zombie', 'Dragon']",Rare,PZ1,6,6,None,Flying\nYou may cast Scourge of Nel Toth from your graveyard by paying {B}{B} and sacrificing two creatures rather than paying its mana cost.
Saltcrusted Steppe,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,PZ1,None,None,None,"{T}: Add {C}.\n{1}, {T}: Put a storage counter on Saltcrusted Steppe.\n{1}, Remove X storage counters from Saltcrusted Steppe: Add X mana in any combination of {G} and/or {W}."
Molten Slagheap,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,PZ1,None,None,None,"{T}: Add {C}.\n{1}, {T}: Put a storage counter on Molten Slagheap.\n{1}, Remove X storage counters from Molten Slagheap: Add X mana in any combination of {B} and/or {R}."
Ob Nixilis of the Black Oath,5.0,['B'],['B'],['Legendary'],['Planeswalker'],['Nixilis'],Mythic,PZ1,None,None,3,"[+2]: Each opponent loses 1 life. You gain life equal to the life lost this way.\n[−2]: Create a 5/5 black Demon creature token with flying. You lose 2 life.\n[−8]: You get an emblem with ""{1}{B}, Sacrifice a creature: You gain X life and draw X cards, where X is the sacrificed creature's power.""\nOb Nixilis of the Black Oath can be your commander."
Dread Summons,2.0,['B'],['B'],None,['Sorcery'],None,Rare,PZ1,None,None,None,"Each player mills X cards. For each creature card put into a graveyard this way, you create a tapped 2/2 black Zombie creature token."
Decree of Pain,8.0,['B'],['B'],None,['Sorcery'],None,Rare,PZ1,None,None,None,"Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.\nCycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)\nWhen you cycle Decree of Pain, all creatures get -2/-2 until end of turn."
