Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Throne of Makindi,0.0,None,None,None,['Land'],None,Rare,PZNR,None,None,None,"{T}: Add {C}.\n{1}, {T}: Put a charge counter on Throne of Makindi.\n{T}, Remove a charge counter from Throne of Makindi: Add two mana of any one color. Spend this mana only to cast kicked spells."
Riverglide Pathway // Lavaglide Pathway,0.0,None,"['R', 'U']",None,['Land'],None,Rare,PZNR,None,None,None,{T}: Add {U}.
Needleverge Pathway // Pillarverge Pathway,0.0,None,"['R', 'W']",None,['Land'],None,Rare,PZNR,None,None,None,{T}: Add {R}.
Crawling Barrens,0.0,None,None,None,['Land'],None,Rare,PZNR,None,None,None,{T}: Add {C}.\n{4}: Put two +1/+1 counters on Crawling Barrens. Then you may have it become a 0/0 Elemental creature until end of turn. It's still a land.
Cragcrown Pathway // Timbercrown Pathway,0.0,None,"['G', 'R']",None,['Land'],None,Rare,PZNR,None,None,None,{T}: Add {R}.
Clearwater Pathway // Murkwater Pathway,0.0,None,"['B', 'U']",None,['Land'],None,Rare,PZNR,None,None,None,{T}: Add {U}.
Brightclimb Pathway // Grimclimb Pathway,0.0,None,"['B', 'W']",None,['Land'],None,Rare,PZNR,None,None,None,{T}: Add {W}.
Branchloft Pathway // Boulderloft Pathway,0.0,None,"['G', 'W']",None,['Land'],None,Rare,PZNR,None,None,None,{T}: Add {G}.
Skyclave Relic,3.0,None,None,None,['Artifact'],None,Rare,PZNR,None,None,None,"Kicker {3}\nIndestructible\nWhen Skyclave Relic enters the battlefield, if it was kicked, create two tapped tokens that are copies of Skyclave Relic.\n{T}: Add one mana of any color."
Myriad Construct,4.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,PZNR,4,4,None,"Kicker {3}\nIf Myriad Construct was kicked, it enters the battlefield with a +1/+1 counter on it for each nonbasic land your opponents control.\nWhen Myriad Construct becomes the target of a spell, sacrifice it and create a number of 1/1 colorless Construct artifact creature tokens equal to its power."
Lithoform Engine,4.0,None,None,['Legendary'],['Artifact'],None,Mythic,PZNR,None,None,None,"{2}, {T}: Copy target activated or triggered ability you control. You may choose new targets for the copy.\n{3}, {T}: Copy target instant or sorcery spell you control. You may choose new targets for the copy.\n{4}, {T}: Copy target permanent spell you control. (The copy becomes a token.)"
Forsaken Monument,5.0,None,None,['Legendary'],['Artifact'],None,Mythic,PZNR,None,None,None,"Colorless creatures you control get +2/+2.\nWhenever you tap a permanent for {C}, add an additional {C}.\nWhenever you cast a colorless spell, you gain 2 life."
"Zareth San, the Trickster",5.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Merfolk', 'Rogue']",Rare,PZNR,4,4,None,"Flash\n{2}{U}{B}, Return an unblocked attacking Rogue you control to its owner's hand: Put Zareth San, the Trickster from your hand onto the battlefield tapped and attacking.\nWhenever Zareth San deals combat damage to a player, you may put target permanent card from that player's graveyard onto the battlefield under your control."
"Zagras, Thief of Heartbeats",6.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Vampire', 'Rogue']",Rare,PZNR,4,4,None,"This spell costs {1} less to cast for each creature in your party.\nFlying, deathtouch, haste\nOther creatures you control have deathtouch.\nWhenever a creature you control deals combat damage to a planeswalker, destroy that planeswalker."
"Yasharn, Implacable Earth",4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Elemental', 'Boar']",Rare,PZNR,4,4,None,"When Yasharn enters the battlefield, search your library for a basic Forest card and a basic Plains card, reveal those cards, put them into your hand, then shuffle.\nPlayers can't pay life or sacrifice nonland permanents to cast spells or activate abilities."
"Verazol, the Split Current",2.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],['Serpent'],Rare,PZNR,0,0,None,"Verazol, the Split Current enters the battlefield with a +1/+1 counter on it for each mana spent to cast it.\nWhenever you cast a kicked spell, you may remove two +1/+1 counters from Verazol. If you do, copy that spell. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)"
"Phylath, World Sculptor",6.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],['Elemental'],Rare,PZNR,5,5,None,"When Phylath, World Sculptor enters the battlefield, create a 0/1 green Plant creature token for each basic land you control.\nLandfall — Whenever a land enters the battlefield under your control, put four +1/+1 counters on target Plant you control."
"Orah, Skyclave Hierophant",4.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Kor', 'Cleric']",Rare,PZNR,3,3,None,"Lifelink\nWhenever Orah, Skyclave Hierophant or another Cleric you control dies, return target Cleric card with lesser mana value from your graveyard to the battlefield."
"Omnath, Locus of Creation",4.0,"['G', 'R', 'U', 'W']","['G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Elemental'],Mythic,PZNR,4,4,None,"When Omnath, Locus of Creation enters the battlefield, draw a card.\nLandfall — Whenever a land enters the battlefield under your control, you gain 4 life if this is the first time this ability has resolved this turn. If it's the second time, add {R}{G}{W}{U}. If it's the third time, Omnath deals 4 damage to each opponent and each planeswalker you don't control."
Nissa of Shadowed Boughs,4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Planeswalker'],['Nissa'],Mythic,PZNR,None,None,4,"Landfall — Whenever a land enters the battlefield under your control, put a loyalty counter on Nissa of Shadowed Boughs.\n[+1]: Untap target land you control. You may have it become a 3/3 Elemental creature with haste and menace until end of turn. It's still a land.\n[−5]: You may put a creature card with mana value less than or equal to the number of lands you control onto the battlefield from your hand or graveyard with two +1/+1 counters on it."
"Nahiri, Heir of the Ancients",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Planeswalker'],['Nahiri'],Mythic,PZNR,None,None,4,"[+1]: Create a 1/1 white Kor Warrior creature token. You may attach an Equipment you control to it.\n[−2]: Look at the top six cards of your library. You may reveal a Warrior or Equipment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\n[−3]: Nahiri, Heir of the Ancients deals damage to target creature or planeswalker equal to twice the number of Equipment you control."
