Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Chandra, Torch of Defiance",4.0,['R'],['R'],['Legendary'],['Planeswalker'],['Chandra'],Mythic,Q06,None,None,4,"[+1]: Exile the top card of your library. You may cast that card. If you don't, Chandra, Torch of Defiance deals 2 damage to each opponent.\n[+1]: Add {R}{R}.\n[−3]: Chandra, Torch of Defiance deals 4 damage to target creature.\n[−7]: You get an emblem with ""Whenever you cast a spell, this emblem deals 5 damage to any target."""
Spell Queller,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Spirit'],Rare,Q06,2,3,None,"Flash\nFlying\nWhen Spell Queller enters the battlefield, exile target spell with mana value 4 or less.\nWhen Spell Queller leaves the battlefield, the exiled card's owner may cast that card without paying its mana cost."
Approach of the Second Sun,7.0,['W'],['W'],None,['Sorcery'],None,Rare,Q06,None,None,None,"If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life."
Ethereal Armor,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,Q06,None,None,None,Enchant creature\nEnchanted creature gets +1/+1 for each enchantment you control and has first strike.
Silkwrap,2.0,['W'],['W'],None,['Enchantment'],None,Uncommon,Q06,None,None,None,"When Silkwrap enters the battlefield, exile target creature with mana value 3 or less an opponent controls until Silkwrap leaves the battlefield. (That creature returns under its owner's control.)"
Searing Blood,2.0,['R'],['R'],None,['Instant'],None,Uncommon,Q06,None,None,None,"Searing Blood deals 2 damage to target creature. When that creature dies this turn, Searing Blood deals 3 damage to the creature's controller."
Wild Slash,1.0,['R'],['R'],None,['Instant'],None,Uncommon,Q06,None,None,None,"Ferocious — If you control a creature with power 4 or greater, damage can't be prevented this turn.\nWild Slash deals 2 damage to any target."
Hidden Strings,2.0,['U'],['U'],None,['Sorcery'],None,Common,Q06,None,None,None,"You may tap or untap target permanent, then you may tap or untap another target permanent.\nCipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Lurrus of the Dream-Den,3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Cat', 'Nightmare']",Rare,Q06,3,2,None,"Companion — Each permanent card in your starting deck has mana value 2 or less. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)\nLifelink\nOnce during each of your turns, you may cast a permanent spell with mana value 2 or less from your graveyard."
Isolate,1.0,['W'],['W'],None,['Instant'],None,Rare,Q06,None,None,None,Exile target permanent with mana value 1.
