Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Command Tower // Command Tower,0.0,None,None,None,['Land'],None,Common,REX,None,None,None,{T}: Add one mana of any color in your commander's color identity.
Forest // Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,REX,None,None,None,({T}: Add {G}.)
Forest // Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,REX,None,None,None,({T}: Add {G}.)
Mountain // Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,REX,None,None,None,({T}: Add {R}.)
Mountain // Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,REX,None,None,None,({T}: Add {R}.)
Swamp // Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,REX,None,None,None,({T}: Add {B}.)
Swamp // Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,REX,None,None,None,({T}: Add {B}.)
Island // Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,REX,None,None,None,({T}: Add {U}.)
Island // Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,REX,None,None,None,({T}: Add {U}.)
Plains // Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,REX,None,None,None,({T}: Add {W}.)
Plains // Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,REX,None,None,None,({T}: Add {W}.)
Dino DNA,1.0,None,None,None,['Artifact'],None,Rare,REX,None,None,None,"Imprint — {1}, {T}: Exile target creature card from a graveyard. Activate only as a sorcery.\n{6}: Create a token that's a copy of target creature card exiled with Dino DNA, except it's a 6/6 green Dinosaur creature with trample. Activate only as a sorcery."
Swooping Pteranodon,5.0,"['R', 'W']","['R', 'W']",None,['Creature'],['Dinosaur'],Rare,REX,3,3,None,"Flying, haste\nWhenever Swooping Pteranodon or another Dinosaur with flying enters the battlefield under your control, gain control of target creature an opponent controls until end of turn. Untap that creature. It gains flying and haste until end of turn. At the beginning of the next end step, target land deals 3 damage to that creature."
Ravenous Tyrannosaurus,6.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Dinosaur'],Rare,REX,6,6,None,"Devour 3 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with three times that many +1/+1 counters on it.)\nWhenever Ravenous Tyrannosaurus attacks, it deals damage equal to its power to up to one other target creature. Excess damage is dealt to that creature's controller instead."
Permission Denied,2.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Rare,REX,None,None,None,Counter target noncreature spell. Your opponents can't cast noncreature spells this turn.
Cresting Mosasaurus,8.0,['U'],['U'],None,['Creature'],['Dinosaur'],Rare,REX,4,8,None,"Emerge {6}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen Cresting Mosasaurus enters the battlefield, if you cast it, return each non-Dinosaur creature to its owner's hand."
"Ian Malcolm, Chaotician",3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Human', 'Scientist']",Rare,REX,2,2,None,"Whenever a player draws their second card each turn, that player exiles the top card of their library.\nDuring each player's turn, that player may cast a spell from among the cards they don't own exiled with Ian Malcolm, Chaotician, and mana of any type can be spent to cast it."
