Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,RIX,None,None,None,({T}: Add {R}.)
Cinder Barrens,0.0,None,"['B', 'R']",None,['Land'],None,Common,RIX,None,None,None,Cinder Barrens enters the battlefield tapped.\n{T}: Add {B} or {R}.
Angrath's Fury,5.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Rare,RIX,None,None,None,"Destroy target creature. Angrath's Fury deals 3 damage to target player or planeswalker. You may search your library and/or graveyard for a card named Angrath, Minotaur Pirate, reveal it, and put it into your hand. If you search your library this way, shuffle."
Swab Goblin,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Pirate']",Common,RIX,2,2,None,None
Angrath's Ambusher,3.0,['B'],['B'],None,['Creature'],"['Orc', 'Pirate']",Uncommon,RIX,2,3,None,Angrath's Ambusher gets +2/+0 as long as you control an Angrath planeswalker.
"Angrath, Minotaur Pirate",6.0,"['B', 'R']","['B', 'R']",['Legendary'],['Planeswalker'],['Angrath'],Mythic,RIX,None,None,5,"[+2]: Angrath, Minotaur Pirate deals 1 damage to target opponent or planeswalker and each creature that player or that planeswalker's controller controls.\n[−3]: Return target Pirate card from your graveyard to the battlefield.\n[−11]: Destroy all creatures target opponent controls. Angrath, Minotaur Pirate deals damage to that player equal to their total power."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,RIX,None,None,None,({T}: Add {G}.)
Vraska's Scorn,4.0,['B'],['B'],None,['Sorcery'],None,Rare,RIX,None,None,None,"Target opponent loses 4 life. You may search your library and/or graveyard for a card named Vraska, Scheming Gorgon, reveal it, and put it into your hand. If you search your library this way, shuffle."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,RIX,None,None,None,({T}: Add {B}.)
Vraska's Conquistador,2.0,['B'],['B'],None,['Creature'],"['Vampire', 'Soldier']",Uncommon,RIX,2,1,None,"Whenever Vraska's Conquistador attacks or blocks, if you control a Vraska planeswalker, target opponent loses 2 life and you gain 2 life."
Vampire Champion,4.0,['B'],['B'],None,['Creature'],"['Vampire', 'Soldier']",Common,RIX,3,3,None,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
