Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Thought Collapse,3.0,['U'],['U'],None,['Instant'],None,Common,RNA,None,None,None,Counter target spell. Its controller mills three cards.
End-Raze Forerunners,8.0,['G'],['G'],None,['Creature'],['Boar'],Rare,RNA,7,7,None,"Vigilance, trample, haste\nWhen End-Raze Forerunners enters the battlefield, other creatures you control get +2/+2 and gain vigilance and trample until end of turn."
Biogenic Upgrade,6.0,['G'],['G'],None,['Sorcery'],None,Uncommon,RNA,None,None,None,"Distribute three +1/+1 counters among one, two, or three target creatures, then double the number of +1/+1 counters on each of those creatures."
Biogenic Ooze,5.0,['G'],['G'],None,['Creature'],['Ooze'],Mythic,RNA,2,2,None,"When Biogenic Ooze enters the battlefield, create a 2/2 green Ooze creature token.\nAt the beginning of your end step, put a +1/+1 counter on each Ooze you control.\n{1}{G}{G}{G}: Create a 2/2 green Ooze creature token."
Thrash // Threat,6.0,"['R', 'G']","['G', 'R']",None,['Instant'],None,Rare,RNA,None,None,None,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.
Sphinx of Foresight,4.0,['U'],['U'],None,['Creature'],['Sphinx'],Rare,RNA,4,4,None,"You may reveal this card from your opening hand. If you do, scry 3 at the beginning of your first upkeep.\nFlying\nAt the beginning of your upkeep, scry 1."
Axebane Beast,4.0,['G'],['G'],None,['Creature'],['Beast'],Common,RNA,3,4,None,None
Revival // Revenge,8.0,"['W', 'B']","['B', 'W']",None,['Sorcery'],None,Rare,RNA,None,None,None,Return target creature card with mana value 3 or less from your graveyard to the battlefield.
Tin Street Dodger,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Rogue']",Uncommon,RNA,1,1,None,Haste\n{R}: Tin Street Dodger can't be blocked this turn except by creatures with defender.
Storm Strike,1.0,['R'],['R'],None,['Instant'],None,Common,RNA,None,None,None,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.
Skatewing Spy,4.0,['U'],['U'],None,['Creature'],"['Vedalken', 'Rogue', 'Mutant']",Uncommon,RNA,2,3,None,"{5}{U}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)\nEach creature you control with a +1/+1 counter on it has flying."
Spikewheel Acrobat,4.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Common,RNA,5,2,None,Spectacle {2}{R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Spear Spewer,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,RNA,0,2,None,Defender\n{T}: Spear Spewer deals 1 damage to each player.
Gates Ablaze,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,RNA,None,None,None,"Gates Ablaze deals X damage to each creature, where X is the number of Gates you control."
Incubation // Incongruity,4.0,"['U', 'G']","['G', 'U']",None,['Sorcery'],None,Uncommon,RNA,None,None,None,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Scorchmark,2.0,['R'],['R'],None,['Instant'],None,Common,RNA,None,None,None,"Scorchmark deals 2 damage to target creature. If that creature would die this turn, exile it instead."
Sage's Row Savant,2.0,['U'],['U'],None,['Creature'],"['Vedalken', 'Wizard']",Common,RNA,2,1,None,"When Sage's Row Savant enters the battlefield, scry 2."
Skewer the Critics,3.0,['R'],['R'],None,['Sorcery'],None,Common,RNA,None,None,None,Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nSkewer the Critics deals 3 damage to any target.
Smelt-Ward Ignus,2.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,RNA,2,1,None,"{2}{R}, Sacrifice Smelt-Ward Ignus: Gain control of target creature with power 3 or less until end of turn. Untap that creature. It gains haste until end of turn. Activate only as a sorcery."
Skarrgan Hellkite,5.0,['R'],['R'],None,['Creature'],['Dragon'],Mythic,RNA,4,4,None,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)\nFlying\n{3}{R}: Skarrgan Hellkite deals 2 damage divided as you choose among one or two targets. Activate only if Skarrgan Hellkite has a +1/+1 counter on it.
Rumbling Ruin,6.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,RNA,6,6,None,"When Rumbling Ruin enters the battlefield, count the number of +1/+1 counters on creatures you control. Creatures your opponents control with power less than or equal to that number can't block this turn."
Rubblebelt Recluse,5.0,['R'],['R'],None,['Creature'],"['Ogre', 'Berserker']",Common,RNA,6,5,None,Rubblebelt Recluse attacks each combat if able.
Rubble Reading,4.0,['R'],['R'],None,['Sorcery'],None,Common,RNA,None,None,None,Destroy target land. Scry 2.
Mass Manipulation,4.0,['U'],['U'],None,['Sorcery'],None,Rare,RNA,None,None,None,Gain control of X target creatures and/or planeswalkers.
Rix Maadi Reveler,2.0,['R'],"['B', 'R']",None,['Creature'],"['Human', 'Shaman']",Rare,RNA,2,2,None,"Spectacle {2}{B}{R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nWhen Rix Maadi Reveler enters the battlefield, discard a card, then draw a card. If Rix Maadi Reveler's spectacle cost was paid, instead discard your hand, then draw three cards."
Mirror March,6.0,['R'],['R'],None,['Enchantment'],None,Rare,RNA,None,None,None,"Whenever a nontoken creature enters the battlefield under your control, flip a coin until you lose a flip. For each flip you won, create a token that's a copy of that creature. Those tokens gain haste. Exile them at the beginning of the next end step."
Repudiate // Replicate,5.0,"['U', 'G']","['G', 'U']",None,['Instant'],None,Rare,RNA,None,None,None,Counter target activated or triggered ability. (Mana abilities can't be targeted.)
Ghor-Clan Wrecker,4.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,RNA,2,2,None,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)\nMenace (This creature can't be blocked except by two or more creatures.)
Light Up the Stage,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,RNA,None,None,None,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nExile the top two cards of your library. Until the end of your next turn, you may play those cards."
Flames of the Raze-Boar,6.0,['R'],['R'],None,['Instant'],None,Uncommon,RNA,None,None,None,Flames of the Raze-Boar deals 4 damage to target creature an opponent controls. Then Flames of the Raze-Boar deals 2 damage to each other creature that player controls if you control a creature with power 4 or greater.
Immolation Shaman,2.0,['R'],['R'],None,['Creature'],"['Viashino', 'Shaman']",Rare,RNA,1,3,None,"Whenever an opponent activates an ability of an artifact, creature, or land that isn't a mana ability, Immolation Shaman deals 1 damage to that player.\n{3}{R}{R}: Immolation Shaman gets +3/+3 and gains menace until end of turn."
Gravel-Hide Goblin,2.0,['R'],"['G', 'R']",None,['Creature'],"['Goblin', 'Shaman']",Common,RNA,2,1,None,{3}{G}: Gravel-Hide Goblin gets +2/+2 until end of turn.
Benthic Biomancer,1.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Wizard', 'Mutant']",Rare,RNA,1,1,None,"{1}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)\nWhenever one or more +1/+1 counters are put on Benthic Biomancer, draw a card, then discard a card."
Goblin Gathering,3.0,['R'],['R'],None,['Sorcery'],None,Common,RNA,None,None,None,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.
Feral Maaka,2.0,['R'],['R'],None,['Creature'],['Cat'],Common,RNA,2,2,None,None
Twilight Panther,1.0,['W'],"['B', 'W']",None,['Creature'],"['Cat', 'Spirit']",Common,RNA,1,2,None,{B}: Twilight Panther gains deathtouch until end of turn.
Tithe Taker,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,RNA,2,1,None,"During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities.\nAfterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)"
Electrodominance,2.0,['R'],['R'],None,['Instant'],None,Rare,RNA,None,None,None,Electrodominance deals X damage to any target. You may cast a spell with mana value X or less from your hand without paying its mana cost.
Summary Judgment,2.0,['W'],['W'],None,['Instant'],None,Common,RNA,None,None,None,"Summary Judgment deals 3 damage to target tapped creature.\nAddendum — If you cast this spell during your main phase, it deals 5 damage instead."
Deface,1.0,['R'],['R'],None,['Sorcery'],None,Common,RNA,None,None,None,Choose one —\n• Destroy target artifact.\n• Destroy target creature with defender.
Sky Tether,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,RNA,None,None,None,Enchant creature\nEnchanted creature has defender and loses flying.
Collision // Colossus,4.0,"['R', 'G']","['G', 'R']",None,['Instant'],None,Uncommon,RNA,None,None,None,Collision deals 6 damage to target creature with flying.
Resolute Watchdog,1.0,['W'],['W'],None,['Creature'],['Dog'],Uncommon,RNA,1,3,None,"Defender\n{1}, Sacrifice Resolute Watchdog: Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Dagger Caster,4.0,['R'],['R'],None,['Creature'],"['Viashino', 'Rogue']",Uncommon,RNA,2,3,None,"When Dagger Caster enters the battlefield, it deals 1 damage to each opponent and 1 damage to each creature your opponents control."
Angelic Exaltation,4.0,['W'],['W'],None,['Enchantment'],None,Uncommon,RNA,None,None,None,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control."
Clamor Shaman,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Shaman']",Uncommon,RNA,1,1,None,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)\nWhenever Clamor Shaman attacks, target creature an opponent controls can't block this turn."
Cavalcade of Calamity,2.0,['R'],['R'],None,['Enchantment'],None,Uncommon,RNA,None,None,None,"Whenever a creature you control with power 1 or less attacks, Cavalcade of Calamity deals 1 damage to the player or planeswalker that creature is attacking."
Burning-Tree Vandal,3.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Common,RNA,2,1,None,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)\nWhenever Burning-Tree Vandal attacks, you may discard a card. If you do, draw a card."
Depose // Deploy,6.0,"['W', 'U']","['U', 'W']",None,['Instant'],None,Uncommon,RNA,None,None,None,Tap target creature.\nDraw a card.
Burn Bright,3.0,['R'],['R'],None,['Instant'],None,Common,RNA,None,None,None,Creatures you control get +2/+0 until end of turn.
Amplifire,4.0,['R'],['R'],None,['Creature'],['Elemental'],Rare,RNA,1,1,None,"At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order."
Act of Treason,3.0,['R'],['R'],None,['Sorcery'],None,Common,RNA,None,None,None,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)
Vindictive Vampire,4.0,['B'],['B'],None,['Creature'],['Vampire'],Uncommon,RNA,2,3,None,"Whenever another creature you control dies, Vindictive Vampire deals 1 damage to each opponent and you gain 1 life."
Undercity's Embrace,3.0,['B'],['B'],None,['Instant'],None,Common,RNA,None,None,None,"Target opponent sacrifices a creature. If you control a creature with power 4 or greater, you gain 4 life."
Undercity Scavenger,4.0,['B'],['B'],None,['Creature'],"['Ogre', 'Warrior']",Common,RNA,3,3,None,"When Undercity Scavenger enters the battlefield, you may sacrifice another creature. If you do, put two +1/+1 counters on Undercity Scavenger, then scry 2."
Thirsting Shade,1.0,['B'],['B'],None,['Creature'],['Shade'],Common,RNA,1,1,None,Lifelink\n{2}{B}: Thirsting Shade gets +1/+1 until end of turn.
Spire Mangler,3.0,['B'],['B'],None,['Creature'],['Insect'],Uncommon,RNA,2,1,None,"Flash\nFlying\nWhen Spire Mangler enters the battlefield, target creature with flying you control gets +2/+0 until end of turn."
Spawn of Mayhem,4.0,['B'],['B'],None,['Creature'],['Demon'],Mythic,RNA,4,4,None,"Spectacle {1}{B}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nFlying, trample\nAt the beginning of your upkeep, Spawn of Mayhem deals 1 damage to each player. Then if you have 10 or less life, put a +1/+1 counter on Spawn of Mayhem."
Rakdos Trumpeter,2.0,['B'],"['B', 'R']",None,['Creature'],"['Human', 'Shaman']",Common,RNA,1,3,None,Menace (This creature can't be blocked except by two or more creatures.)\n{3}{R}: Rakdos Trumpeter gets +2/+0 until end of turn.
Carnival // Carnage,5.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Uncommon,RNA,None,None,None,Carnival deals 1 damage to target creature or planeswalker and 1 damage to that permanent's controller.
Impassioned Orator,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Common,RNA,2,2,None,"Whenever another creature enters the battlefield under your control, you gain 1 life."
Hero of Precinct One,2.0,['W'],['W'],None,['Creature'],"['Human', 'Warrior']",Rare,RNA,2,2,None,"Whenever you cast a multicolored spell, create a 1/1 white Human creature token."
Cry of the Carnarium,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,RNA,None,None,None,"All creatures get -2/-2 until end of turn. Exile all creature cards in all graveyards that were put there from the battlefield this turn. If a creature would die this turn, exile it instead."
Orzhov Racketeers,5.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Uncommon,RNA,3,2,None,"Whenever Orzhov Racketeers deals combat damage to a player, that player discards a card.\nAfterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)"
Plague Wight,2.0,['B'],['B'],None,['Creature'],['Zombie'],Common,RNA,2,1,None,"Whenever Plague Wight becomes blocked, each creature blocking it gets -1/-1 until end of turn."
Haazda Officer,3.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,RNA,3,2,None,"When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn."
Priest of Forgotten Gods,2.0,['B'],['B'],None,['Creature'],"['Human', 'Cleric']",Rare,RNA,1,2,None,"{T}, Sacrifice two other creatures: Any number of target players each lose 2 life and sacrifice a creature. You add {B}{B} and draw a card."
Forbidding Spirit,3.0,['W'],['W'],None,['Creature'],"['Spirit', 'Cleric']",Uncommon,RNA,3,3,None,"When Forbidding Spirit enters the battlefield, until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays {2} for each of those creatures."
Bedeck // Bedazzle,8.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Rare,RNA,None,None,None,Target creature gets +3/-3 until end of turn.
Pestilent Spirit,3.0,['B'],['B'],None,['Creature'],['Spirit'],Rare,RNA,3,2,None,"Menace, deathtouch\nInstant and sorcery spells you control have deathtouch. (Any amount of damage they deal to a creature is enough to destroy it.)"
Expose to Daylight,3.0,['W'],['W'],None,['Instant'],None,Common,RNA,None,None,None,Destroy target artifact or enchantment. Scry 1.
Vizkopa Vampire,3.0,"['B', 'W']","['B', 'W']",None,['Creature'],['Vampire'],Common,RNA,3,1,None,Lifelink
Orzhov Enforcer,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Uncommon,RNA,1,2,None,"Deathtouch\nAfterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)"
Archway Angel,6.0,['W'],['W'],None,['Creature'],['Angel'],Uncommon,RNA,3,4,None,"Flying\nWhen Archway Angel enters the battlefield, you gain 2 life for each Gate you control."
Senate Griffin,4.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Griffin'],Common,RNA,3,2,None,"Flying\nWhen Senate Griffin enters the battlefield, scry 1."
Concordia Pegasus,2.0,['W'],['W'],None,['Creature'],['Pegasus'],Common,RNA,1,3,None,Flying
Noxious Groodion,3.0,['B'],['B'],None,['Creature'],['Beast'],Common,RNA,2,2,None,Deathtouch
