Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Durkwood Boars,5.0,['G'],['G'],None,['Creature'],['Boar'],Common,RQS,4,4,None,None
Pyrotechnics,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,RQS,None,None,None,Pyrotechnics deals 4 damage divided as you choose among any number of targets.
Orcish Oriflamme,4.0,['R'],['R'],None,['Enchantment'],None,Uncommon,RQS,None,None,None,Attacking creatures you control get +1/+0.
Orcish Artillery,3.0,['R'],['R'],None,['Creature'],"['Orc', 'Warrior']",Uncommon,RQS,1,3,None,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.
Mons's Goblin Raiders,1.0,['R'],['R'],None,['Creature'],['Goblin'],Common,RQS,1,1,None,None
Ironclaw Orcs,2.0,['R'],['R'],None,['Creature'],['Orc'],Common,RQS,2,2,None,Ironclaw Orcs can't block creatures with power 2 or greater.
Hill Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Common,RQS,3,3,None,None
Fireball,1.0,['R'],['R'],None,['Sorcery'],None,Common,RQS,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Disintegrate,1.0,['R'],['R'],None,['Sorcery'],None,Common,RQS,None,None,None,"Disintegrate deals X damage to any target. If it's a creature, it can't be regenerated this turn, and if it would die this turn, exile it instead."
Detonate,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,RQS,None,None,None,Destroy target artifact with mana value X. It can't be regenerated. Detonate deals X damage to that artifact's controller.
Weakness,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,RQS,None,None,None,Enchant creature\nEnchanted creature gets -2/-1.
Warp Artifact,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Rare,RQS,None,None,None,"Enchant artifact\nAt the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player."
Wall of Bone,3.0,['B'],['B'],None,['Creature'],"['Skeleton', 'Wall']",Uncommon,RQS,1,4,None,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Vampire Bats,1.0,['B'],['B'],None,['Creature'],['Bat'],Common,RQS,0,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.
Terror,2.0,['B'],['B'],None,['Instant'],None,Common,RQS,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Winter Blast,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,RQS,None,None,None,Tap X target creatures. Winter Blast deals 2 damage to each of those creatures with flying.
Sorceress Queen,3.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,RQS,1,1,None,{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.
Scathe Zombies,3.0,['B'],['B'],None,['Creature'],['Zombie'],Common,RQS,2,2,None,None
Raise Dead,1.0,['B'],['B'],None,['Sorcery'],None,Common,RQS,None,None,None,Return target creature card from your graveyard to your hand.
Murk Dwellers,4.0,['B'],['B'],None,['Creature'],['Zombie'],Common,RQS,2,2,None,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat."
Whirling Dervish,2.0,['G'],['G'],None,['Creature'],"['Human', 'Monk']",Uncommon,RQS,1,1,None,"Protection from black\nAt the beginning of each end step, if Whirling Dervish dealt damage to an opponent this turn, put a +1/+1 counter on it."
Lost Soul,3.0,['B'],['B'],None,['Creature'],"['Spirit', 'Minion']",Common,RQS,2,1,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Common,RQS,None,None,None,Add {B}{B}{B}.
Circle of Protection: Black,2.0,['W'],['W'],None,['Enchantment'],None,Common,RQS,None,None,None,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage."
Zephyr Falcon,2.0,['U'],['U'],None,['Creature'],['Bird'],Common,RQS,1,1,None,"Flying, vigilance"
War Mammoth,4.0,['G'],['G'],None,['Creature'],['Elephant'],Common,RQS,3,3,None,Trample
Bog Wraith,4.0,['B'],['B'],None,['Creature'],['Wraith'],Uncommon,RQS,3,3,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Cursed Land,4.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,RQS,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player."
Bog Imp,2.0,['B'],['B'],None,['Creature'],['Imp'],Common,RQS,1,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)
Unsummon,1.0,['U'],['U'],None,['Instant'],None,Common,RQS,None,None,None,Return target creature to its owner's hand.
Twiddle,1.0,['U'],['U'],None,['Instant'],None,Common,RQS,None,None,None,"You may tap or untap target artifact, creature, or land."
Power Sink,1.0,['U'],['U'],None,['Instant'],None,Common,RQS,None,None,None,"Counter target spell unless its controller pays {X}. If that player doesn't, they tap all lands with mana abilities they control and lose all unspent mana."
Merfolk of the Pearl Trident,1.0,['U'],['U'],None,['Creature'],['Merfolk'],Common,RQS,1,1,None,None
Feedback,3.0,['U'],['U'],None,['Enchantment'],['Aura'],Uncommon,RQS,None,None,None,"Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player."
Untamed Wilds,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,RQS,None,None,None,"Search your library for a basic land card, put that card onto the battlefield, then shuffle."
Energy Flux,3.0,['U'],['U'],None,['Enchantment'],None,Uncommon,RQS,None,None,None,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."""
Circle of Protection: Red,2.0,['W'],['W'],None,['Enchantment'],None,Common,RQS,None,None,None,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage."
Grizzly Bears,2.0,['G'],['G'],None,['Creature'],['Bear'],Common,RQS,2,2,None,None
Reverse Damage,3.0,['W'],['W'],None,['Instant'],None,Rare,RQS,None,None,None,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way."
Alabaster Potion,2.0,['W'],['W'],None,['Instant'],None,Common,RQS,None,None,None,Choose one —\n• Target player gains X life.\n• Prevent the next X damage that would be dealt to any target this turn.
Scryb Sprites,1.0,['G'],['G'],None,['Creature'],['Faerie'],Common,RQS,1,1,None,Flying
Elvish Archers,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Archer']",Rare,RQS,2,1,None,First strike
Elven Riders,5.0,['G'],['G'],None,['Creature'],['Elf'],Uncommon,RQS,3,3,None,Elven Riders can't be blocked except by Walls and/or creatures with flying.
Pearled Unicorn,3.0,['W'],['W'],None,['Creature'],['Unicorn'],Common,RQS,2,2,None,None
Mesa Pegasus,2.0,['W'],['W'],None,['Creature'],['Pegasus'],Common,RQS,1,1,None,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Healing Salve,1.0,['W'],['W'],None,['Instant'],None,Common,RQS,None,None,None,Choose one —\n• Target player gains 3 life.\n• Prevent the next 3 damage that would be dealt to any target this turn.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,RQS,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,RQS,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,RQS,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,RQS,None,None,None,({T}: Add {R}.)
