Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,RTR,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,RTR,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,RTR,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,RTR,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,RTR,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,RTR,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,RTR,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,RTR,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,RTR,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,RTR,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,RTR,None,None,None,({T}: Add {W}.)
Transguild Promenade,0.0,None,None,None,['Land'],None,Common,RTR,None,None,None,"Transguild Promenade enters the battlefield tapped.\nWhen Transguild Promenade enters the battlefield, sacrifice it unless you pay {1}.\n{T}: Add one mana of any color."
Temple Garden,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,RTR,None,None,None,"({T}: Add {G} or {W}.)\nAs Temple Garden enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Steam Vents,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Rare,RTR,None,None,None,"({T}: Add {U} or {R}.)\nAs Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Selesnya Guildgate,0.0,None,"['G', 'W']",None,['Land'],['Gate'],Common,RTR,None,None,None,Selesnya Guildgate enters the battlefield tapped.\n{T}: Add {G} or {W}.
Rogue's Passage,0.0,None,None,None,['Land'],None,Uncommon,RTR,None,None,None,"{T}: Add {C}.\n{4}, {T}: Target creature can't be blocked this turn."
Rakdos Guildgate,0.0,None,"['B', 'R']",None,['Land'],['Gate'],Common,RTR,None,None,None,Rakdos Guildgate enters the battlefield tapped.\n{T}: Add {B} or {R}.
Overgrown Tomb,0.0,None,"['B', 'G']",None,['Land'],"['Swamp', 'Forest']",Rare,RTR,None,None,None,"({T}: Add {B} or {G}.)\nAs Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Izzet Guildgate,0.0,None,"['R', 'U']",None,['Land'],['Gate'],Common,RTR,None,None,None,Izzet Guildgate enters the battlefield tapped.\n{T}: Add {U} or {R}.
Hallowed Fountain,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,RTR,None,None,None,"({T}: Add {W} or {U}.)\nAs Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Grove of the Guardian,0.0,None,"['G', 'W']",None,['Land'],None,Rare,RTR,None,None,None,"{T}: Add {C}.\n{3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice Grove of the Guardian: Create an 8/8 green and white Elemental creature token with vigilance."
Golgari Guildgate,0.0,None,"['B', 'G']",None,['Land'],['Gate'],Common,RTR,None,None,None,Golgari Guildgate enters the battlefield tapped.\n{T}: Add {B} or {G}.
Blood Crypt,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Rare,RTR,None,None,None,"({T}: Add {B} or {R}.)\nAs Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Azorius Guildgate,0.0,None,"['U', 'W']",None,['Land'],['Gate'],Common,RTR,None,None,None,Azorius Guildgate enters the battlefield tapped.\n{T}: Add {W} or {U}.
Volatile Rig,4.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,RTR,4,4,None,"Trample\nVolatile Rig attacks each combat if able.\nWhenever Volatile Rig is dealt damage, flip a coin. If you lose the flip, sacrifice Volatile Rig.\nWhen Volatile Rig dies, flip a coin. If you lose the flip, it deals 4 damage to each creature and each player."
Tablet of the Guilds,2.0,None,None,None,['Artifact'],None,Uncommon,RTR,None,None,None,"As Tablet of the Guilds enters the battlefield, choose two colors.\nWhenever you cast a spell, if it's at least one of the chosen colors, you gain 1 life for each of the chosen colors it is."
Street Sweeper,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,RTR,4,6,None,"Whenever Street Sweeper attacks, destroy all Auras attached to target land."
Selesnya Keyrune,3.0,None,"['G', 'W']",None,['Artifact'],None,Uncommon,RTR,None,None,None,{T}: Add {G} or {W}.\n{G}{W}: Selesnya Keyrune becomes a 3/3 green and white Wolf artifact creature until end of turn.
Rakdos Keyrune,3.0,None,"['B', 'R']",None,['Artifact'],None,Uncommon,RTR,None,None,None,{T}: Add {B} or {R}.\n{B}{R}: Rakdos Keyrune becomes a 3/1 black and red Devil artifact creature with first strike until end of turn.
Pithing Needle,1.0,None,None,None,['Artifact'],None,Rare,RTR,None,None,None,"As Pithing Needle enters the battlefield, choose a card name.\nActivated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Izzet Keyrune,3.0,None,"['R', 'U']",None,['Artifact'],None,Uncommon,RTR,None,None,None,"{T}: Add {U} or {R}.\n{U}{R}: Until end of turn, Izzet Keyrune becomes a 2/1 blue and red Elemental artifact creature.\nWhenever Izzet Keyrune deals combat damage to a player, you may draw a card. If you do, discard a card."
Golgari Keyrune,3.0,None,"['B', 'G']",None,['Artifact'],None,Uncommon,RTR,None,None,None,{T}: Add {B} or {G}.\n{B}{G}: Golgari Keyrune becomes a 2/2 black and green Insect artifact creature with deathtouch until end of turn.
Codex Shredder,1.0,None,None,None,['Artifact'],None,Uncommon,RTR,None,None,None,"{T}: Target player mills a card. (They put the top card of their library into their graveyard.)\n{5}, {T}, Sacrifice Codex Shredder: Return target card from your graveyard to your hand."
Civic Saber,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,RTR,None,None,None,Equipped creature gets +1/+0 for each of its colors.\nEquip {1}
Chromatic Lantern,3.0,None,None,None,['Artifact'],None,Rare,RTR,None,None,None,"Lands you control have ""{T}: Add one mana of any color.""\n{T}: Add one mana of any color."
Azorius Keyrune,3.0,None,"['U', 'W']",None,['Artifact'],None,Uncommon,RTR,None,None,None,{T}: Add {W} or {U}.\n{W}{U}: Azorius Keyrune becomes a 2/2 white and blue Bird artifact creature with flying until end of turn.
Vassal Soul,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Spirit'],Common,RTR,2,2,None,Flying
Sundering Growth,2.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Common,RTR,None,None,None,"Destroy target artifact or enchantment, then populate. (Create a token that's a copy of a creature token you control.)"
Slitherhead,1.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Plant', 'Zombie']",Uncommon,RTR,1,1,None,"Scavenge {0} ({0}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)"
Rakdos Shred-Freak,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Human', 'Berserker']",Common,RTR,2,1,None,Haste
Rakdos Cackler,1.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Devil'],Uncommon,RTR,1,1,None,Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Nivmagus Elemental,1.0,"['R', 'U']","['R', 'U']",None,['Creature'],['Elemental'],Rare,RTR,1,2,None,Exile an instant or sorcery spell you control: Put two +1/+1 counters on Nivmagus Elemental. (That spell won't resolve.)
Judge's Familiar,1.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Bird'],Uncommon,RTR,1,1,None,Flying\nSacrifice Judge's Familiar: Counter target instant or sorcery spell unless its controller pays {1}.
Supreme Verdict,4.0,"['U', 'W']","['U', 'W']",None,['Sorcery'],None,Rare,RTR,None,None,None,This spell can't be countered.\nDestroy all creatures.
Frostburn Weird,2.0,"['R', 'U']","['R', 'U']",None,['Creature'],['Weird'],Common,RTR,1,4,None,{U/R}: Frostburn Weird gets +1/-1 until end of turn.
Teleportal,2.0,"['R', 'U']","['R', 'U']",None,['Sorcery'],None,Uncommon,RTR,None,None,None,"Target creature you control gets +1/+0 until end of turn and can't be blocked this turn.\nOverload {3}{U}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Growing Ranks,4.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,RTR,None,None,None,"At the beginning of your upkeep, populate. (Create a token that's a copy of a creature token you control.)"
Deathrite Shaman,1.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Elf', 'Shaman']",Rare,RTR,1,2,None,"{T}: Exile target land card from a graveyard. Add one mana of any color.\n{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.\n{G}, {T}: Exile target creature card from a graveyard. You gain 2 life."
Golgari Longlegs,5.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Insect'],Common,RTR,5,4,None,None
Dryad Militant,1.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Dryad', 'Soldier']",Uncommon,RTR,2,1,None,"If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead."
Cryptborn Horror,3.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Horror'],Rare,RTR,0,0,None,"Trample\nCryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn."
Blistercoil Weird,1.0,"['R', 'U']","['R', 'U']",None,['Creature'],['Weird'],Uncommon,RTR,1,1,None,"Whenever you cast an instant or sorcery spell, Blistercoil Weird gets +1/+1 until end of turn. Untap it."
Azor's Elocutors,5.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Human', 'Advisor']",Rare,RTR,3,5,None,"At the beginning of your upkeep, put a filibuster counter on Azor's Elocutors. Then if Azor's Elocutors has five or more filibuster counters on it, you win the game.\nWhenever a source deals damage to you, remove a filibuster counter from Azor's Elocutors."
Vitu-Ghazi Guildmage,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Dryad', 'Shaman']",Uncommon,RTR,2,2,None,{4}{G}{W}: Create a 3/3 green Centaur creature token.\n{2}{G}{W}: Populate. (Create a token that's a copy of a creature token you control.)
Wayfaring Temple,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Elemental'],Rare,RTR,*,*,None,"Wayfaring Temple's power and toughness are each equal to the number of creatures you control.\nWhenever Wayfaring Temple deals combat damage to a player, populate. (Create a token that's a copy of a creature token you control.)"
"Trostani, Selesnya's Voice",4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Dryad'],Mythic,RTR,2,5,None,"Whenever another creature enters the battlefield under your control, you gain life equal to that creature's toughness.\n{1}{G}{W}, {T}: Populate. (Create a token that's a copy of a creature token you control.)"
Vraska the Unseen,5.0,"['B', 'G']","['B', 'G']",['Legendary'],['Planeswalker'],['Vraska'],Mythic,RTR,None,None,5,"[+1]: Until your next turn, whenever a creature deals combat damage to Vraska the Unseen, destroy that creature.\n[−3]: Destroy target nonland permanent.\n[−7]: Create three 1/1 black Assassin creature tokens with ""Whenever this creature deals combat damage to a player, that player loses the game."""
Thoughtflare,5.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Uncommon,RTR,None,None,None,"Draw four cards, then discard two cards."
Trestle Troll,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Troll'],Common,RTR,1,4,None,Defender\nReach (This creature can block creatures with flying.)\n{1}{B}{G}: Regenerate Trestle Troll.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,RTR,None,None,None,({T}: Add {B}.)
Sluiceway Scorpion,4.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Scorpion'],Common,RTR,2,2,None,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nScavenge {1}{B}{G} ({1}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)"
Slaughter Games,4.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Rare,RTR,None,None,None,"This spell can't be countered.\nChoose a nonland card name. Search target opponent's graveyard, hand, and library for any number of cards with that name and exile them. Then that player shuffles."
Skymark Roc,4.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Bird'],Uncommon,RTR,3,3,None,"Flying\nWhenever Skymark Roc attacks, you may return target creature defending player controls with toughness 2 or less to its owner's hand."
Skull Rend,5.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Common,RTR,None,None,None,Skull Rend deals 2 damage to each opponent. Those players each discard two cards at random.
Selesnya Charm,2.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Uncommon,RTR,None,None,None,Choose one —\n• Target creature gets +2/+2 and gains trample until end of turn.\n• Exile target creature with power 5 or greater.\n• Create a 2/2 white Knight creature token with vigilance.
Search Warrant,2.0,"['U', 'W']","['U', 'W']",None,['Sorcery'],None,Common,RTR,None,None,None,Target player reveals their hand. You gain life equal to the number of cards in that player's hand.
Rix Maadi Guildmage,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Human', 'Shaman']",Uncommon,RTR,2,2,None,{B}{R}: Target blocking creature gets -1/-1 until end of turn.\n{B}{R}: Target player who lost life this turn loses 1 life.
