Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Cloudstone Curio,3.0,None,None,None,['Artifact'],None,Mythic,RVR,None,None,None,"Whenever a nonartifact permanent enters the battlefield under your control, you may return another permanent you control that shares a permanent type with it to its owner's hand."
Civic Saber,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,RVR,None,None,None,Equipped creature gets +1/+0 for each of its colors.\nEquip {1}
Chromatic Lantern,3.0,None,None,None,['Artifact'],None,Rare,RVR,None,None,None,"Lands you control have ""{T}: Add one mana of any color.""\n{T}: Add one mana of any color."
Bottled Cloister,4.0,None,None,None,['Artifact'],None,Rare,RVR,None,None,None,"At the beginning of each opponent's upkeep, exile all cards from your hand face down.\nAt the beginning of your upkeep, return all cards you own exiled with Bottled Cloister to your hand, then draw a card."
Boros Signet,2.0,None,"['R', 'W']",None,['Artifact'],None,Uncommon,RVR,None,None,None,"{1}, {T}: Add {R}{W}."
Azorius Signet,2.0,None,"['U', 'W']",None,['Artifact'],None,Uncommon,RVR,None,None,None,"{1}, {T}: Add {W}{U}."
Repudiate // Replicate,5.0,"['U', 'G']","['G', 'U']",None,['Instant'],None,Rare,RVR,None,None,None,Counter target activated or triggered ability. (Mana abilities can't be targeted.)
Assure // Assemble,8.0,"['W', 'G']","['G', 'W']",None,['Instant'],None,Rare,RVR,None,None,None,Put a +1/+1 counter on target creature. That creature gains indestructible until end of turn.
Undercity's Embrace,3.0,['B'],['B'],None,['Instant'],None,Common,RVR,None,None,None,"Target opponent sacrifices a creature. If you control a creature with power 4 or greater, you gain 4 life."
Response // Resurgence,7.0,"['W', 'R']","['R', 'W']",None,['Instant'],None,Rare,RVR,None,None,None,Response deals 5 damage to target attacking or blocking creature.
Thrash // Threat,6.0,"['R', 'G']","['G', 'R']",None,['Instant'],None,Rare,RVR,None,None,None,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.
Gate Colossus,8.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,RVR,8,8,None,"This spell costs {1} less to cast for each Gate you control.\nGate Colossus can't be blocked by creatures with power 2 or less.\nWhenever a Gate enters the battlefield under your control, you may put Gate Colossus from your graveyard on top of your library."
Find // Finality,8.0,"['B', 'G']","['B', 'G']",None,['Sorcery'],None,Rare,RVR,None,None,None,Return up to two target creature cards from your graveyard to your hand.
Expansion // Explosion,6.0,"['U', 'R']","['R', 'U']",None,['Instant'],None,Rare,RVR,None,None,None,Copy target instant or sorcery spell with mana value 4 or less. You may choose new targets for the copy.
Connive // Concoct,9.0,"['U', 'B']","['B', 'U']",None,['Sorcery'],None,Rare,RVR,None,None,None,Gain control of target creature with power 2 or less.
Bedeck // Bedazzle,8.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Rare,RVR,None,None,None,Target creature gets +3/-3 until end of turn.
Thrill-Kill Assassin,2.0,['B'],['B'],None,['Creature'],"['Human', 'Assassin']",Common,RVR,1,2,None,Deathtouch\nUnleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Stab Wound,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,RVR,None,None,None,"Enchant creature\nEnchanted creature gets -2/-2.\nAt the beginning of the upkeep of enchanted creature's controller, that player loses 2 life."
Shadow Alley Denizen,1.0,['B'],['B'],None,['Creature'],"['Vampire', 'Rogue']",Common,RVR,1,1,None,"Whenever another black creature enters the battlefield under your control, target creature gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)"
Sewer Shambler,3.0,['B'],['B'],None,['Creature'],['Zombie'],Common,RVR,2,1,None,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)\nScavenge {2}{B} ({2}{B}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)"
Priest of Forgotten Gods,2.0,['B'],['B'],None,['Creature'],"['Human', 'Cleric']",Rare,RVR,1,2,None,"{T}, Sacrifice two other creatures: Any number of target players each lose 2 life and sacrifice a creature. You add {B}{B} and draw a card."
Plaguecrafter,3.0,['B'],['B'],None,['Creature'],"['Human', 'Shaman']",Uncommon,RVR,3,2,None,"When Plaguecrafter enters the battlefield, each player sacrifices a creature or planeswalker. Each player who can't discards a card."
Selesnya Signet,2.0,None,"['G', 'W']",None,['Artifact'],None,Uncommon,RVR,None,None,None,"{1}, {T}: Add {G}{W}."
Orzhov Euthanist,3.0,['B'],['B'],None,['Creature'],"['Human', 'Assassin']",Common,RVR,2,2,None,"Haunt (When this creature dies, exile it haunting target creature.)\nWhen Orzhov Euthanist enters the battlefield or the creature it haunts dies, destroy target creature that was dealt damage this turn."
Orzhov Enforcer,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Uncommon,RVR,1,2,None,"Deathtouch\nAfterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)"
Midnight Reaper,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Knight']",Rare,RVR,3,2,None,"Whenever a nontoken creature you control dies, Midnight Reaper deals 1 damage to you and you draw a card."
