Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Selesnya Guildmage,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Wizard']",Uncommon,SCD,2,2,None,{3}{G}: Create a 1/1 green Saproling creature token.\n{3}{W}: Creatures you control get +1/+1 until end of turn.
Choked Estuary,0.0,None,"['B', 'U']",None,['Land'],None,Rare,SCD,None,None,None,"As Choked Estuary enters the battlefield, you may reveal an Island or Swamp card from your hand. If you don't, Choked Estuary enters the battlefield tapped.\n{T}: Add {U} or {B}."
Selesnya Evangel,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Shaman']",Common,SCD,1,2,None,"{1}, {T}, Tap an untapped creature you control: Create a 1/1 green Saproling creature token."
Canopy Vista,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,SCD,None,None,None,({T}: Add {G} or {W}.)\nCanopy Vista enters the battlefield tapped unless you control two or more basic lands.
Blossoming Sands,0.0,None,"['G', 'W']",None,['Land'],None,Common,SCD,None,None,None,"Blossoming Sands enters the battlefield tapped.\nWhen Blossoming Sands enters the battlefield, you gain 1 life.\n{T}: Add {G} or {W}."
Savage Ventmaw,6.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Dragon'],Uncommon,SCD,4,4,None,"Flying\nWhenever Savage Ventmaw attacks, add {R}{R}{R}{G}{G}{G}. Until end of turn, you don't lose this mana as steps and phases end."
Rakdos Charm,2.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Uncommon,SCD,None,None,None,Choose one —\n• Exile target player's graveyard.\n• Destroy target artifact.\n• Each creature deals 1 damage to its controller.
Pilfered Plans,3.0,"['B', 'U']","['B', 'U']",None,['Sorcery'],None,Common,SCD,None,None,None,Target player mills two cards. Draw two cards.
Migratory Route,5.0,"['U', 'W']","['U', 'W']",None,['Sorcery'],None,Uncommon,SCD,None,None,None,"Create four 1/1 white Bird creature tokens with flying.\nBasic landcycling {2} ({2}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Bloodfell Caves,0.0,None,"['B', 'R']",None,['Land'],None,Common,SCD,None,None,None,"Bloodfell Caves enters the battlefield tapped.\nWhen Bloodfell Caves enters the battlefield, you gain 1 life.\n{T}: Add {B} or {R}."
Talisman of Indulgence,2.0,None,"['B', 'R']",None,['Artifact'],None,Uncommon,SCD,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Talisman of Indulgence deals 1 damage to you.
Farhaven Elf,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,SCD,1,1,None,"When Farhaven Elf enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Eternal Witness,3.0,['G'],['G'],None,['Creature'],"['Human', 'Shaman']",Uncommon,SCD,2,1,None,"When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand."
Akoum Refuge,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,SCD,None,None,None,"Akoum Refuge enters the battlefield tapped.\nWhen Akoum Refuge enters the battlefield, you gain 1 life.\n{T}: Add {B} or {R}."
Collective Unconscious,6.0,['G'],['G'],None,['Sorcery'],None,Rare,SCD,None,None,None,Draw a card for each creature you control.
Worn Powerstone,3.0,None,None,None,['Artifact'],None,Uncommon,SCD,None,None,None,Worn Powerstone enters the battlefield tapped.\n{T}: Add {C}{C}.
Drumhunter,4.0,['G'],['G'],None,['Creature'],"['Human', 'Druid', 'Warrior']",Uncommon,SCD,2,2,None,"At the beginning of your end step, if you control a creature with power 5 or greater, you may draw a card.\n{T}: Add {C}."
Wayfarer's Bauble,1.0,None,None,None,['Artifact'],None,Common,SCD,None,None,None,"{2}, {T}, Sacrifice Wayfarer's Bauble: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Unstable Obelisk,3.0,None,None,None,['Artifact'],None,Uncommon,SCD,None,None,None,"{T}: Add {C}.\n{7}, {T}, Sacrifice Unstable Obelisk: Destroy target permanent."
March of the Multitudes,3.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Mythic,SCD,None,None,None,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nCreate X 1/1 white Soldier creature tokens with lifelink.
Talisman of Progress,2.0,None,"['U', 'W']",None,['Artifact'],None,Uncommon,SCD,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {U}. Talisman of Progress deals 1 damage to you.
"Maja, Bretagard Protector",5.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,SCD,2,3,None,"Other creatures you control get +1/+1.\nLandfall — Whenever a land enters the battlefield under your control, create a 1/1 white Human Warrior creature token."
"Kangee, Sky Warden",5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Bird', 'Wizard']",Uncommon,SCD,3,3,None,"Flying, vigilance\nWhenever Kangee, Sky Warden attacks, attacking creatures with flying get +2/+0 until end of turn.\nWhenever Kangee blocks, blocking creatures with flying get +0/+2 until end of turn."
