Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Reward the Faithful,1.0,['W'],['W'],None,['Instant'],None,Uncommon,SCG,None,None,None,Any number of target players each gain life equal to the highest mana value among permanents you control.
Recuperate,4.0,['W'],['W'],None,['Instant'],None,Common,SCG,None,None,None,Choose one —\n• You gain 6 life.\n• Prevent the next 6 damage that would be dealt to target creature this turn.
Rain of Blades,1.0,['W'],['W'],None,['Instant'],None,Uncommon,SCG,None,None,None,Rain of Blades deals 1 damage to each attacking creature.
Noble Templar,6.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric', 'Soldier']",Common,SCG,3,6,None,"Vigilance\nPlainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)"
Karona's Zealot,5.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Uncommon,SCG,2,5,None,"Morph {3}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Karona's Zealot is turned face up, all damage that would be dealt to it this turn is dealt to target creature instead."
Astral Steel,3.0,['W'],['W'],None,['Instant'],None,Common,SCG,None,None,None,"Target creature gets +1/+2 until end of turn.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
Frontline Strategist,1.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,SCG,1,1,None,"Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Frontline Strategist is turned face up, prevent all combat damage non-Soldier creatures would deal this turn."
Wing Shards,3.0,['W'],['W'],None,['Instant'],None,Uncommon,SCG,None,None,None,"Target player sacrifices an attacking creature.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
Trap Digger,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,SCG,1,3,None,"{2}{W}, {T}: Put a trap counter on target land you control.\nSacrifice a land with a trap counter on it: Trap Digger deals 3 damage to target attacking creature without flying."
Aven Farseer,2.0,['W'],['W'],None,['Creature'],"['Bird', 'Soldier']",Common,SCG,1,1,None,"Flying\nWhenever a permanent is turned face up, put a +1/+1 counter on Aven Farseer."
Guilty Conscience,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,SCG,None,None,None,"Enchant creature\nWhenever enchanted creature deals damage, Guilty Conscience deals that much damage to that creature."
Exiled Doomsayer,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,SCG,1,2,None,All morph costs cost {2} more. (This doesn't affect the cost to cast creature spells face down.)
Gilded Light,2.0,['W'],['W'],None,['Instant'],None,Uncommon,SCG,None,None,None,"You gain shroud until end of turn. (You can't be the target of spells or abilities.)\nCycling {2} ({2}, Discard this card: Draw a card.)"
Force Bubble,4.0,['W'],['W'],None,['Enchantment'],None,Rare,SCG,None,None,None,"If damage would be dealt to you, put that many depletion counters on Force Bubble instead.\nWhen there are four or more depletion counters on Force Bubble, sacrifice it.\nAt the beginning of each end step, remove all depletion counters from Force Bubble."
Eternal Dragon,7.0,['W'],['W'],None,['Creature'],"['Dragon', 'Spirit']",Rare,SCG,5,5,None,"Flying\n{3}{W}{W}: Return Eternal Dragon from your graveyard to your hand. Activate only during your upkeep.\nPlainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)"
Temple of the False God,0.0,None,None,None,['Land'],None,Uncommon,SCG,None,None,None,{T}: Add {C}{C}. Activate only if you control five or more lands.
Stabilizer,2.0,None,None,None,['Artifact'],None,Rare,SCG,None,None,None,Players can't cycle cards.
Proteus Machine,3.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Uncommon,SCG,2,2,None,"Morph {0} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Proteus Machine is turned face up, it becomes the creature type of your choice. (This effect lasts indefinitely.)"
