Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vengevine,4.0,['G'],['G'],None,['Creature'],['Elemental'],Rare,SCH,4,3,None,"Haste\nWhenever you cast a spell, if it's the second creature spell you cast this turn, you may return Vengevine from your graveyard to the battlefield."
Hollow One,5.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,SCH,4,4,None,"This spell costs {2} less to cast for each card you've cycled or discarded this turn.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Blazing Rootwalla,1.0,['R'],['R'],None,['Creature'],['Lizard'],Rare,SCH,1,1,None,"{R}: Blazing Rootwalla gets +2/+0 until end of turn. Activate only once each turn.\nMadness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Dauthi Voidwalker,2.0,['B'],['B'],None,['Creature'],"['Dauthi', 'Rogue']",Rare,SCH,3,2,None,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nIf a card would be put into an opponent's graveyard from anywhere, instead exile it with a void counter on it.\n{T}, Sacrifice Dauthi Voidwalker: Choose an exiled card an opponent owns with a void counter on it. You may play it this turn without paying its mana cost."
Angel of Despair,7.0,"['B', 'W']","['B', 'W']",None,['Creature'],['Angel'],Rare,SCH,5,5,None,"Flying\nWhen Angel of Despair enters the battlefield, destroy target permanent."
Mortify,3.0,"['B', 'W']","['B', 'W']",None,['Instant'],None,Rare,SCH,None,None,None,Destroy target creature or enchantment.
"Lier, Disciple of the Drowned",5.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,SCH,3,4,None,Spells can't be countered.\nEach instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost.
Dark Petition,5.0,['B'],['B'],None,['Sorcery'],None,Rare,SCH,None,None,None,"Search your library for a card, put that card into your hand, then shuffle.\nSpell mastery — If there are two or more instant and/or sorcery cards in your graveyard, add {B}{B}{B}."
Cauldron Familiar,1.0,['B'],['B'],None,['Creature'],['Cat'],Rare,SCH,1,1,None,"When Cauldron Familiar enters the battlefield, each opponent loses 1 life and you gain 1 life.\nSacrifice a Food: Return Cauldron Familiar from your graveyard to the battlefield."
Archmage's Charm,3.0,['U'],['U'],None,['Instant'],None,Rare,SCH,None,None,None,Choose one —\n• Counter target spell.\n• Target player draws two cards.\n• Gain control of target nonland permanent with mana value 1 or less.
Eidolon of the Great Revel,2.0,['R'],['R'],None,"['Enchantment', 'Creature']",['Spirit'],Rare,SCH,2,2,None,"Whenever a player casts a spell with mana value 3 or less, Eidolon of the Great Revel deals 2 damage to that player."
Transcendent Message,4.0,['U'],['U'],None,['Instant'],None,Rare,SCH,None,None,None,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nDraw X cards.
Moonshaker Cavalry,8.0,['W'],['W'],None,['Creature'],"['Spirit', 'Knight']",Mythic,SCH,6,6,None,"Flying\nWhen Moonshaker Cavalry enters the battlefield, creatures you control gain flying and get +X/+X until end of turn, where X is the number of creatures you control."
Tail Swipe,1.0,['G'],['G'],None,['Instant'],None,Rare,SCH,None,None,None,"Choose target creature you control and target creature you don't control. If you cast this spell during your main phase, the creature you control gets +1/+1 until end of turn. Then those creatures fight each other. (Each deals damage equal to its power to the other.)"
Gifted Aetherborn,2.0,['B'],['B'],None,['Creature'],"['Aetherborn', 'Vampire']",Rare,SCH,2,3,None,"Deathtouch, lifelink"
Thalia and The Gitrog Monster,4.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Human', 'Frog', 'Horror']",Mythic,SCH,4,4,None,"First strike, deathtouch\nYou may play an additional land on each of your turns.\nCreatures and nonbasic lands your opponents control enter the battlefield tapped.\nWhenever Thalia and The Gitrog Monster attacks, sacrifice a creature or land, then draw a card."
Aether Channeler,3.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,SCH,2,1,None,"When Aether Channeler enters the battlefield, choose one —\n• Create a 1/1 white Bird creature token with flying.\n• Return another target nonland permanent to its owner's hand.\n• Draw a card."
Strangle,1.0,['R'],['R'],None,['Sorcery'],None,Rare,SCH,None,None,None,Strangle deals 3 damage to target creature or planeswalker.
"Koth, Fire of Resistance",4.0,['R'],['R'],['Legendary'],['Planeswalker'],['Koth'],Rare,SCH,None,None,4,"[+2]: Search your library for a basic Mountain card, reveal it, put it into your hand, then shuffle.\n[−3]: Koth, Fire of Resistance deals damage to target creature equal to the number of Mountains you control.\n[−7]: You get an emblem with ""Whenever a Mountain enters the battlefield under your control, this emblem deals 4 damage to any target."""
Memory Deluge,4.0,['U'],['U'],None,['Instant'],None,Rare,SCH,None,None,None,"Look at the top X cards of your library, where X is the amount of mana spent to cast this spell. Put two of them into your hand and the rest on the bottom of your library in a random order.\nFlashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Dark Confidant,2.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,SCH,2,1,None,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value."
Annex Sentry,3.0,['W'],['W'],None,"['Artifact', 'Creature']","['Phyrexian', 'Cleric']",Rare,SCH,1,4,None,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\nWhen Annex Sentry enters the battlefield, exile target artifact or creature an opponent controls with mana value 3 or less until Annex Sentry leaves the battlefield."
Spell Pierce,1.0,['U'],['U'],None,['Instant'],None,Rare,SCH,None,None,None,Counter target noncreature spell unless its controller pays {2}.
Flame Slash,1.0,['R'],['R'],None,['Sorcery'],None,Rare,SCH,None,None,None,Flame Slash deals 4 damage to target creature.
"Omnath, Locus of Creation",4.0,"['G', 'R', 'U', 'W']","['G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Elemental'],Mythic,SCH,4,4,None,"When Omnath, Locus of Creation enters the battlefield, draw a card.\nLandfall — Whenever a land enters the battlefield under your control, you gain 4 life if this is the first time this ability has resolved this turn. If it's the second time, add {R}{G}{W}{U}. If it's the third time, Omnath deals 4 damage to each opponent and each planeswalker you don't control."
Gilded Goose,1.0,['G'],['G'],None,['Creature'],['Bird'],Rare,SCH,0,2,None,"Flying\nWhen Gilded Goose enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n{1}{G}, {T}: Create a Food token.\n{T}, Sacrifice a Food: Add one mana of any color."
