Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Spawnwrithe,3.0,['G'],['G'],None,['Creature'],['Elemental'],Rare,SHM,2,2,None,"Trample\nWhenever Spawnwrithe deals combat damage to a player, create a token that's a copy of Spawnwrithe."
Roughshod Mentor,6.0,['G'],['G'],None,['Creature'],"['Giant', 'Warrior']",Uncommon,SHM,5,4,None,Green creatures you control have trample.
Raking Canopy,3.0,['G'],['G'],None,['Enchantment'],None,Uncommon,SHM,None,None,None,"Whenever a creature with flying attacks you, Raking Canopy deals 4 damage to it."
Prismatic Omen,2.0,['G'],['G'],None,['Enchantment'],None,Rare,SHM,None,None,None,Lands you control are every basic land type in addition to their other types.
Presence of Gond,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,SHM,None,None,None,"Enchant creature\nEnchanted creature has ""{T}: Create a 1/1 green Elf Warrior creature token."""
Nurturer Initiate,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Common,SHM,1,1,None,"Whenever a player casts a green spell, you may pay {1}. If you do, target creature gets +1/+1 until end of turn."
Mossbridge Troll,7.0,['G'],['G'],None,['Creature'],['Troll'],Rare,SHM,5,5,None,"If Mossbridge Troll would be destroyed, regenerate it.\nTap any number of untapped creatures you control other than Mossbridge Troll with total power 10 or greater: Mossbridge Troll gets +20/+20 until end of turn."
Mana Reflection,6.0,['G'],['G'],None,['Enchantment'],None,Rare,SHM,None,None,None,"If you tap a permanent for mana, it produces twice as much of that mana instead."
Sapseep Forest,0.0,None,['G'],None,['Land'],['Forest'],Uncommon,SHM,None,None,None,"({T}: Add {G}.)\nSapseep Forest enters the battlefield tapped.\n{G}, {T}: You gain 1 life. Activate only if you control two or more green permanents."
Juvenile Gloomwidow,2.0,['G'],['G'],None,['Creature'],['Spider'],Common,SHM,1,3,None,Reach (This creature can block creatures with flying.)\nWither (This deals damage to creatures in the form of -1/-1 counters.)
Hungry Spriggan,3.0,['G'],['G'],None,['Creature'],"['Goblin', 'Warrior']",Common,SHM,1,1,None,"Trample\nWhenever Hungry Spriggan attacks, it gets +3/+3 until end of turn."
Reflecting Pool,0.0,None,None,None,['Land'],None,Rare,SHM,None,None,None,{T}: Add one mana of any type that a land you control could produce.
Howl of the Night Pack,7.0,['G'],['G'],None,['Sorcery'],None,Uncommon,SHM,None,None,None,Create a 2/2 green Wolf creature token for each Forest you control.
