Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Nashi, Moon Sage's Scion",3.0,['B'],['B'],['Legendary'],['Creature'],"['Rat', 'Ninja']",Mythic,SLC,3,2,None,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever Nashi, Moon Sage's Scion deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost."
Lotus Field,0.0,None,None,None,['Land'],None,Mythic,SLC,None,None,None,"Hexproof\nLotus Field enters the battlefield tapped.\nWhen Lotus Field enters the battlefield, sacrifice two lands.\n{T}: Add three mana of any one color."
Elite Spellbinder,3.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,SLC,3,1,None,"Flying\nWhen Elite Spellbinder enters the battlefield, look at target opponent's hand. You may exile a nonland card from it. For as long as that card remains exiled, its owner may play it. A spell cast this way costs {2} more to cast."
"Thalia, Heretic Cathar",3.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,SLC,3,2,None,First strike\nCreatures and nonbasic lands your opponents control enter the battlefield tapped.
"Emry, Lurker of the Loch",3.0,['U'],['U'],['Legendary'],['Creature'],"['Merfolk', 'Wizard']",Rare,SLC,1,2,None,"This spell costs {1} less to cast for each artifact you control.\nWhen Emry, Lurker of the Loch enters the battlefield, mill four cards.\n{T}: Choose target artifact card in your graveyard. You may cast that card this turn. (You still pay its costs. Timing rules still apply.)"
Arclight Phoenix,4.0,['R'],['R'],None,['Creature'],['Phoenix'],Mythic,SLC,3,2,None,"Flying, haste\nAt the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield."
"Nicol Bolas, God-Pharaoh",7.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Planeswalker'],['Bolas'],Mythic,SLC,None,None,7,"[+2]: Target opponent exiles cards from the top of their library until they exile a nonland card. Until end of turn, you may cast that card without paying its mana cost.\n[+1]: Each opponent exiles two cards from their hand.\n[−4]: Nicol Bolas, God-Pharaoh deals 7 damage to target opponent, creature an opponent controls, or planeswalker an opponent controls.\n[−12]: Exile each nonland permanent your opponents control."
Shark Typhoon,6.0,['U'],['U'],None,['Enchantment'],None,Rare,SLC,None,None,None,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.\nCycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)\nWhen you cycle Shark Typhoon, create an X/X blue Shark creature token with flying."
Dragonlord Ojutai,5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,SLC,5,4,None,"Flying\nDragonlord Ojutai has hexproof as long as it's untapped.\nWhenever Dragonlord Ojutai deals combat damage to a player, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order."
Heritage Druid,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,SLC,1,1,None,Tap three untapped Elves you control: Add {G}{G}{G}.
"Elspeth, Sun's Champion",6.0,['W'],['W'],['Legendary'],['Planeswalker'],['Elspeth'],Mythic,SLC,None,None,4,"[+1]: Create three 1/1 white Soldier creature tokens.\n[−3]: Destroy all creatures with power 4 or greater.\n[−7]: You get an emblem with ""Creatures you control get +2/+2 and have flying."""
Deathrite Shaman,1.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Elf', 'Shaman']",Rare,SLC,1,2,None,"{T}: Exile target land card from a graveyard. Add one mana of any color.\n{B}, {T}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.\n{G}, {T}: Exile target creature card from a graveyard. You gain 2 life."
Sun Titan,6.0,['W'],['W'],None,['Creature'],['Giant'],Mythic,SLC,6,6,None,"Vigilance\nWhenever Sun Titan enters the battlefield or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield."
Birthing Pod,4.0,['G'],['G'],None,['Artifact'],None,Rare,SLC,None,None,None,"({G/P} can be paid with either {G} or 2 life.)\n{1}{G/P}, {T}, Sacrifice a creature: Search your library for a creature card with mana value equal to 1 plus the sacrificed creature's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery."
Mishra's Factory,0.0,None,None,None,['Land'],None,Rare,SLC,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Bogardan Hellkite,8.0,['R'],['R'],None,['Creature'],['Dragon'],Mythic,SLC,5,5,None,"Flash\nFlying\nWhen Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of targets."
Siege Rhino,4.0,"['B', 'G', 'W']","['B', 'G', 'W']",None,['Creature'],['Rhino'],Rare,SLC,4,5,None,"Trample\nWhen Siege Rhino enters the battlefield, each opponent loses 3 life and you gain 3 life."
Bloodbraid Elf,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Elf', 'Berserker']",Rare,SLC,3,2,None,"Haste\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Ponder,1.0,['U'],['U'],None,['Sorcery'],None,Rare,SLC,None,None,None,"Look at the top three cards of your library, then put them back in any order. You may shuffle.\nDraw a card."
Lightning Helix,2.0,"['R', 'W']","['R', 'W']",None,['Instant'],None,Rare,SLC,None,None,None,Lightning Helix deals 3 damage to any target and you gain 3 life.
Glimpse of Nature,1.0,['G'],['G'],None,['Sorcery'],None,Rare,SLC,None,None,None,"Whenever you cast a creature spell this turn, draw a card."
Chrome Mox,0.0,None,None,None,['Artifact'],None,Mythic,SLC,None,None,None,"Imprint — When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.\n{T}: Add one mana of any of the exiled card's colors."
Genesis,5.0,['G'],['G'],None,['Creature'],['Incarnation'],Rare,SLC,4,4,None,"At the beginning of your upkeep, if Genesis is in your graveyard, you may pay {2}{G}. If you do, return target creature card from your graveyard to your hand."
Wild Mongrel,2.0,['G'],['G'],None,['Creature'],['Dog'],Rare,SLC,2,2,None,Discard a card: Wild Mongrel gets +1/+1 and becomes the color of your choice until end of turn.
"Lin Sivvi, Defiant Hero",3.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Rebel']",Rare,SLC,1,3,None,"{X}, {T}: Search your library for a Rebel permanent card with mana value X or less, put it onto the battlefield, then shuffle.\n{3}: Put target Rebel card from your graveyard on the bottom of your library."
Necropotence,3.0,['B'],['B'],None,['Enchantment'],None,Mythic,SLC,None,None,None,"Skip your draw step.\nWhenever you discard a card, exile that card from your graveyard.\nPay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step."
"Squee, Goblin Nabob",3.0,['R'],['R'],['Legendary'],['Creature'],['Goblin'],Rare,SLC,1,1,None,"At the beginning of your upkeep, you may return Squee, Goblin Nabob from your graveyard to your hand."
Shivan Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,SLC,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Smokestack,4.0,None,None,None,['Artifact'],None,Rare,SLC,None,None,None,"At the beginning of your upkeep, you may put a soot counter on Smokestack.\nAt the beginning of each player's upkeep, that player sacrifices a permanent for each soot counter on Smokestack."
Tradewind Rider,4.0,['U'],['U'],None,['Creature'],['Spirit'],Rare,SLC,1,4,None,"Flying\n{T}, Tap two untapped creatures you control: Return target permanent to its owner's hand."
Lim-Dûl's Vault,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Rare,SLC,None,None,None,"Look at the top five cards of your library. As many times as you choose, you may pay 1 life, put those cards on the bottom of your library in any order, then look at the top five cards of your library. Then shuffle and put the last cards you looked at this way on top in any order."
