Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Expressive Iteration,2.0,"['R', 'U']","['R', 'U']",None,['Sorcery'],None,Rare,SLP,None,None,None,"Look at the top three cards of your library. Put one of them into your hand, put one of them on the bottom of your library, and exile one of them. You may play the exiled card this turn."
Seasoned Pyromancer,3.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Mythic,SLP,2,2,None,"When Seasoned Pyromancer enters the battlefield, discard two cards, then draw two cards. For each nonland card discarded this way, create a 1/1 red Elemental creature token.\n{3}{R}{R}, Exile Seasoned Pyromancer from your graveyard: Create two 1/1 red Elemental creature tokens."
Goblin Guide,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Scout']",Rare,SLP,2,2,None,"Haste\nWhenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand."
Springleaf Drum,1.0,None,None,None,['Artifact'],None,Rare,SLP,None,None,None,"{T}, Tap an untapped creature you control: Add one mana of any color."
"Valakut, the Molten Pinnacle",0.0,None,['R'],None,['Land'],None,Rare,SLP,None,None,None,"Valakut, the Molten Pinnacle enters the battlefield tapped.\nWhenever a Mountain enters the battlefield under your control, if you control at least five other Mountains, you may have Valakut, the Molten Pinnacle deal 3 damage to any target.\n{T}: Add {R}."
Swords to Plowshares,1.0,['W'],['W'],None,['Instant'],None,Rare,SLP,None,None,None,Exile target creature. Its controller gains life equal to its power.
"Ugin, the Spirit Dragon",8.0,None,None,['Legendary'],['Planeswalker'],['Ugin'],Mythic,SLP,None,None,7,"[+2]: Ugin, the Spirit Dragon deals 3 damage to any target.\n[−X]: Exile each permanent with mana value X or less that's one or more colors.\n[−10]: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield."
Ponder,1.0,['U'],['U'],None,['Sorcery'],None,Rare,SLP,None,None,None,"Look at the top three cards of your library, then put them back in any order. You may shuffle.\nDraw a card."
Spell Pierce,1.0,['U'],['U'],None,['Instant'],None,Rare,SLP,None,None,None,Counter target noncreature spell unless its controller pays {2}.
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Rare,SLP,None,None,None,Add {B}{B}{B}.
Murktide Regent,7.0,['U'],['U'],None,['Creature'],['Dragon'],Mythic,SLP,3,3,None,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nFlying\nMurktide Regent enters the battlefield with a +1/+1 counter on it for each instant and sorcery card exiled with it.\nWhenever an instant or sorcery card leaves your graveyard, put a +1/+1 counter on Murktide Regent."
Wrenn and Six,2.0,"['G', 'R']","['G', 'R']",['Legendary'],['Planeswalker'],['Wrenn'],Mythic,SLP,None,None,3,"[+1]: Return up to one target land card from your graveyard to your hand.\n[−1]: Wrenn and Six deals 1 damage to any target.\n[−7]: You get an emblem with ""Instant and sorcery cards in your graveyard have retrace."" (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.)"
Unholy Heat,1.0,['R'],['R'],None,['Instant'],None,Rare,SLP,None,None,None,Unholy Heat deals 2 damage to target creature or planeswalker.\nDelirium — Unholy Heat deals 6 damage instead if there are four or more card types among cards in your graveyard.
Brainstorm,1.0,['U'],['U'],None,['Instant'],None,Rare,SLP,None,None,None,"Draw three cards, then put two cards from your hand on top of your library in any order."
Eldritch Evolution,3.0,['G'],['G'],None,['Sorcery'],None,Rare,SLP,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nSearch your library for a creature card with mana value X or less, where X is 2 plus the sacrificed creature's mana value. Put that card onto the battlefield, then shuffle. Exile Eldritch Evolution."
Explore,2.0,['G'],['G'],None,['Sorcery'],None,Rare,SLP,None,None,None,You may play an additional land this turn.\nDraw a card.
An Offer You Can't Refuse,1.0,['U'],['U'],None,['Instant'],None,Rare,SLP,None,None,None,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Relentless Rats,3.0,['B'],['B'],None,['Creature'],['Rat'],Rare,SLP,2,2,None,Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats.\nA deck can have any number of cards named Relentless Rats.
Dragonlord Silumgar,6.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,SLP,3,5,None,"Flying, deathtouch\nWhen Dragonlord Silumgar enters the battlefield, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar."
Death's Shadow,1.0,['B'],['B'],None,['Creature'],['Avatar'],Rare,SLP,13,13,None,"Death's Shadow gets -X/-X, where X is your life total."
Fatal Push,1.0,['B'],['B'],None,['Instant'],None,Rare,SLP,None,None,None,Destroy target creature if it has mana value 2 or less.\nRevolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.
"Ragavan, Nimble Pilferer",1.0,['R'],['R'],['Legendary'],['Creature'],"['Monkey', 'Pirate']",Mythic,SLP,2,1,None,"Whenever Ragavan, Nimble Pilferer deals combat damage to a player, create a Treasure token and exile the top card of that player's library. Until end of turn, you may cast that card.\nDash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
