Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Scalding Tarn,0.0,None,None,None,['Land'],None,Rare,SLU,None,None,None,"{T}, Pay 1 life, Sacrifice Scalding Tarn: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle."
Blightstep Pathway // Searstep Pathway,0.0,None,"['B', 'R']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {B}.
Blast Zone,0.0,None,None,None,['Land'],None,Rare,SLU,None,None,None,"Blast Zone enters the battlefield with a charge counter on it.\n{T}: Add {C}.\n{X}{X}, {T}: Put X charge counters on Blast Zone.\n{3}, {T}, Sacrifice Blast Zone: Destroy each nonland permanent with mana value equal to the number of charge counters on Blast Zone."
Clearwater Pathway // Murkwater Pathway,0.0,None,"['B', 'U']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {U}.
Verdant Catacombs,0.0,None,None,None,['Land'],None,Rare,SLU,None,None,None,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle."
Riverglide Pathway // Lavaglide Pathway,0.0,None,"['R', 'U']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {U}.
Cragcrown Pathway // Timbercrown Pathway,0.0,None,"['G', 'R']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {R}.
Needleverge Pathway // Pillarverge Pathway,0.0,None,"['R', 'W']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {R}.
Marsh Flats,0.0,None,None,None,['Land'],None,Rare,SLU,None,None,None,"{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle."
Barkchannel Pathway // Tidechannel Pathway,0.0,None,"['G', 'U']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {G}.
Hengegate Pathway // Mistgate Pathway,0.0,None,"['U', 'W']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {W}.
Brightclimb Pathway // Grimclimb Pathway,0.0,None,"['B', 'W']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {W}.
Misty Rainforest,0.0,None,None,None,['Land'],None,Rare,SLU,None,None,None,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle."
Darkbore Pathway // Slitherbore Pathway,0.0,None,"['B', 'G']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {B}.
Branchloft Pathway // Boulderloft Pathway,0.0,None,"['G', 'W']",None,['Land'],None,Rare,SLU,None,None,None,{T}: Add {G}.
Arid Mesa,0.0,None,None,None,['Land'],None,Rare,SLU,None,None,None,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle."
